date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,179000.0,3.72,7,"adair, ky",13.0,57.0,0,Jul-2016
2016-08-01,1,179000.0,3.73,8,"adair, ky",13.0,63.0,0,Aug-2016
2016-09-01,2,169000.0,3.66,9,"adair, ky",15.0,68.0,0,Sep-2016
2016-10-01,3,169000.0,3.64,10,"adair, ky",15.0,84.0,0,Oct-2016
2016-11-01,4,169000.0,3.66,11,"adair, ky",15.0,96.0,0,Nov-2016
2016-12-01,5,169000.0,3.48,12,"adair, ky",13.0,126.0,0,Dec-2016
2017-01-01,6,119225.0,3.45,1,"adair, ky",10.0,157.0,0,Jan-2017
2017-02-01,7,107875.0,3.5,2,"adair, ky",11.0,160.0,0,Feb-2017
2017-03-01,8,151250.0,3.52,3,"adair, ky",13.0,139.0,0,Mar-2017
2017-04-01,9,175000.0,4.03,4,"adair, ky",13.0,92.0,0,Apr-2017
2017-05-01,10,167000.0,4.32,5,"adair, ky",13.0,96.0,0,May-2017
2017-06-01,11,153000.0,4.2,6,"adair, ky",15.0,108.0,0,Jun-2017
2017-07-01,12,132250.0,4.19,7,"adair, ky",17.0,60.0,0,Jul-2017
2017-08-01,13,122250.0,4.3,8,"adair, ky",22.0,45.0,0,Aug-2017
2017-09-01,14,122450.0,4.1,9,"adair, ky",20.0,63.0,0,Sep-2017
2017-10-01,15,121050.0,4.05,10,"adair, ky",25.0,87.0,0,Oct-2017
2017-11-01,16,124900.0,3.94,11,"adair, ky",29.0,92.0,0,Nov-2017
2017-12-01,17,132450.0,4.03,12,"adair, ky",37.0,72.0,0,Dec-2017
2018-01-01,18,137450.0,3.93,1,"adair, ky",40.0,70.0,0,Jan-2018
2018-02-01,19,139900.0,3.83,2,"adair, ky",40.0,75.0,0,Feb-2018
2018-03-01,20,137450.0,3.94,3,"adair, ky",43.0,89.0,0,Mar-2018
2018-04-01,21,146213.0,3.95,4,"adair, ky",43.0,57.0,0,Apr-2018
2018-05-01,22,141863.0,3.99,5,"adair, ky",45.0,78.0,0,May-2018
2018-06-01,23,139925.0,4.15,6,"adair, ky",42.0,88.0,0,Jun-2018
2018-07-01,24,122500.0,4.4,7,"adair, ky",44.0,80.0,0,Jul-2018
2018-08-01,25,124850.0,4.46,8,"adair, ky",40.0,73.0,0,Aug-2018
2018-09-01,26,129700.0,4.58,9,"adair, ky",36.0,67.0,0,Sep-2018
2018-10-01,27,121150.0,4.66,10,"adair, ky",36.0,64.0,0,Oct-2018
2018-11-01,28,119900.0,4.62,11,"adair, ky",41.0,63.0,0,Nov-2018
2018-12-01,29,119925.0,4.54,12,"adair, ky",36.0,74.0,0,Dec-2018
2019-01-01,30,114450.0,4.6,1,"adair, ky",36.0,93.0,0,Jan-2019
2019-02-01,31,128650.0,4.72,2,"adair, ky",35.0,107.0,0,Feb-2019
2019-03-01,32,147421.0,4.9,3,"adair, ky",29.0,107.0,0,Mar-2019
2019-04-01,33,154596.0,4.94,4,"adair, ky",29.0,68.0,0,Apr-2019
2019-05-01,34,147900.0,4.75,5,"adair, ky",32.0,58.0,0,May-2019
2019-06-01,35,145900.0,4.51,6,"adair, ky",35.0,69.0,0,Jun-2019
2019-07-01,36,149000.0,4.41,7,"adair, ky",36.0,74.0,0,Jul-2019
2019-08-01,37,153782.0,4.41,8,"adair, ky",38.0,70.0,0,Aug-2019
2019-09-01,38,166280.0,4.2,9,"adair, ky",39.0,65.0,0,Sep-2019
2019-10-01,39,171111.0,4.14,10,"adair, ky",40.0,62.0,0,Oct-2019
2019-11-01,40,149000.0,3.84,11,"adair, ky",41.0,56.0,0,Nov-2019
2019-12-01,41,169500.0,3.81,12,"adair, ky",40.0,86.0,0,Dec-2019
2020-01-01,42,159450.0,3.75,1,"adair, ky",40.0,102.0,0,Jan-2020
2020-02-01,43,149900.0,3.73,2,"adair, ky",34.0,108.0,0,Feb-2020
2020-03-01,44,160000.0,3.78,3,"adair, ky",35.0,100.0,0,Mar-2020
2020-04-01,45,187400.0,3.75,4,"adair, ky",35.0,94.0,0,Apr-2020
2020-05-01,46,177900.0,3.74,5,"adair, ky",31.0,67.0,0,May-2020
2020-06-01,47,174250.0,3.72,6,"adair, ky",28.0,58.0,0,Jun-2020
2020-07-01,48,169200.0,3.49,7,"adair, ky",25.0,71.0,0,Jul-2020
2020-08-01,49,189750.0,3.65,8,"adair, ky",21.0,77.0,0,Aug-2020
2020-09-01,50,171225.0,3.33,9,"adair, ky",21.0,57.0,0,Sep-2020
2020-10-01,51,189900.0,3.28,10,"adair, ky",24.0,32.0,0,Oct-2020
2020-11-01,52,179450.0,3.21,11,"adair, ky",23.0,50.0,0,Nov-2020
2020-12-01,53,164900.0,3.07,12,"adair, ky",25.0,61.0,0,Dec-2020
2021-01-01,54,164900.0,2.99,1,"adair, ky",22.0,74.0,0,Jan-2021
2021-02-01,55,167200.0,2.93,2,"adair, ky",24.0,75.0,0,Feb-2021
2021-03-01,56,204725.0,2.88,3,"adair, ky",21.0,64.0,0,Mar-2021
2021-04-01,57,219950.0,2.84,4,"adair, ky",15.0,70.0,0,Apr-2021
2021-05-01,58,217450.0,2.71,5,"adair, ky",19.0,70.0,0,May-2021
2021-06-01,59,201150.0,2.79,6,"adair, ky",25.0,39.0,0,Jun-2021
2021-07-01,60,217900.0,2.97,7,"adair, ky",24.0,49.0,0,Jul-2021
2021-08-01,61,249900.0,3.17,8,"adair, ky",23.0,38.0,0,Aug-2021
2021-09-01,62,236200.0,3.18,9,"adair, ky",26.0,41.0,0,Sep-2021
