date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,99500.0,3.72,7,"adams, oh",114.0,89.0,0,Jul-2016
2016-08-01,1,99250.0,3.73,8,"adams, oh",107.0,91.0,0,Aug-2016
2016-09-01,2,98875.0,3.66,9,"adams, oh",99.0,101.0,0,Sep-2016
2016-10-01,3,95500.0,3.64,10,"adams, oh",90.0,104.0,0,Oct-2016
2016-11-01,4,94250.0,3.66,11,"adams, oh",95.0,87.0,0,Nov-2016
2016-12-01,5,85500.0,3.48,12,"adams, oh",89.0,73.0,0,Dec-2016
2017-01-01,6,78100.0,3.45,1,"adams, oh",80.0,88.0,0,Jan-2017
2017-02-01,7,74825.0,3.5,2,"adams, oh",74.0,95.0,0,Feb-2017
2017-03-01,8,84000.0,3.52,3,"adams, oh",73.0,97.0,0,Mar-2017
2017-04-01,9,88500.0,4.03,4,"adams, oh",75.0,74.0,0,Apr-2017
2017-05-01,10,92350.0,4.32,5,"adams, oh",79.0,60.0,0,May-2017
2017-06-01,11,93000.0,4.2,6,"adams, oh",88.0,53.0,0,Jun-2017
2017-07-01,12,96000.0,4.19,7,"adams, oh",97.0,57.0,0,Jul-2017
2017-08-01,13,93500.0,4.3,8,"adams, oh",105.0,80.0,0,Aug-2017
2017-09-01,14,95000.0,4.1,9,"adams, oh",104.0,93.0,0,Sep-2017
2017-10-01,15,92250.0,4.05,10,"adams, oh",103.0,80.0,0,Oct-2017
2017-11-01,16,89925.0,3.94,11,"adams, oh",94.0,77.0,0,Nov-2017
2017-12-01,17,92000.0,4.03,12,"adams, oh",85.0,82.0,0,Dec-2017
2018-01-01,18,90475.0,3.93,1,"adams, oh",79.0,101.0,0,Jan-2018
2018-02-01,19,94875.0,3.83,2,"adams, oh",77.0,112.0,0,Feb-2018
2018-03-01,20,99500.0,3.94,3,"adams, oh",76.0,126.0,0,Mar-2018
2018-04-01,21,99500.0,3.95,4,"adams, oh",83.0,73.0,0,Apr-2018
2018-05-01,22,98625.0,3.99,5,"adams, oh",90.0,55.0,0,May-2018
2018-06-01,23,98500.0,4.15,6,"adams, oh",130.0,47.0,0,Jun-2018
2018-07-01,24,94500.0,4.4,7,"adams, oh",128.0,64.0,0,Jul-2018
2018-08-01,25,95850.0,4.46,8,"adams, oh",119.0,78.0,0,Aug-2018
2018-09-01,26,99500.0,4.58,9,"adams, oh",118.0,94.0,0,Sep-2018
2018-10-01,27,99500.0,4.66,10,"adams, oh",109.0,90.0,0,Oct-2018
2018-11-01,28,104250.0,4.62,11,"adams, oh",101.0,89.0,0,Nov-2018
2018-12-01,29,108500.0,4.54,12,"adams, oh",89.0,106.0,0,Dec-2018
2019-01-01,30,97000.0,4.6,1,"adams, oh",81.0,125.0,0,Jan-2019
