date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,335000.0,3.72,7,"anchorage, ak",1407.0,59.0,0,Jul-2016
2016-08-01,1,331713.0,3.73,8,"anchorage, ak",1415.0,60.0,0,Aug-2016
2016-09-01,2,329888.0,3.66,9,"anchorage, ak",1368.0,60.0,0,Sep-2016
2016-10-01,3,325000.0,3.64,10,"anchorage, ak",1257.0,66.0,0,Oct-2016
2016-11-01,4,325250.0,3.66,11,"anchorage, ak",1107.0,74.0,0,Nov-2016
2016-12-01,5,324700.0,3.48,12,"anchorage, ak",943.0,80.0,0,Dec-2016
2017-01-01,6,318750.0,3.45,1,"anchorage, ak",818.0,83.0,0,Jan-2017
2017-02-01,7,319900.0,3.5,2,"anchorage, ak",824.0,70.0,0,Feb-2017
2017-03-01,8,321350.0,3.52,3,"anchorage, ak",837.0,48.0,0,Mar-2017
2017-04-01,9,329900.0,4.03,4,"anchorage, ak",959.0,39.0,0,Apr-2017
2017-05-01,10,326850.0,4.32,5,"anchorage, ak",1057.0,40.0,0,May-2017
2017-06-01,11,329700.0,4.2,6,"anchorage, ak",1187.0,43.0,0,Jun-2017
2017-07-01,12,329000.0,4.19,7,"anchorage, ak",1289.0,46.0,0,Jul-2017
2017-08-01,13,322000.0,4.3,8,"anchorage, ak",1361.0,51.0,0,Aug-2017
2017-09-01,14,314900.0,4.1,9,"anchorage, ak",1353.0,54.0,0,Sep-2017
2017-10-01,15,304950.0,4.05,10,"anchorage, ak",1290.0,63.0,0,Oct-2017
2017-11-01,16,299925.0,3.94,11,"anchorage, ak",1187.0,71.0,0,Nov-2017
2017-12-01,17,299500.0,4.03,12,"anchorage, ak",1014.0,84.0,0,Dec-2017
2018-01-01,18,299950.0,3.93,1,"anchorage, ak",900.0,87.0,0,Jan-2018
2018-02-01,19,304000.0,3.83,2,"anchorage, ak",926.0,67.0,0,Feb-2018
2018-03-01,20,318250.0,3.94,3,"anchorage, ak",1024.0,49.0,0,Mar-2018
2018-04-01,21,328875.0,3.95,4,"anchorage, ak",1084.0,46.0,0,Apr-2018
2018-05-01,22,329900.0,3.99,5,"anchorage, ak",1226.0,43.0,0,May-2018
2018-06-01,23,325000.0,4.15,6,"anchorage, ak",1365.0,45.0,0,Jun-2018
2018-07-01,24,319125.0,4.4,7,"anchorage, ak",1468.0,51.0,0,Jul-2018
2018-08-01,25,320000.0,4.46,8,"anchorage, ak",1498.0,54.0,0,Aug-2018
2018-09-01,26,319900.0,4.58,9,"anchorage, ak",1437.0,64.0,0,Sep-2018
2018-10-01,27,314923.0,4.66,10,"anchorage, ak",1309.0,72.0,0,Oct-2018
2018-11-01,28,315000.0,4.62,11,"anchorage, ak",1190.0,79.0,0,Nov-2018
2018-12-01,29,314995.0,4.54,12,"anchorage, ak",1028.0,92.0,0,Dec-2018
2019-01-01,30,317450.0,4.6,1,"anchorage, ak",877.0,94.0,0,Jan-2019
2019-02-01,31,319675.0,4.72,2,"anchorage, ak",911.0,80.0,0,Feb-2019
2019-03-01,32,333257.0,4.9,3,"anchorage, ak",948.0,57.0,0,Mar-2019
2019-04-01,33,343975.0,4.94,4,"anchorage, ak",999.0,45.0,0,Apr-2019
2019-05-01,34,345600.0,4.75,5,"anchorage, ak",1101.0,43.0,0,May-2019
2019-06-01,35,343000.0,4.51,6,"anchorage, ak",1194.0,46.0,0,Jun-2019
2019-07-01,36,340475.0,4.41,7,"anchorage, ak",1272.0,52.0,0,Jul-2019
2019-08-01,37,335455.0,4.41,8,"anchorage, ak",1276.0,55.0,0,Aug-2019
2019-09-01,38,334636.0,4.2,9,"anchorage, ak",1256.0,59.0,0,Sep-2019
2019-10-01,39,334591.0,4.14,10,"anchorage, ak",1230.0,64.0,0,Oct-2019
2019-11-01,40,337200.0,3.84,11,"anchorage, ak",1078.0,77.0,0,Nov-2019
2019-12-01,41,329970.0,3.81,12,"anchorage, ak",955.0,85.0,0,Dec-2019
2020-01-01,42,330500.0,3.75,1,"anchorage, ak",844.0,83.0,0,Jan-2020
2020-02-01,43,342500.0,3.73,2,"anchorage, ak",790.0,67.0,0,Feb-2020
2020-03-01,44,334925.0,3.78,3,"anchorage, ak",779.0,51.0,0,Mar-2020
2020-04-01,45,333850.0,3.75,4,"anchorage, ak",814.0,52.0,0,Apr-2020
2020-05-01,46,344000.0,3.74,5,"anchorage, ak",900.0,50.0,0,May-2020
2020-06-01,47,352375.0,3.72,6,"anchorage, ak",909.0,40.0,0,Jun-2020
2020-07-01,48,355500.0,3.49,7,"anchorage, ak",880.0,40.0,0,Jul-2020
2020-08-01,49,349000.0,3.65,8,"anchorage, ak",902.0,39.0,0,Aug-2020
2020-09-01,50,345000.0,3.33,9,"anchorage, ak",920.0,40.0,0,Sep-2020
2020-10-01,51,329500.0,3.28,10,"anchorage, ak",835.0,50.0,0,Oct-2020
2020-11-01,52,326500.0,3.21,11,"anchorage, ak",736.0,61.0,0,Nov-2020
2020-12-01,53,323450.0,3.07,12,"anchorage, ak",630.0,68.0,0,Dec-2020
2021-01-01,54,323450.0,2.99,1,"anchorage, ak",526.0,66.0,0,Jan-2021
2021-02-01,55,333438.0,2.93,2,"anchorage, ak",479.0,41.0,0,Feb-2021
2021-03-01,56,350750.0,2.88,3,"anchorage, ak",459.0,36.0,0,Mar-2021
2021-04-01,57,349450.0,2.84,4,"anchorage, ak",516.0,26.0,0,Apr-2021
2021-05-01,58,360000.0,2.71,5,"anchorage, ak",516.0,24.0,0,May-2021
2021-06-01,59,350750.0,2.79,6,"anchorage, ak",570.0,24.0,0,Jun-2021
2021-07-01,60,349900.0,2.97,7,"anchorage, ak",652.0,24.0,0,Jul-2021
2021-08-01,61,350000.0,3.17,8,"anchorage, ak",685.0,31.0,0,Aug-2021
2021-09-01,62,349500.0,3.18,9,"anchorage, ak",675.0,38.0,0,Sep-2021
2021-10-01,63,340000.0,3.0,10,"anchorage, ak",578.0,43.0,0,Oct-2021
2021-11-01,64,347750.0,3.02,11,"anchorage, ak",426.0,51.0,0,Nov-2021
2021-12-01,65,364000.0,2.98,12,"anchorage, ak",324.0,63.0,0,Dec-2021
2022-01-01,66,367500.0,2.87,1,"anchorage, ak",236.0,71.0,0,Jan-2022
2022-02-01,67,392500.0,3.01,2,"anchorage, ak",196.0,19.0,0,Feb-2022
2022-03-01,68,424500.0,3.14,3,"anchorage, ak",198.0,10.0,0,Mar-2022
2022-04-01,69,429000.0,3.1,4,"anchorage, ak",258.0,9.0,0,Apr-2022
2022-05-01,70,424950.0,3.12,5,"anchorage, ak",330.0,13.0,0,May-2022
2022-06-01,71,424913.0,3.56,6,"anchorage, ak",450.0,17.0,0,Jun-2022
2022-07-01,72,420000.0,3.92,7,"anchorage, ak",524.0,28.0,0,Jul-2022
2022-08-01,73,439000.0,4.67,8,"anchorage, ak",482.0,36.0,0,Aug-2022
2022-09-01,74,446802.0,5.11,9,"anchorage, ak",424.0,41.0,424139,Sep-2022
2022-10-01,75,436000.0,5.3,10,"anchorage, ak",383.0,43.0,418779,Oct-2022
2022-11-01,76,447450.0,5.81,11,"anchorage, ak",354.0,51.0,428100,Nov-2022
2022-12-01,77,449500.0,5.54,12,"anchorage, ak",274.0,72.0,427638,Dec-2022
