date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,88800.0,3.72,7,"anderson, ks",60.0,111.0,0,Jul-2016
2016-08-01,1,89000.0,3.73,8,"anderson, ks",56.0,105.0,0,Aug-2016
2016-09-01,2,99938.0,3.66,9,"anderson, ks",58.0,84.0,0,Sep-2016
2016-10-01,3,102500.0,3.64,10,"anderson, ks",55.0,99.0,0,Oct-2016
2016-11-01,4,99900.0,3.66,11,"anderson, ks",56.0,87.0,0,Nov-2016
2016-12-01,5,112999.0,3.48,12,"anderson, ks",54.0,98.0,0,Dec-2016
2017-01-01,6,119995.0,3.45,1,"anderson, ks",54.0,89.0,0,Jan-2017
2017-02-01,7,137925.0,3.5,2,"anderson, ks",48.0,115.0,0,Feb-2017
2017-03-01,8,111499.0,3.52,3,"anderson, ks",55.0,58.0,0,Mar-2017
2017-04-01,9,114999.0,4.03,4,"anderson, ks",53.0,45.0,0,Apr-2017
2017-05-01,10,116975.0,4.32,5,"anderson, ks",53.0,66.0,0,May-2017
2017-06-01,11,123000.0,4.2,6,"anderson, ks",51.0,89.0,0,Jun-2017
2017-07-01,12,112999.0,4.19,7,"anderson, ks",45.0,103.0,0,Jul-2017
2017-08-01,13,109737.0,4.3,8,"anderson, ks",48.0,93.0,0,Aug-2017
2017-09-01,14,99900.0,4.1,9,"anderson, ks",47.0,76.0,0,Sep-2017
2017-10-01,15,125000.0,4.05,10,"anderson, ks",42.0,84.0,0,Oct-2017
2017-11-01,16,128999.0,3.94,11,"anderson, ks",42.0,103.0,0,Nov-2017
2017-12-01,17,121100.0,4.03,12,"anderson, ks",46.0,109.0,0,Dec-2017
2018-01-01,18,98375.0,3.93,1,"anderson, ks",49.0,127.0,0,Jan-2018
2018-02-01,19,97250.0,3.83,2,"anderson, ks",46.0,129.0,0,Feb-2018
2018-03-01,20,102250.0,3.94,3,"anderson, ks",44.0,124.0,0,Mar-2018
2018-04-01,21,92350.0,3.95,4,"anderson, ks",46.0,113.0,0,Apr-2018
2018-05-01,22,85125.0,3.99,5,"anderson, ks",50.0,71.0,0,May-2018
2018-06-01,23,98500.0,4.15,6,"anderson, ks",49.0,67.0,0,Jun-2018
2018-07-01,24,90000.0,4.4,7,"anderson, ks",38.0,74.0,0,Jul-2018
2018-08-01,25,87500.0,4.46,8,"anderson, ks",41.0,95.0,0,Aug-2018
2018-09-01,26,99000.0,4.58,9,"anderson, ks",35.0,108.0,0,Sep-2018
