date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,239250.0,3.72,7,"augusta, va",476.0,74.0,0,Jul-2016
2016-08-01,1,245000.0,3.73,8,"augusta, va",439.0,81.0,0,Aug-2016
2016-09-01,2,249850.0,3.66,9,"augusta, va",426.0,87.0,0,Sep-2016
2016-10-01,3,245000.0,3.64,10,"augusta, va",411.0,95.0,0,Oct-2016
2016-11-01,4,245000.0,3.66,11,"augusta, va",381.0,101.0,0,Nov-2016
2016-12-01,5,250000.0,3.48,12,"augusta, va",342.0,106.0,0,Dec-2016
2017-01-01,6,249975.0,3.45,1,"augusta, va",328.0,106.0,0,Jan-2017
2017-02-01,7,252675.0,3.5,2,"augusta, va",341.0,99.0,0,Feb-2017
2017-03-01,8,256950.0,3.52,3,"augusta, va",347.0,66.0,0,Mar-2017
2017-04-01,9,269000.0,4.03,4,"augusta, va",348.0,60.0,0,Apr-2017
2017-05-01,10,271875.0,4.32,5,"augusta, va",378.0,59.0,0,May-2017
2017-06-01,11,265500.0,4.2,6,"augusta, va",371.0,67.0,0,Jun-2017
2017-07-01,12,266000.0,4.19,7,"augusta, va",365.0,78.0,0,Jul-2017
2017-08-01,13,266250.0,4.3,8,"augusta, va",356.0,84.0,0,Aug-2017
2017-09-01,14,259000.0,4.1,9,"augusta, va",349.0,79.0,0,Sep-2017
2017-10-01,15,259900.0,4.05,10,"augusta, va",350.0,81.0,0,Oct-2017
2017-11-01,16,258975.0,3.94,11,"augusta, va",332.0,81.0,0,Nov-2017
2017-12-01,17,249950.0,4.03,12,"augusta, va",304.0,93.0,0,Dec-2017
2018-01-01,18,248700.0,3.93,1,"augusta, va",283.0,108.0,0,Jan-2018
2018-02-01,19,249975.0,3.83,2,"augusta, va",272.0,111.0,0,Feb-2018
2018-03-01,20,260000.0,3.94,3,"augusta, va",257.0,94.0,0,Mar-2018
2018-04-01,21,269450.0,3.95,4,"augusta, va",268.0,74.0,0,Apr-2018
2018-05-01,22,269900.0,3.99,5,"augusta, va",300.0,55.0,0,May-2018
2018-06-01,23,264900.0,4.15,6,"augusta, va",308.0,60.0,0,Jun-2018
2018-07-01,24,282225.0,4.4,7,"augusta, va",289.0,72.0,0,Jul-2018
2018-08-01,25,287450.0,4.46,8,"augusta, va",292.0,81.0,0,Aug-2018
2018-09-01,26,289900.0,4.58,9,"augusta, va",289.0,84.0,0,Sep-2018
2018-10-01,27,295500.0,4.66,10,"augusta, va",276.0,82.0,0,Oct-2018
2018-11-01,28,297950.0,4.62,11,"augusta, va",258.0,92.0,0,Nov-2018
2018-12-01,29,279450.0,4.54,12,"augusta, va",252.0,87.0,0,Dec-2018
2019-01-01,30,285750.0,4.6,1,"augusta, va",238.0,101.0,0,Jan-2019
2019-02-01,31,283700.0,4.72,2,"augusta, va",212.0,102.0,0,Feb-2019
2019-03-01,32,306064.0,4.9,3,"augusta, va",211.0,79.0,0,Mar-2019
2019-04-01,33,339975.0,4.94,4,"augusta, va",218.0,61.0,0,Apr-2019
2019-05-01,34,329450.0,4.75,5,"augusta, va",237.0,52.0,0,May-2019
2019-06-01,35,328750.0,4.51,6,"augusta, va",256.0,48.0,0,Jun-2019
2019-07-01,36,310725.0,4.41,7,"augusta, va",257.0,59.0,0,Jul-2019
2019-08-01,37,306964.0,4.41,8,"augusta, va",251.0,67.0,0,Aug-2019
2019-09-01,38,311484.0,4.2,9,"augusta, va",240.0,70.0,0,Sep-2019
2019-10-01,39,315000.0,4.14,10,"augusta, va",223.0,72.0,0,Oct-2019
2019-11-01,40,315000.0,3.84,11,"augusta, va",201.0,79.0,0,Nov-2019
2019-12-01,41,315925.0,3.81,12,"augusta, va",185.0,91.0,0,Dec-2019
2020-01-01,42,329225.0,3.75,1,"augusta, va",166.0,98.0,0,Jan-2020
2020-02-01,43,329000.0,3.73,2,"augusta, va",164.0,87.0,0,Feb-2020
2020-03-01,44,327000.0,3.78,3,"augusta, va",164.0,60.0,0,Mar-2020
2020-04-01,45,334900.0,3.75,4,"augusta, va",164.0,50.0,0,Apr-2020
2020-05-01,46,328900.0,3.74,5,"augusta, va",142.0,69.0,0,May-2020
2020-06-01,47,339450.0,3.72,6,"augusta, va",122.0,91.0,0,Jun-2020
2020-07-01,48,349000.0,3.49,7,"augusta, va",129.0,76.0,0,Jul-2020
2020-08-01,49,329900.0,3.65,8,"augusta, va",117.0,56.0,0,Aug-2020
2020-09-01,50,339900.0,3.33,9,"augusta, va",125.0,56.0,0,Sep-2020
2020-10-01,51,329900.0,3.28,10,"augusta, va",113.0,63.0,0,Oct-2020
2020-11-01,52,335950.0,3.21,11,"augusta, va",115.0,53.0,0,Nov-2020
2020-12-01,53,311125.0,3.07,12,"augusta, va",99.0,62.0,0,Dec-2020
2021-01-01,54,349900.0,2.99,1,"augusta, va",82.0,87.0,0,Jan-2021
2021-02-01,55,328650.0,2.93,2,"augusta, va",72.0,106.0,0,Feb-2021
2021-03-01,56,324950.0,2.88,3,"augusta, va",69.0,103.0,0,Mar-2021
