date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,229900.0,3.72,7,"avery, nc",756.0,80.0,0,Jul-2016
2016-08-01,1,233000.0,3.73,8,"avery, nc",740.0,101.0,0,Aug-2016
2016-09-01,2,239900.0,3.66,9,"avery, nc",712.0,121.0,0,Sep-2016
2016-10-01,3,248800.0,3.64,10,"avery, nc",673.0,136.0,0,Oct-2016
2016-11-01,4,242450.0,3.66,11,"avery, nc",547.0,149.0,0,Nov-2016
2016-12-01,5,229500.0,3.48,12,"avery, nc",463.0,163.0,0,Dec-2016
2017-01-01,6,224900.0,3.45,1,"avery, nc",418.0,160.0,0,Jan-2017
2017-02-01,7,219900.0,3.5,2,"avery, nc",422.0,161.0,0,Feb-2017
2017-03-01,8,219125.0,3.52,3,"avery, nc",441.0,155.0,0,Mar-2017
2017-04-01,9,219500.0,4.03,4,"avery, nc",482.0,105.0,0,Apr-2017
2017-05-01,10,206950.0,4.32,5,"avery, nc",777.0,86.0,0,May-2017
2017-06-01,11,166875.0,4.2,6,"avery, nc",1082.0,76.0,0,Jun-2017
2017-07-01,12,174900.0,4.19,7,"avery, nc",1099.0,78.0,0,Jul-2017
2017-08-01,13,267975.0,4.3,8,"avery, nc",641.0,93.0,0,Aug-2017
2017-09-01,14,275000.0,4.1,9,"avery, nc",616.0,110.0,0,Sep-2017
2017-10-01,15,274950.0,4.05,10,"avery, nc",597.0,128.0,0,Oct-2017
2017-11-01,16,274900.0,3.94,11,"avery, nc",531.0,146.0,0,Nov-2017
2017-12-01,17,259000.0,4.03,12,"avery, nc",477.0,159.0,0,Dec-2017
2018-01-01,18,259000.0,3.93,1,"avery, nc",393.0,170.0,0,Jan-2018
2018-02-01,19,267250.0,3.83,2,"avery, nc",384.0,169.0,0,Feb-2018
2018-03-01,20,249950.0,3.94,3,"avery, nc",389.0,170.0,0,Mar-2018
2018-04-01,21,250000.0,3.95,4,"avery, nc",425.0,155.0,0,Apr-2018
2018-05-01,22,268250.0,3.99,5,"avery, nc",486.0,85.0,0,May-2018
2018-06-01,23,259000.0,4.15,6,"avery, nc",530.0,71.0,0,Jun-2018
2018-07-01,24,204950.0,4.4,7,"avery, nc",729.0,88.0,0,Jul-2018
2018-08-01,25,149925.0,4.46,8,"avery, nc",900.0,106.0,0,Aug-2018
2018-09-01,26,149900.0,4.58,9,"avery, nc",899.0,122.0,0,Sep-2018
2018-10-01,27,149900.0,4.66,10,"avery, nc",893.0,130.0,0,Oct-2018
2018-11-01,28,150750.0,4.62,11,"avery, nc",840.0,137.0,0,Nov-2018
2018-12-01,29,154500.0,4.54,12,"avery, nc",784.0,143.0,0,Dec-2018
2019-01-01,30,154750.0,4.6,1,"avery, nc",689.0,152.0,0,Jan-2019
2019-02-01,31,167175.0,4.72,2,"avery, nc",693.0,159.0,0,Feb-2019
2019-03-01,32,235479.0,4.9,3,"avery, nc",567.0,144.0,0,Mar-2019
2019-04-01,33,317225.0,4.94,4,"avery, nc",428.0,109.0,0,Apr-2019
2019-05-01,34,294004.0,4.75,5,"avery, nc",436.0,64.0,0,May-2019
2019-06-01,35,319000.0,4.51,6,"avery, nc",475.0,69.0,0,Jun-2019
2019-07-01,36,328000.0,4.41,7,"avery, nc",505.0,82.0,0,Jul-2019
2019-08-01,37,351782.0,4.41,8,"avery, nc",480.0,94.0,0,Aug-2019
2019-09-01,38,362029.0,4.2,9,"avery, nc",448.0,108.0,0,Sep-2019
2019-10-01,39,379500.0,4.14,10,"avery, nc",414.0,116.0,0,Oct-2019
2019-11-01,40,399000.0,3.84,11,"avery, nc",361.0,123.0,0,Nov-2019
2019-12-01,41,419250.0,3.81,12,"avery, nc",331.0,129.0,0,Dec-2019
2020-01-01,42,429950.0,3.75,1,"avery, nc",283.0,138.0,0,Jan-2020
2020-02-01,43,438500.0,3.73,2,"avery, nc",281.0,141.0,0,Feb-2020
2020-03-01,44,444925.0,3.78,3,"avery, nc",280.0,142.0,0,Mar-2020
2020-04-01,45,425875.0,3.75,4,"avery, nc",296.0,142.0,0,Apr-2020
2020-05-01,46,448950.0,3.74,5,"avery, nc",292.0,113.0,0,May-2020
2020-06-01,47,476975.0,3.72,6,"avery, nc",269.0,109.0,0,Jun-2020
2020-07-01,48,534725.0,3.49,7,"avery, nc",240.0,95.0,0,Jul-2020
2020-08-01,49,595000.0,3.65,8,"avery, nc",196.0,72.0,0,Aug-2020
2020-09-01,50,566950.0,3.33,9,"avery, nc",176.0,80.0,0,Sep-2020
2020-10-01,51,575000.0,3.28,10,"avery, nc",157.0,78.0,0,Oct-2020
2020-11-01,52,547625.0,3.21,11,"avery, nc",142.0,61.0,0,Nov-2020
2020-12-01,53,562000.0,3.07,12,"avery, nc",134.0,69.0,0,Dec-2020
2021-01-01,54,586500.0,2.99,1,"avery, nc",114.0,88.0,0,Jan-2021
2021-02-01,55,635000.0,2.93,2,"avery, nc",103.0,98.0,0,Feb-2021
2021-03-01,56,602900.0,2.88,3,"avery, nc",106.0,94.0,0,Mar-2021
2021-04-01,57,549375.0,2.84,4,"avery, nc",115.0,55.0,0,Apr-2021
2021-05-01,58,499000.0,2.71,5,"avery, nc",127.0,47.0,0,May-2021
2021-06-01,59,527167.0,2.79,6,"avery, nc",139.0,45.0,0,Jun-2021
2021-07-01,60,482500.0,2.97,7,"avery, nc",162.0,48.0,0,Jul-2021
2021-08-01,61,512850.0,3.17,8,"avery, nc",149.0,58.0,0,Aug-2021
2021-09-01,62,486700.0,3.18,9,"avery, nc",135.0,73.0,0,Sep-2021
2021-10-01,63,399450.0,3.0,10,"avery, nc",128.0,81.0,0,Oct-2021
2021-11-01,64,382000.0,3.02,11,"avery, nc",102.0,81.0,0,Nov-2021
2021-12-01,65,375000.0,2.98,12,"avery, nc",90.0,101.0,0,Dec-2021
2022-01-01,66,349000.0,2.87,1,"avery, nc",66.0,120.0,0,Jan-2022
2022-02-01,67,362475.0,3.01,2,"avery, nc",60.0,132.0,0,Feb-2022
2022-03-01,68,388450.0,3.14,3,"avery, nc",67.0,49.0,0,Mar-2022
2022-04-01,69,350000.0,3.1,4,"avery, nc",81.0,34.0,0,Apr-2022
2022-05-01,70,413500.0,3.12,5,"avery, nc",112.0,35.0,0,May-2022
2022-06-01,71,376250.0,3.56,6,"avery, nc",136.0,38.0,0,Jun-2022
2022-07-01,72,449000.0,3.92,7,"avery, nc",152.0,45.0,0,Jul-2022
2022-08-01,73,466625.0,4.67,8,"avery, nc",148.0,65.0,0,Aug-2022
2022-09-01,74,533750.0,5.11,9,"avery, nc",149.0,58.0,372341,Sep-2022
