date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,119900.0,3.72,7,"baker, ga",9.0,85.0,0,Jul-2016
2016-08-01,1,123750.0,3.73,8,"baker, ga",10.0,102.0,0,Aug-2016
2016-09-01,2,109950.0,3.66,9,"baker, ga",10.0,101.0,0,Sep-2016
2016-10-01,3,109950.0,3.64,10,"baker, ga",8.0,131.0,0,Oct-2016
2016-11-01,4,78100.0,3.66,11,"baker, ga",7.0,129.0,0,Nov-2016
2016-12-01,5,109900.0,3.48,12,"baker, ga",9.0,127.0,0,Dec-2016
2017-01-01,6,109900.0,3.45,1,"baker, ga",9.0,86.0,0,Jan-2017
2017-02-01,7,174900.0,3.5,2,"baker, ga",7.0,96.0,0,Feb-2017
2017-03-01,8,156150.0,3.52,3,"baker, ga",8.0,101.0,0,Mar-2017
2017-04-01,9,139900.0,4.03,4,"baker, ga",9.0,45.0,0,Apr-2017
2017-05-01,10,159000.0,4.32,5,"baker, ga",11.0,63.0,0,May-2017
2017-06-01,11,134450.0,4.2,6,"baker, ga",10.0,88.0,0,Jun-2017
2017-07-01,12,150000.0,4.19,7,"baker, ga",10.0,112.0,0,Jul-2017
2017-08-01,13,169900.0,4.3,8,"baker, ga",8.0,148.0,0,Aug-2017
2017-09-01,14,150000.0,4.1,9,"baker, ga",12.0,95.0,0,Sep-2017
2017-10-01,15,150000.0,4.05,10,"baker, ga",11.0,56.0,0,Oct-2017
2017-11-01,16,150000.0,3.94,11,"baker, ga",11.0,70.0,0,Nov-2017
2017-12-01,17,150000.0,4.03,12,"baker, ga",11.0,101.0,0,Dec-2017
2018-01-01,18,124950.0,3.93,1,"baker, ga",13.0,118.0,0,Jan-2018
2018-02-01,19,94700.0,3.83,2,"baker, ga",14.0,120.0,0,Feb-2018
2018-03-01,20,99500.0,3.94,3,"baker, ga",15.0,96.0,0,Mar-2018
2018-04-01,21,112425.0,3.95,4,"baker, ga",15.0,105.0,0,Apr-2018
2018-05-01,22,150000.0,3.99,5,"baker, ga",13.0,133.0,0,May-2018
2018-06-01,23,150000.0,4.15,6,"baker, ga",13.0,164.0,0,Jun-2018
2018-07-01,24,150000.0,4.4,7,"baker, ga",15.0,196.0,0,Jul-2018
