date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,146900.0,3.72,7,"barry, mo",338.0,89.0,0,Jul-2016
2016-08-01,1,149350.0,3.73,8,"barry, mo",326.0,104.0,0,Aug-2016
2016-09-01,2,151675.0,3.66,9,"barry, mo",306.0,109.0,0,Sep-2016
2016-10-01,3,154900.0,3.64,10,"barry, mo",294.0,117.0,0,Oct-2016
2016-11-01,4,146875.0,3.66,11,"barry, mo",275.0,114.0,0,Nov-2016
2016-12-01,5,146500.0,3.48,12,"barry, mo",270.0,121.0,0,Dec-2016
2017-01-01,6,136950.0,3.45,1,"barry, mo",252.0,134.0,0,Jan-2017
2017-02-01,7,143225.0,3.5,2,"barry, mo",249.0,124.0,0,Feb-2017
2017-03-01,8,149700.0,3.52,3,"barry, mo",227.0,114.0,0,Mar-2017
2017-04-01,9,160000.0,4.03,4,"barry, mo",229.0,94.0,0,Apr-2017
2017-05-01,10,159450.0,4.32,5,"barry, mo",249.0,75.0,0,May-2017
2017-06-01,11,159800.0,4.2,6,"barry, mo",251.0,68.0,0,Jun-2017
2017-07-01,12,165000.0,4.19,7,"barry, mo",252.0,80.0,0,Jul-2017
2017-08-01,13,161250.0,4.3,8,"barry, mo",245.0,93.0,0,Aug-2017
2017-09-01,14,164900.0,4.1,9,"barry, mo",240.0,91.0,0,Sep-2017
2017-10-01,15,164900.0,4.05,10,"barry, mo",221.0,96.0,0,Oct-2017
2017-11-01,16,163400.0,3.94,11,"barry, mo",215.0,106.0,0,Nov-2017
2017-12-01,17,164950.0,4.03,12,"barry, mo",202.0,114.0,0,Dec-2017
2018-01-01,18,165000.0,3.93,1,"barry, mo",193.0,117.0,0,Jan-2018
2018-02-01,19,166950.0,3.83,2,"barry, mo",199.0,102.0,0,Feb-2018
2018-03-01,20,159700.0,3.94,3,"barry, mo",234.0,58.0,0,Mar-2018
2018-04-01,21,159125.0,3.95,4,"barry, mo",246.0,57.0,0,Apr-2018
2018-05-01,22,159000.0,3.99,5,"barry, mo",260.0,72.0,0,May-2018
2018-06-01,23,159900.0,4.15,6,"barry, mo",259.0,78.0,0,Jun-2018
2018-07-01,24,159975.0,4.4,7,"barry, mo",257.0,90.0,0,Jul-2018
2018-08-01,25,166700.0,4.46,8,"barry, mo",249.0,94.0,0,Aug-2018
2018-09-01,26,162400.0,4.58,9,"barry, mo",240.0,102.0,0,Sep-2018
2018-10-01,27,169900.0,4.66,10,"barry, mo",226.0,93.0,0,Oct-2018
2018-11-01,28,169825.0,4.62,11,"barry, mo",222.0,94.0,0,Nov-2018
2018-12-01,29,169900.0,4.54,12,"barry, mo",215.0,103.0,0,Dec-2018
2019-01-01,30,173250.0,4.6,1,"barry, mo",201.0,110.0,0,Jan-2019
2019-02-01,31,182400.0,4.72,2,"barry, mo",197.0,113.0,0,Feb-2019
2019-03-01,32,188357.0,4.9,3,"barry, mo",197.0,106.0,0,Mar-2019
2019-04-01,33,189700.0,4.94,4,"barry, mo",203.0,86.0,0,Apr-2019
2019-05-01,34,183475.0,4.75,5,"barry, mo",214.0,81.0,0,May-2019
2019-06-01,35,178900.0,4.51,6,"barry, mo",225.0,82.0,0,Jun-2019
2019-07-01,36,172500.0,4.41,7,"barry, mo",237.0,84.0,0,Jul-2019
2019-08-01,37,170000.0,4.41,8,"barry, mo",233.0,84.0,0,Aug-2019
2019-09-01,38,170000.0,4.2,9,"barry, mo",226.0,88.0,0,Sep-2019
2019-10-01,39,172500.0,4.14,10,"barry, mo",216.0,95.0,0,Oct-2019
2019-11-01,40,175000.0,3.84,11,"barry, mo",210.0,107.0,0,Nov-2019
2019-12-01,41,175000.0,3.81,12,"barry, mo",198.0,107.0,0,Dec-2019
2020-01-01,42,174125.0,3.75,1,"barry, mo",183.0,110.0,0,Jan-2020
2020-02-01,43,189900.0,3.73,2,"barry, mo",184.0,105.0,0,Feb-2020
2020-03-01,44,179900.0,3.78,3,"barry, mo",169.0,73.0,0,Mar-2020
2020-04-01,45,182400.0,3.75,4,"barry, mo",169.0,73.0,0,Apr-2020
2020-05-01,46,191900.0,3.74,5,"barry, mo",149.0,86.0,0,May-2020
