date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,259900.0,3.72,7,"bay, fl",2305.0,87.0,0,Jul-2016
2016-08-01,1,259900.0,3.73,8,"bay, fl",2307.0,88.0,0,Aug-2016
2016-09-01,2,259900.0,3.66,9,"bay, fl",2261.0,91.0,0,Sep-2016
2016-10-01,3,259900.0,3.64,10,"bay, fl",2230.0,92.0,0,Oct-2016
2016-11-01,4,259000.0,3.66,11,"bay, fl",2199.0,93.0,0,Nov-2016
2016-12-01,5,259250.0,3.48,12,"bay, fl",2107.0,102.0,0,Dec-2016
2017-01-01,6,259000.0,3.45,1,"bay, fl",2020.0,106.0,0,Jan-2017
2017-02-01,7,256975.0,3.5,2,"bay, fl",1984.0,100.0,0,Feb-2017
2017-03-01,8,259900.0,3.52,3,"bay, fl",1934.0,84.0,0,Mar-2017
2017-04-01,9,269850.0,4.03,4,"bay, fl",1886.0,72.0,0,Apr-2017
2017-05-01,10,274000.0,4.32,5,"bay, fl",1874.0,68.0,0,May-2017
2017-06-01,11,275000.0,4.2,6,"bay, fl",1866.0,70.0,0,Jun-2017
2017-07-01,12,275000.0,4.19,7,"bay, fl",1801.0,74.0,0,Jul-2017
2017-08-01,13,274925.0,4.3,8,"bay, fl",1791.0,79.0,0,Aug-2017
2017-09-01,14,274900.0,4.1,9,"bay, fl",1773.0,78.0,0,Sep-2017
2017-10-01,15,269950.0,4.05,10,"bay, fl",1775.0,78.0,0,Oct-2017
2017-11-01,16,274950.0,3.94,11,"bay, fl",1765.0,82.0,0,Nov-2017
2017-12-01,17,274750.0,4.03,12,"bay, fl",1676.0,89.0,0,Dec-2017
2018-01-01,18,270500.0,3.93,1,"bay, fl",1632.0,91.0,0,Jan-2018
2018-02-01,19,270225.0,3.83,2,"bay, fl",1661.0,78.0,0,Feb-2018
2018-03-01,20,275000.0,3.94,3,"bay, fl",1690.0,59.0,0,Mar-2018
2018-04-01,21,285000.0,3.95,4,"bay, fl",1749.0,59.0,0,Apr-2018
2018-05-01,22,280810.0,3.99,5,"bay, fl",1778.0,59.0,0,May-2018
2018-06-01,23,289900.0,4.15,6,"bay, fl",1675.0,70.0,0,Jun-2018
2018-07-01,24,289000.0,4.4,7,"bay, fl",1677.0,71.0,0,Jul-2018
