date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,295000.0,3.72,7,"becker, mn",320.0,80.0,0,Jul-2016
2016-08-01,1,287200.0,3.73,8,"becker, mn",317.0,85.0,0,Aug-2016
2016-09-01,2,287950.0,3.66,9,"becker, mn",298.0,87.0,0,Sep-2016
2016-10-01,3,284500.0,3.64,10,"becker, mn",266.0,91.0,0,Oct-2016
2016-11-01,4,282475.0,3.66,11,"becker, mn",246.0,93.0,0,Nov-2016
2016-12-01,5,289900.0,3.48,12,"becker, mn",206.0,107.0,0,Dec-2016
2017-01-01,6,289425.0,3.45,1,"becker, mn",187.0,121.0,0,Jan-2017
2017-02-01,7,304978.0,3.5,2,"becker, mn",201.0,114.0,0,Feb-2017
2017-03-01,8,309978.0,3.52,3,"becker, mn",213.0,106.0,0,Mar-2017
2017-04-01,9,329950.0,4.03,4,"becker, mn",231.0,64.0,0,Apr-2017
2017-05-01,10,319900.0,4.32,5,"becker, mn",262.0,54.0,0,May-2017
2017-06-01,11,322250.0,4.2,6,"becker, mn",269.0,65.0,0,Jun-2017
2017-07-01,12,325000.0,4.19,7,"becker, mn",284.0,71.0,0,Jul-2017
2017-08-01,13,308700.0,4.3,8,"becker, mn",277.0,84.0,0,Aug-2017
2017-09-01,14,299900.0,4.1,9,"becker, mn",299.0,76.0,0,Sep-2017
2017-10-01,15,295000.0,4.05,10,"becker, mn",288.0,80.0,0,Oct-2017
2017-11-01,16,296400.0,3.94,11,"becker, mn",274.0,89.0,0,Nov-2017
2017-12-01,17,289900.0,4.03,12,"becker, mn",239.0,108.0,0,Dec-2017
2018-01-01,18,285875.0,3.93,1,"becker, mn",192.0,117.0,0,Jan-2018
2018-02-01,19,281750.0,3.83,2,"becker, mn",192.0,123.0,0,Feb-2018
2018-03-01,20,299250.0,3.94,3,"becker, mn",218.0,125.0,0,Mar-2018
2018-04-01,21,300000.0,3.95,4,"becker, mn",221.0,67.0,0,Apr-2018
