date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,549000.0,3.72,7,"bergen, nj",4748.0,65.0,0,Jul-2016
2016-08-01,1,539950.0,3.73,8,"bergen, nj",4568.0,73.0,0,Aug-2016
2016-09-01,2,539000.0,3.66,9,"bergen, nj",4397.0,79.0,0,Sep-2016
2016-10-01,3,539945.0,3.64,10,"bergen, nj",4214.0,75.0,0,Oct-2016
2016-11-01,4,536500.0,3.66,11,"bergen, nj",3788.0,74.0,0,Nov-2016
2016-12-01,5,535000.0,3.48,12,"bergen, nj",3288.0,82.0,0,Dec-2016
2017-01-01,6,534500.0,3.45,1,"bergen, nj",3029.0,88.0,0,Jan-2017
2017-02-01,7,549000.0,3.5,2,"bergen, nj",3155.0,69.0,0,Feb-2017
2017-03-01,8,564500.0,3.52,3,"bergen, nj",3503.0,48.0,0,Mar-2017
2017-04-01,9,599000.0,4.03,4,"bergen, nj",3662.0,45.0,0,Apr-2017
2017-05-01,10,599000.0,4.32,5,"bergen, nj",4110.0,44.0,0,May-2017
2017-06-01,11,598500.0,4.2,6,"bergen, nj",4242.0,50.0,0,Jun-2017
2017-07-01,12,598900.0,4.19,7,"bergen, nj",4163.0,58.0,0,Jul-2017
2017-08-01,13,589422.0,4.3,8,"bergen, nj",4025.0,65.0,0,Aug-2017
2017-09-01,14,589000.0,4.1,9,"bergen, nj",3866.0,68.0,0,Sep-2017
2017-10-01,15,588458.0,4.05,10,"bergen, nj",3816.0,67.0,0,Oct-2017
2017-11-01,16,598500.0,3.94,11,"bergen, nj",3566.0,69.0,0,Nov-2017
2017-12-01,17,589000.0,4.03,12,"bergen, nj",3151.0,79.0,0,Dec-2017
2018-01-01,18,580000.0,3.93,1,"bergen, nj",2784.0,81.0,0,Jan-2018
2018-02-01,19,580500.0,3.83,2,"bergen, nj",2909.0,63.0,0,Feb-2018
2018-03-01,20,599000.0,3.94,3,"bergen, nj",3250.0,44.0,0,Mar-2018
2018-04-01,21,599000.0,3.95,4,"bergen, nj",3562.0,44.0,0,Apr-2018
2018-05-01,22,599450.0,3.99,5,"bergen, nj",3933.0,40.0,0,May-2018
2018-06-01,23,600000.0,4.15,6,"bergen, nj",4165.0,44.0,0,Jun-2018
2018-07-01,24,599923.0,4.4,7,"bergen, nj",4189.0,53.0,0,Jul-2018
2018-08-01,25,599000.0,4.46,8,"bergen, nj",4180.0,61.0,0,Aug-2018
2018-09-01,26,594900.0,4.58,9,"bergen, nj",4205.0,65.0,0,Sep-2018
2018-10-01,27,585000.0,4.66,10,"bergen, nj",4132.0,64.0,0,Oct-2018
2018-11-01,28,589425.0,4.62,11,"bergen, nj",3896.0,65.0,0,Nov-2018
2018-12-01,29,579900.0,4.54,12,"bergen, nj",3466.0,78.0,0,Dec-2018
2019-01-01,30,569450.0,4.6,1,"bergen, nj",3172.0,83.0,0,Jan-2019
2019-02-01,31,577000.0,4.72,2,"bergen, nj",3218.0,69.0,0,Feb-2019
2019-03-01,32,588000.0,4.9,3,"bergen, nj",3537.0,50.0,0,Mar-2019
2019-04-01,33,609500.0,4.94,4,"bergen, nj",3858.0,44.0,0,Apr-2019
2019-05-01,34,625000.0,4.75,5,"bergen, nj",4224.0,44.0,0,May-2019
2019-06-01,35,629000.0,4.51,6,"bergen, nj",4352.0,50.0,0,Jun-2019
2019-07-01,36,622500.0,4.41,7,"bergen, nj",4307.0,59.0,0,Jul-2019
2019-08-01,37,622455.0,4.41,8,"bergen, nj",4098.0,62.0,0,Aug-2019
2019-09-01,38,626136.0,4.2,9,"bergen, nj",3909.0,64.0,0,Sep-2019
2019-10-01,39,629000.0,4.14,10,"bergen, nj",3720.0,65.0,0,Oct-2019
2019-11-01,40,625000.0,3.84,11,"bergen, nj",3451.0,65.0,0,Nov-2019
2019-12-01,41,625000.0,3.81,12,"bergen, nj",2934.0,76.0,0,Dec-2019
2020-01-01,42,624950.0,3.75,1,"bergen, nj",2658.0,82.0,0,Jan-2020
2020-02-01,43,629900.0,3.73,2,"bergen, nj",2778.0,59.0,0,Feb-2020
2020-03-01,44,648000.0,3.78,3,"bergen, nj",2887.0,44.0,0,Mar-2020
2020-04-01,45,648250.0,3.75,4,"bergen, nj",2643.0,61.0,0,Apr-2020
2020-05-01,46,649000.0,3.74,5,"bergen, nj",2839.0,73.0,0,May-2020
2020-06-01,47,649000.0,3.72,6,"bergen, nj",3120.0,42.0,0,Jun-2020
2020-07-01,48,649000.0,3.49,7,"bergen, nj",3189.0,37.0,0,Jul-2020
2020-08-01,49,648000.0,3.65,8,"bergen, nj",3154.0,42.0,0,Aug-2020
2020-09-01,50,633722.0,3.33,9,"bergen, nj",3074.0,44.0,0,Sep-2020
2020-10-01,51,625000.0,3.28,10,"bergen, nj",3125.0,43.0,0,Oct-2020
2020-11-01,52,619993.0,3.21,11,"bergen, nj",2934.0,50.0,0,Nov-2020
2020-12-01,53,622400.0,3.07,12,"bergen, nj",2520.0,62.0,0,Dec-2020
2021-01-01,54,617450.0,2.99,1,"bergen, nj",2105.0,72.0,0,Jan-2021
2021-02-01,55,617495.0,2.93,2,"bergen, nj",1983.0,55.0,0,Feb-2021
2021-03-01,56,610722.0,2.88,3,"bergen, nj",2051.0,35.0,0,Mar-2021
2021-04-01,57,610000.0,2.84,4,"bergen, nj",2167.0,32.0,0,Apr-2021
2021-05-01,58,629000.0,2.71,5,"bergen, nj",2300.0,30.0,0,May-2021
2021-06-01,59,629000.0,2.79,6,"bergen, nj",2549.0,32.0,0,Jun-2021
2021-07-01,60,615000.0,2.97,7,"bergen, nj",2617.0,37.0,0,Jul-2021
2021-08-01,61,613925.0,3.17,8,"bergen, nj",2569.0,43.0,0,Aug-2021
2021-09-01,62,601200.0,3.18,9,"bergen, nj",2424.0,47.0,0,Sep-2021
2021-10-01,63,599100.0,3.0,10,"bergen, nj",2292.0,48.0,0,Oct-2021
2021-11-01,64,599450.0,3.02,11,"bergen, nj",1935.0,51.0,0,Nov-2021
2021-12-01,65,599000.0,2.98,12,"bergen, nj",1612.0,60.0,0,Dec-2021
2022-01-01,66,615000.0,2.87,1,"bergen, nj",1278.0,59.0,0,Jan-2022
2022-02-01,67,637500.0,3.01,2,"bergen, nj",1304.0,36.0,0,Feb-2022
2022-03-01,68,637450.0,3.14,3,"bergen, nj",1409.0,26.0,0,Mar-2022
2022-04-01,69,675000.0,3.1,4,"bergen, nj",1520.0,25.0,0,Apr-2022
2022-05-01,70,669950.0,3.12,5,"bergen, nj",1784.0,25.0,0,May-2022
2022-06-01,71,680500.0,3.56,6,"bergen, nj",1979.0,29.0,0,Jun-2022
2022-07-01,72,665000.0,3.92,7,"bergen, nj",2070.0,33.0,0,Jul-2022
2022-08-01,73,669000.0,4.67,8,"bergen, nj",1955.0,41.0,0,Aug-2022
2022-09-01,74,675000.0,5.11,9,"bergen, nj",1801.0,48.0,683601,Sep-2022
2022-10-01,75,674900.0,5.3,10,"bergen, nj",1761.0,46.0,678416,Oct-2022
2022-11-01,76,677000.0,5.81,11,"bergen, nj",1662.0,51.0,677535,Nov-2022
2022-12-01,77,675000.0,5.54,12,"bergen, nj",1459.0,59.0,682477,Dec-2022
2023-01-01,78,678500.0,5.55,1,"bergen, nj",1229.0,67.0,687316,Jan-2023
2023-02-01,79,705000.0,6.7,2,"bergen, nj",1160.0,43.0,695224,Feb-2023
2023-03-01,80,717389.0,7.08,3,"bergen, nj",1199.0,34.0,693618,Mar-2023
2023-04-01,81,729000.0,7.08,4,"bergen, nj",1253.0,29.0,699607,Apr-2023
2023-05-01,82,749748.0,6.49,5,"bergen, nj",1303.0,28.0,699084,May-2023
2023-06-01,83,749000.0,6.48,6,"bergen, nj",1333.0,29.0,699572,Jun-2023
2023-07-01,84,759500.0,6.5,7,"bergen, nj",1311.0,33.0,694485,Jul-2023
