date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,169900.0,3.72,7,"bladen, nc",99.0,91.0,0,Jul-2016
2016-08-01,1,184900.0,3.73,8,"bladen, nc",98.0,109.0,0,Aug-2016
2016-09-01,2,157675.0,3.66,9,"bladen, nc",105.0,110.0,0,Sep-2016
2016-10-01,3,158850.0,3.64,10,"bladen, nc",101.0,123.0,0,Oct-2016
2016-11-01,4,129925.0,3.66,11,"bladen, nc",86.0,137.0,0,Nov-2016
2016-12-01,5,149950.0,3.48,12,"bladen, nc",81.0,155.0,0,Dec-2016
2017-01-01,6,147450.0,3.45,1,"bladen, nc",83.0,136.0,0,Jan-2017
2017-02-01,7,153750.0,3.5,2,"bladen, nc",82.0,134.0,0,Feb-2017
2017-03-01,8,148725.0,3.52,3,"bladen, nc",88.0,114.0,0,Mar-2017
2017-04-01,9,149900.0,4.03,4,"bladen, nc",95.0,89.0,0,Apr-2017
2017-05-01,10,148050.0,4.32,5,"bladen, nc",104.0,89.0,0,May-2017
2017-06-01,11,151225.0,4.2,6,"bladen, nc",103.0,106.0,0,Jun-2017
2017-07-01,12,169900.0,4.19,7,"bladen, nc",102.0,106.0,0,Jul-2017
2017-08-01,13,162250.0,4.3,8,"bladen, nc",97.0,121.0,0,Aug-2017
2017-09-01,14,159500.0,4.1,9,"bladen, nc",99.0,119.0,0,Sep-2017
2017-10-01,15,159575.0,4.05,10,"bladen, nc",96.0,131.0,0,Oct-2017
2017-11-01,16,150175.0,3.94,11,"bladen, nc",93.0,133.0,0,Nov-2017
2017-12-01,17,133900.0,4.03,12,"bladen, nc",94.0,145.0,0,Dec-2017
2018-01-01,18,134900.0,3.93,1,"bladen, nc",83.0,152.0,0,Jan-2018
2018-02-01,19,141800.0,3.83,2,"bladen, nc",81.0,170.0,0,Feb-2018
2018-03-01,20,147500.0,3.94,3,"bladen, nc",83.0,151.0,0,Mar-2018
2018-04-01,21,168725.0,3.95,4,"bladen, nc",101.0,73.0,0,Apr-2018
2018-05-01,22,161975.0,3.99,5,"bladen, nc",111.0,66.0,0,May-2018
2018-06-01,23,158900.0,4.15,6,"bladen, nc",116.0,86.0,0,Jun-2018
2018-07-01,24,179800.0,4.4,7,"bladen, nc",108.0,104.0,0,Jul-2018
2018-08-01,25,179900.0,4.46,8,"bladen, nc",106.0,113.0,0,Aug-2018
2018-09-01,26,179900.0,4.58,9,"bladen, nc",103.0,115.0,0,Sep-2018
2018-10-01,27,189225.0,4.66,10,"bladen, nc",93.0,114.0,0,Oct-2018
2018-11-01,28,184100.0,4.62,11,"bladen, nc",89.0,114.0,0,Nov-2018
2018-12-01,29,187100.0,4.54,12,"bladen, nc",90.0,126.0,0,Dec-2018
2019-01-01,30,174750.0,4.6,1,"bladen, nc",86.0,136.0,0,Jan-2019
2019-02-01,31,179800.0,4.72,2,"bladen, nc",93.0,120.0,0,Feb-2019
2019-03-01,32,189907.0,4.9,3,"bladen, nc",88.0,105.0,0,Mar-2019
2019-04-01,33,193882.0,4.94,4,"bladen, nc",86.0,88.0,0,Apr-2019
2019-05-01,34,189900.0,4.75,5,"bladen, nc",84.0,78.0,0,May-2019
2019-06-01,35,199000.0,4.51,6,"bladen, nc",86.0,64.0,0,Jun-2019
2019-07-01,36,192175.0,4.41,7,"bladen, nc",96.0,62.0,0,Jul-2019
2019-08-01,37,193323.0,4.41,8,"bladen, nc",98.0,79.0,0,Aug-2019
2019-09-01,38,198457.0,4.2,9,"bladen, nc",99.0,102.0,0,Sep-2019
2019-10-01,39,200155.0,4.14,10,"bladen, nc",99.0,121.0,0,Oct-2019
2019-11-01,40,199000.0,3.84,11,"bladen, nc",101.0,128.0,0,Nov-2019
2019-12-01,41,189900.0,3.81,12,"bladen, nc",100.0,127.0,0,Dec-2019
2020-01-01,42,189900.0,3.75,1,"bladen, nc",82.0,122.0,0,Jan-2020
2020-02-01,43,199450.0,3.73,2,"bladen, nc",86.0,143.0,0,Feb-2020
2020-03-01,44,201175.0,3.78,3,"bladen, nc",82.0,134.0,0,Mar-2020
2020-04-01,45,199675.0,3.75,4,"bladen, nc",83.0,115.0,0,Apr-2020
2020-05-01,46,199900.0,3.74,5,"bladen, nc",83.0,115.0,0,May-2020
2020-06-01,47,214900.0,3.72,6,"bladen, nc",71.0,120.0,0,Jun-2020
2020-07-01,48,204950.0,3.49,7,"bladen, nc",78.0,115.0,0,Jul-2020
2020-08-01,49,209900.0,3.65,8,"bladen, nc",74.0,117.0,0,Aug-2020
2020-09-01,50,197000.0,3.33,9,"bladen, nc",62.0,110.0,0,Sep-2020
2020-10-01,51,199000.0,3.28,10,"bladen, nc",48.0,129.0,0,Oct-2020
2020-11-01,52,185950.0,3.21,11,"bladen, nc",45.0,136.0,0,Nov-2020
2020-12-01,53,193425.0,3.07,12,"bladen, nc",49.0,135.0,0,Dec-2020
2021-01-01,54,184900.0,2.99,1,"bladen, nc",42.0,107.0,0,Jan-2021
2021-02-01,55,190950.0,2.93,2,"bladen, nc",38.0,85.0,0,Feb-2021
2021-03-01,56,204965.0,2.88,3,"bladen, nc",35.0,99.0,0,Mar-2021
2021-04-01,57,188675.0,2.84,4,"bladen, nc",36.0,61.0,0,Apr-2021
2021-05-01,58,199944.0,2.71,5,"bladen, nc",28.0,66.0,0,May-2021
2021-06-01,59,239900.0,2.79,6,"bladen, nc",31.0,64.0,0,Jun-2021
2021-07-01,60,274450.0,2.97,7,"bladen, nc",34.0,61.0,0,Jul-2021
2021-08-01,61,304900.0,3.17,8,"bladen, nc",31.0,77.0,0,Aug-2021
2021-09-01,62,343675.0,3.18,9,"bladen, nc",32.0,77.0,0,Sep-2021
2021-10-01,63,272450.0,3.0,10,"bladen, nc",28.0,74.0,0,Oct-2021
2021-11-01,64,253075.0,3.02,11,"bladen, nc",29.0,70.0,0,Nov-2021
2021-12-01,65,220950.0,2.98,12,"bladen, nc",31.0,80.0,0,Dec-2021
2022-01-01,66,210000.0,2.87,1,"bladen, nc",25.0,88.0,0,Jan-2022
2022-02-01,67,204974.0,3.01,2,"bladen, nc",21.0,82.0,0,Feb-2022
2022-03-01,68,199999.0,3.14,3,"bladen, nc",17.0,85.0,0,Mar-2022
2022-04-01,69,212500.0,3.1,4,"bladen, nc",13.0,61.0,0,Apr-2022
2022-05-01,70,249450.0,3.12,5,"bladen, nc",23.0,26.0,0,May-2022
2022-06-01,71,224250.0,3.56,6,"bladen, nc",25.0,41.0,0,Jun-2022
2022-07-01,72,224450.0,3.92,7,"bladen, nc",26.0,40.0,0,Jul-2022
2022-08-01,73,233700.0,4.67,8,"bladen, nc",23.0,61.0,0,Aug-2022
2022-09-01,74,280000.0,5.11,9,"bladen, nc",21.0,57.0,220426,Sep-2022
2022-10-01,75,273750.0,5.3,10,"bladen, nc",24.0,65.0,216122,Oct-2022
2022-11-01,76,257675.0,5.81,11,"bladen, nc",27.0,72.0,223017,Nov-2022
2022-12-01,77,255200.0,5.54,12,"bladen, nc",29.0,66.0,218649,Dec-2022
2023-01-01,78,257450.0,5.55,1,"bladen, nc",29.0,83.0,221862,Jan-2023
2023-02-01,79,247900.0,6.7,2,"bladen, nc",28.0,88.0,225753,Feb-2023
2023-03-01,80,232450.0,7.08,3,"bladen, nc",29.0,77.0,223588,Mar-2023
2023-04-01,81,242450.0,7.08,4,"bladen, nc",31.0,43.0,223551,Apr-2023
2023-05-01,82,219975.0,6.49,5,"bladen, nc",23.0,46.0,216946,May-2023
2023-06-01,83,263975.0,6.48,6,"bladen, nc",22.0,29.0,214897,Jun-2023
2023-07-01,84,275000.0,6.5,7,"bladen, nc",32.0,41.0,219495,Jul-2023
