date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,162500.0,3.72,7,"bledsoe, tn",79.0,110.0,0,Jul-2016
2016-08-01,1,177500.0,3.73,8,"bledsoe, tn",70.0,123.0,0,Aug-2016
2016-09-01,2,165000.0,3.66,9,"bledsoe, tn",71.0,118.0,0,Sep-2016
2016-10-01,3,175000.0,3.64,10,"bledsoe, tn",70.0,116.0,0,Oct-2016
2016-11-01,4,175000.0,3.66,11,"bledsoe, tn",65.0,98.0,0,Nov-2016
2016-12-01,5,182500.0,3.48,12,"bledsoe, tn",58.0,106.0,0,Dec-2016
2017-01-01,6,178000.0,3.45,1,"bledsoe, tn",55.0,99.0,0,Jan-2017
2017-02-01,7,184500.0,3.5,2,"bledsoe, tn",52.0,112.0,0,Feb-2017
2017-03-01,8,179250.0,3.52,3,"bledsoe, tn",55.0,106.0,0,Mar-2017
2017-04-01,9,193950.0,4.03,4,"bledsoe, tn",61.0,97.0,0,Apr-2017
2017-05-01,10,185725.0,4.32,5,"bledsoe, tn",70.0,65.0,0,May-2017
2017-06-01,11,172000.0,4.2,6,"bledsoe, tn",80.0,61.0,0,Jun-2017
2017-07-01,12,164500.0,4.19,7,"bledsoe, tn",78.0,79.0,0,Jul-2017
2017-08-01,13,176000.0,4.3,8,"bledsoe, tn",75.0,91.0,0,Aug-2017
2017-09-01,14,179450.0,4.1,9,"bledsoe, tn",72.0,112.0,0,Sep-2017
2017-10-01,15,207450.0,4.05,10,"bledsoe, tn",66.0,133.0,0,Oct-2017
2017-11-01,16,194700.0,3.94,11,"bledsoe, tn",66.0,146.0,0,Nov-2017
2017-12-01,17,199500.0,4.03,12,"bledsoe, tn",63.0,142.0,0,Dec-2017
2018-01-01,18,211950.0,3.93,1,"bledsoe, tn",59.0,135.0,0,Jan-2018
2018-02-01,19,219900.0,3.83,2,"bledsoe, tn",66.0,91.0,0,Feb-2018
2018-03-01,20,229900.0,3.94,3,"bledsoe, tn",62.0,104.0,0,Mar-2018
2018-04-01,21,237400.0,3.95,4,"bledsoe, tn",63.0,84.0,0,Apr-2018
2018-05-01,22,234450.0,3.99,5,"bledsoe, tn",67.0,80.0,0,May-2018
2018-06-01,23,239900.0,4.15,6,"bledsoe, tn",66.0,74.0,0,Jun-2018
2018-07-01,24,240425.0,4.4,7,"bledsoe, tn",67.0,87.0,0,Jul-2018
2018-08-01,25,239900.0,4.46,8,"bledsoe, tn",67.0,91.0,0,Aug-2018
2018-09-01,26,229000.0,4.58,9,"bledsoe, tn",58.0,85.0,0,Sep-2018
2018-10-01,27,199925.0,4.66,10,"bledsoe, tn",54.0,97.0,0,Oct-2018
2018-11-01,28,226725.0,4.62,11,"bledsoe, tn",56.0,114.0,0,Nov-2018
