date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,125000.0,3.72,7,"bristol, va",121.0,80.0,0,Jul-2016
2016-08-01,1,119950.0,3.73,8,"bristol, va",124.0,81.0,0,Aug-2016
2016-09-01,2,119900.0,3.66,9,"bristol, va",132.0,80.0,0,Sep-2016
2016-10-01,3,115900.0,3.64,10,"bristol, va",133.0,79.0,0,Oct-2016
2016-11-01,4,109900.0,3.66,11,"bristol, va",136.0,79.0,0,Nov-2016
2016-12-01,5,109400.0,3.48,12,"bristol, va",130.0,88.0,0,Dec-2016
2017-01-01,6,106300.0,3.45,1,"bristol, va",124.0,102.0,0,Jan-2017
2017-02-01,7,109900.0,3.5,2,"bristol, va",134.0,106.0,0,Feb-2017
2017-03-01,8,114800.0,3.52,3,"bristol, va",142.0,97.0,0,Mar-2017
2017-04-01,9,119900.0,4.03,4,"bristol, va",139.0,70.0,0,Apr-2017
2017-05-01,10,119943.0,4.32,5,"bristol, va",151.0,67.0,0,May-2017
2017-06-01,11,118115.0,4.2,6,"bristol, va",149.0,71.0,0,Jun-2017
2017-07-01,12,115200.0,4.19,7,"bristol, va",141.0,80.0,0,Jul-2017
2017-08-01,13,116440.0,4.3,8,"bristol, va",142.0,91.0,0,Aug-2017
2017-09-01,14,110250.0,4.1,9,"bristol, va",133.0,107.0,0,Sep-2017
2017-10-01,15,108675.0,4.05,10,"bristol, va",124.0,89.0,0,Oct-2017
2017-11-01,16,109900.0,3.94,11,"bristol, va",111.0,92.0,0,Nov-2017
2017-12-01,17,111993.0,4.03,12,"bristol, va",100.0,106.0,0,Dec-2017
2018-01-01,18,111993.0,3.93,1,"bristol, va",92.0,107.0,0,Jan-2018
2018-02-01,19,109964.0,3.83,2,"bristol, va",96.0,101.0,0,Feb-2018
2018-03-01,20,114000.0,3.94,3,"bristol, va",85.0,81.0,0,Mar-2018
2018-04-01,21,115975.0,3.95,4,"bristol, va",90.0,66.0,0,Apr-2018
2018-05-01,22,131950.0,3.99,5,"bristol, va",89.0,58.0,0,May-2018
2018-06-01,23,129900.0,4.15,6,"bristol, va",88.0,65.0,0,Jun-2018
2018-07-01,24,121988.0,4.4,7,"bristol, va",98.0,63.0,0,Jul-2018
2018-08-01,25,121950.0,4.46,8,"bristol, va",101.0,66.0,0,Aug-2018
2018-09-01,26,122700.0,4.58,9,"bristol, va",105.0,74.0,0,Sep-2018
2018-10-01,27,122500.0,4.66,10,"bristol, va",108.0,81.0,0,Oct-2018
2018-11-01,28,114950.0,4.62,11,"bristol, va",108.0,80.0,0,Nov-2018
2018-12-01,29,110000.0,4.54,12,"bristol, va",99.0,90.0,0,Dec-2018
2019-01-01,30,118725.0,4.6,1,"bristol, va",93.0,102.0,0,Jan-2019
2019-02-01,31,106171.0,4.72,2,"bristol, va",94.0,107.0,0,Feb-2019
2019-03-01,32,108490.0,4.9,3,"bristol, va",85.0,83.0,0,Mar-2019
2019-04-01,33,119921.0,4.94,4,"bristol, va",77.0,59.0,0,Apr-2019
2019-05-01,34,134997.0,4.75,5,"bristol, va",79.0,54.0,0,May-2019
2019-06-01,35,122000.0,4.51,6,"bristol, va",80.0,73.0,0,Jun-2019
2019-07-01,36,118675.0,4.41,7,"bristol, va",84.0,73.0,0,Jul-2019
2019-08-01,37,126964.0,4.41,8,"bristol, va",79.0,70.0,0,Aug-2019
2019-09-01,38,133734.0,4.2,9,"bristol, va",77.0,60.0,0,Sep-2019
2019-10-01,39,133748.0,4.14,10,"bristol, va",76.0,53.0,0,Oct-2019
2019-11-01,40,130000.0,3.84,11,"bristol, va",77.0,66.0,0,Nov-2019
2019-12-01,41,129500.0,3.81,12,"bristol, va",76.0,80.0,0,Dec-2019
2020-01-01,42,129250.0,3.75,1,"bristol, va",70.0,101.0,0,Jan-2020
2020-02-01,43,139500.0,3.73,2,"bristol, va",54.0,129.0,0,Feb-2020
2020-03-01,44,144893.0,3.78,3,"bristol, va",49.0,132.0,0,Mar-2020
2020-04-01,45,144900.0,3.75,4,"bristol, va",46.0,96.0,0,Apr-2020
2020-05-01,46,147400.0,3.74,5,"bristol, va",41.0,64.0,0,May-2020
2020-06-01,47,154467.0,3.72,6,"bristol, va",39.0,64.0,0,Jun-2020
2020-07-01,48,164975.0,3.49,7,"bristol, va",29.0,52.0,0,Jul-2020
2020-08-01,49,164900.0,3.65,8,"bristol, va",26.0,53.0,0,Aug-2020
2020-09-01,50,156000.0,3.33,9,"bristol, va",32.0,33.0,0,Sep-2020
2020-10-01,51,157400.0,3.28,10,"bristol, va",32.0,31.0,0,Oct-2020
2020-11-01,52,168500.0,3.21,11,"bristol, va",35.0,34.0,0,Nov-2020
2020-12-01,53,175996.0,3.07,12,"bristol, va",35.0,50.0,0,Dec-2020
2021-01-01,54,144900.0,2.99,1,"bristol, va",29.0,56.0,0,Jan-2021
2021-02-01,55,127443.0,2.93,2,"bristol, va",22.0,62.0,0,Feb-2021
2021-03-01,56,144900.0,2.88,3,"bristol, va",17.0,50.0,0,Mar-2021
2021-04-01,57,150888.0,2.84,4,"bristol, va",20.0,14.0,0,Apr-2021
2021-05-01,58,159000.0,2.71,5,"bristol, va",15.0,29.0,0,May-2021
2021-06-01,59,170200.0,2.79,6,"bristol, va",20.0,18.0,0,Jun-2021
2021-07-01,60,149900.0,2.97,7,"bristol, va",31.0,18.0,0,Jul-2021
2021-08-01,61,154500.0,3.17,8,"bristol, va",32.0,31.0,0,Aug-2021
2021-09-01,62,146750.0,3.18,9,"bristol, va",28.0,51.0,0,Sep-2021
2021-10-01,63,175000.0,3.0,10,"bristol, va",21.0,17.0,0,Oct-2021
2021-11-01,64,189900.0,3.02,11,"bristol, va",26.0,24.0,0,Nov-2021
2021-12-01,65,174900.0,2.98,12,"bristol, va",15.0,46.0,0,Dec-2021
2022-01-01,66,179900.0,2.87,1,"bristol, va",13.0,21.0,0,Jan-2022
2022-02-01,67,163750.0,3.01,2,"bristol, va",8.0,12.0,0,Feb-2022
2022-03-01,68,162450.0,3.14,3,"bristol, va",12.0,13.0,0,Mar-2022
2022-04-01,69,179900.0,3.1,4,"bristol, va",11.0,9.0,0,Apr-2022
2022-05-01,70,176250.0,3.12,5,"bristol, va",25.0,20.0,0,May-2022
2022-06-01,71,177450.0,3.56,6,"bristol, va",29.0,21.0,0,Jun-2022
2022-07-01,72,199900.0,3.92,7,"bristol, va",27.0,31.0,0,Jul-2022
2022-08-01,73,237250.0,4.67,8,"bristol, va",33.0,27.0,0,Aug-2022
2022-09-01,74,194925.0,5.11,9,"bristol, va",30.0,32.0,214702,Sep-2022
2022-10-01,75,224900.0,5.3,10,"bristol, va",32.0,37.0,217334,Oct-2022
2022-11-01,76,215275.0,5.81,11,"bristol, va",34.0,32.0,224299,Nov-2022
2022-12-01,77,219600.0,5.54,12,"bristol, va",33.0,64.0,223034,Dec-2022
2023-01-01,78,226475.0,5.55,1,"bristol, va",32.0,69.0,223085,Jan-2023
2023-02-01,79,250000.0,6.7,2,"bristol, va",31.0,66.0,218359,Feb-2023
2023-03-01,80,265500.0,7.08,3,"bristol, va",27.0,53.0,218588,Mar-2023
2023-04-01,81,249900.0,7.08,4,"bristol, va",31.0,34.0,219729,Apr-2023
2023-05-01,82,229925.0,6.49,5,"bristol, va",31.0,45.0,221619,May-2023
2023-06-01,83,228175.0,6.48,6,"bristol, va",32.0,47.0,220492,Jun-2023
2023-07-01,84,235000.0,6.5,7,"bristol, va",32.0,28.0,223719,Jul-2023
