date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,182750.0,3.72,7,"burnett, wi",364.0,82.0,0,Jul-2016
2016-08-01,1,175000.0,3.73,8,"burnett, wi",352.0,98.0,0,Aug-2016
2016-09-01,2,178225.0,3.66,9,"burnett, wi",356.0,114.0,0,Sep-2016
2016-10-01,3,184900.0,3.64,10,"burnett, wi",331.0,123.0,0,Oct-2016
2016-11-01,4,189925.0,3.66,11,"burnett, wi",271.0,135.0,0,Nov-2016
2016-12-01,5,198900.0,3.48,12,"burnett, wi",231.0,133.0,0,Dec-2016
2017-01-01,6,199000.0,3.45,1,"burnett, wi",198.0,141.0,0,Jan-2017
2017-02-01,7,199350.0,3.5,2,"burnett, wi",192.0,139.0,0,Feb-2017
2017-03-01,8,198975.0,3.52,3,"burnett, wi",204.0,128.0,0,Mar-2017
2017-04-01,9,188900.0,4.03,4,"burnett, wi",247.0,67.0,0,Apr-2017
2017-05-01,10,191975.0,4.32,5,"burnett, wi",260.0,59.0,0,May-2017
2017-06-01,11,187000.0,4.2,6,"burnett, wi",277.0,68.0,0,Jun-2017
2017-07-01,12,199000.0,4.19,7,"burnett, wi",292.0,77.0,0,Jul-2017
2017-08-01,13,199225.0,4.3,8,"burnett, wi",291.0,84.0,0,Aug-2017
2017-09-01,14,189900.0,4.1,9,"burnett, wi",279.0,92.0,0,Sep-2017
2017-10-01,15,185000.0,4.05,10,"burnett, wi",247.0,99.0,0,Oct-2017
2017-11-01,16,186000.0,3.94,11,"burnett, wi",218.0,119.0,0,Nov-2017
2017-12-01,17,179000.0,4.03,12,"burnett, wi",181.0,134.0,0,Dec-2017
2018-01-01,18,174475.0,3.93,1,"burnett, wi",155.0,151.0,0,Jan-2018
2018-02-01,19,174950.0,3.83,2,"burnett, wi",161.0,156.0,0,Feb-2018
2018-03-01,20,179450.0,3.94,3,"burnett, wi",158.0,168.0,0,Mar-2018
2018-04-01,21,182400.0,3.95,4,"burnett, wi",174.0,98.0,0,Apr-2018
2018-05-01,22,184925.0,3.99,5,"burnett, wi",193.0,53.0,0,May-2018
2018-06-01,23,197750.0,4.15,6,"burnett, wi",197.0,52.0,0,Jun-2018
2018-07-01,24,187225.0,4.4,7,"burnett, wi",199.0,64.0,0,Jul-2018
2018-08-01,25,185000.0,4.46,8,"burnett, wi",199.0,69.0,0,Aug-2018
2018-09-01,26,185000.0,4.58,9,"burnett, wi",196.0,74.0,0,Sep-2018
2018-10-01,27,189900.0,4.66,10,"burnett, wi",180.0,90.0,0,Oct-2018
2018-11-01,28,191975.0,4.62,11,"burnett, wi",150.0,97.0,0,Nov-2018
2018-12-01,29,199450.0,4.54,12,"burnett, wi",126.0,127.0,0,Dec-2018
2019-01-01,30,198725.0,4.6,1,"burnett, wi",113.0,143.0,0,Jan-2019
2019-02-01,31,200175.0,4.72,2,"burnett, wi",116.0,150.0,0,Feb-2019
2019-03-01,32,202400.0,4.9,3,"burnett, wi",135.0,109.0,0,Mar-2019
2019-04-01,33,205000.0,4.94,4,"burnett, wi",163.0,65.0,0,Apr-2019
2019-05-01,34,208125.0,4.75,5,"burnett, wi",186.0,44.0,0,May-2019
