date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,259900.0,3.72,7,"butler, pa",878.0,74.0,0,Jul-2016
2016-08-01,1,261299.0,3.73,8,"butler, pa",899.0,73.0,0,Aug-2016
2016-09-01,2,269900.0,3.66,9,"butler, pa",899.0,74.0,0,Sep-2016
2016-10-01,3,264900.0,3.64,10,"butler, pa",910.0,80.0,0,Oct-2016
2016-11-01,4,256633.0,3.66,11,"butler, pa",877.0,93.0,0,Nov-2016
2016-12-01,5,249900.0,3.48,12,"butler, pa",822.0,107.0,0,Dec-2016
2017-01-01,6,250925.0,3.45,1,"butler, pa",754.0,123.0,0,Jan-2017
2017-02-01,7,249900.0,3.5,2,"butler, pa",723.0,113.0,0,Feb-2017
2017-03-01,8,262400.0,3.52,3,"butler, pa",719.0,77.0,0,Mar-2017
2017-04-01,9,264900.0,4.03,4,"butler, pa",766.0,65.0,0,Apr-2017
2017-05-01,10,269675.0,4.32,5,"butler, pa",785.0,68.0,0,May-2017
2017-06-01,11,263450.0,4.2,6,"butler, pa",818.0,72.0,0,Jun-2017
2017-07-01,12,267000.0,4.19,7,"butler, pa",832.0,73.0,0,Jul-2017
2017-08-01,13,269900.0,4.3,8,"butler, pa",830.0,74.0,0,Aug-2017
2017-09-01,14,269900.0,4.1,9,"butler, pa",831.0,75.0,0,Sep-2017
2017-10-01,15,270800.0,4.05,10,"butler, pa",775.0,79.0,0,Oct-2017
2017-11-01,16,274900.0,3.94,11,"butler, pa",757.0,85.0,0,Nov-2017
2017-12-01,17,259950.0,4.03,12,"butler, pa",697.0,96.0,0,Dec-2017
2018-01-01,18,259900.0,3.93,1,"butler, pa",641.0,110.0,0,Jan-2018
2018-02-01,19,254975.0,3.83,2,"butler, pa",612.0,106.0,0,Feb-2018
2018-03-01,20,264900.0,3.94,3,"butler, pa",599.0,74.0,0,Mar-2018
2018-04-01,21,275000.0,3.95,4,"butler, pa",618.0,61.0,0,Apr-2018
2018-05-01,22,277450.0,3.99,5,"butler, pa",646.0,57.0,0,May-2018
2018-06-01,23,274200.0,4.15,6,"butler, pa",669.0,57.0,0,Jun-2018
2018-07-01,24,266925.0,4.4,7,"butler, pa",676.0,61.0,0,Jul-2018
2018-08-01,25,265200.0,4.46,8,"butler, pa",703.0,65.0,0,Aug-2018
2018-09-01,26,262450.0,4.58,9,"butler, pa",736.0,69.0,0,Sep-2018
2018-10-01,27,262200.0,4.66,10,"butler, pa",735.0,74.0,0,Oct-2018
2018-11-01,28,249975.0,4.62,11,"butler, pa",698.0,81.0,0,Nov-2018
2018-12-01,29,244900.0,4.54,12,"butler, pa",632.0,93.0,0,Dec-2018
2019-01-01,30,239425.0,4.6,1,"butler, pa",611.0,106.0,0,Jan-2019
2019-02-01,31,244725.0,4.72,2,"butler, pa",578.0,108.0,0,Feb-2019
2019-03-01,32,249900.0,4.9,3,"butler, pa",585.0,83.0,0,Mar-2019
2019-04-01,33,249900.0,4.94,4,"butler, pa",594.0,54.0,0,Apr-2019
2019-05-01,34,262725.0,4.75,5,"butler, pa",617.0,49.0,0,May-2019
2019-06-01,35,274945.0,4.51,6,"butler, pa",658.0,54.0,0,Jun-2019
2019-07-01,36,279900.0,4.41,7,"butler, pa",685.0,59.0,0,Jul-2019
2019-08-01,37,287691.0,4.41,8,"butler, pa",698.0,64.0,0,Aug-2019
2019-09-01,38,291802.0,4.2,9,"butler, pa",683.0,72.0,0,Sep-2019
2019-10-01,39,294493.0,4.14,10,"butler, pa",668.0,79.0,0,Oct-2019
2019-11-01,40,286250.0,3.84,11,"butler, pa",594.0,89.0,0,Nov-2019
2019-12-01,41,281923.0,3.81,12,"butler, pa",526.0,108.0,0,Dec-2019
2020-01-01,42,284200.0,3.75,1,"butler, pa",498.0,102.0,0,Jan-2020
2020-02-01,43,296900.0,3.73,2,"butler, pa",472.0,89.0,0,Feb-2020
2020-03-01,44,307450.0,3.78,3,"butler, pa",453.0,66.0,0,Mar-2020
2020-04-01,45,307450.0,3.75,4,"butler, pa",435.0,76.0,0,Apr-2020
2020-05-01,46,311950.0,3.74,5,"butler, pa",477.0,82.0,0,May-2020
2020-06-01,47,349700.0,3.72,6,"butler, pa",429.0,74.0,0,Jun-2020
2020-07-01,48,344275.0,3.49,7,"butler, pa",401.0,50.0,0,Jul-2020
2020-08-01,49,325000.0,3.65,8,"butler, pa",371.0,53.0,0,Aug-2020
2020-09-01,50,320750.0,3.33,9,"butler, pa",366.0,51.0,0,Sep-2020
2020-10-01,51,349900.0,3.28,10,"butler, pa",353.0,57.0,0,Oct-2020
2020-11-01,52,332200.0,3.21,11,"butler, pa",338.0,63.0,0,Nov-2020
2020-12-01,53,314900.0,3.07,12,"butler, pa",305.0,75.0,0,Dec-2020
2021-01-01,54,324900.0,2.99,1,"butler, pa",256.0,91.0,0,Jan-2021
2021-02-01,55,363500.0,2.93,2,"butler, pa",212.0,94.0,0,Feb-2021
