date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,119900.0,3.72,7,"calhoun, mi",340.0,74.0,0,Jul-2016
2016-08-01,1,119900.0,3.73,8,"calhoun, mi",347.0,74.0,0,Aug-2016
2016-09-01,2,119225.0,3.66,9,"calhoun, mi",371.0,77.0,0,Sep-2016
2016-10-01,3,111900.0,3.64,10,"calhoun, mi",368.0,73.0,0,Oct-2016
2016-11-01,4,99075.0,3.66,11,"calhoun, mi",341.0,81.0,0,Nov-2016
2016-12-01,5,94900.0,3.48,12,"calhoun, mi",291.0,91.0,0,Dec-2016
2017-01-01,6,93400.0,3.45,1,"calhoun, mi",256.0,94.0,0,Jan-2017
2017-02-01,7,99000.0,3.5,2,"calhoun, mi",245.0,95.0,0,Feb-2017
2017-03-01,8,98125.0,3.52,3,"calhoun, mi",256.0,72.0,0,Mar-2017
2017-04-01,9,102000.0,4.03,4,"calhoun, mi",309.0,53.0,0,Apr-2017
2017-05-01,10,116475.0,4.32,5,"calhoun, mi",414.0,41.0,0,May-2017
2017-06-01,11,122400.0,4.2,6,"calhoun, mi",476.0,44.0,0,Jun-2017
2017-07-01,12,123900.0,4.19,7,"calhoun, mi",532.0,45.0,0,Jul-2017
2017-08-01,13,124175.0,4.3,8,"calhoun, mi",551.0,47.0,0,Aug-2017
2017-09-01,14,115000.0,4.1,9,"calhoun, mi",539.0,53.0,0,Sep-2017
2017-10-01,15,109950.0,4.05,10,"calhoun, mi",509.0,57.0,0,Oct-2017
2017-11-01,16,107900.0,3.94,11,"calhoun, mi",481.0,63.0,0,Nov-2017
2017-12-01,17,104900.0,4.03,12,"calhoun, mi",439.0,67.0,0,Dec-2017
2018-01-01,18,96625.0,3.93,1,"calhoun, mi",392.0,76.0,0,Jan-2018
2018-02-01,19,95075.0,3.83,2,"calhoun, mi",354.0,71.0,0,Feb-2018
2018-03-01,20,95000.0,3.94,3,"calhoun, mi",319.0,58.0,0,Mar-2018
2018-04-01,21,119925.0,3.95,4,"calhoun, mi",332.0,45.0,0,Apr-2018
2018-05-01,22,139419.0,3.99,5,"calhoun, mi",359.0,39.0,0,May-2018
2018-06-01,23,142500.0,4.15,6,"calhoun, mi",409.0,39.0,0,Jun-2018
2018-07-01,24,140825.0,4.4,7,"calhoun, mi",439.0,43.0,0,Jul-2018
2018-08-01,25,139438.0,4.46,8,"calhoun, mi",467.0,40.0,0,Aug-2018
2018-09-01,26,138250.0,4.58,9,"calhoun, mi",484.0,43.0,0,Sep-2018
2018-10-01,27,137550.0,4.66,10,"calhoun, mi",456.0,53.0,0,Oct-2018
2018-11-01,28,129950.0,4.62,11,"calhoun, mi",444.0,58.0,0,Nov-2018
2018-12-01,29,135000.0,4.54,12,"calhoun, mi",435.0,67.0,0,Dec-2018
2019-01-01,30,132100.0,4.6,1,"calhoun, mi",393.0,67.0,0,Jan-2019
2019-02-01,31,136075.0,4.72,2,"calhoun, mi",363.0,63.0,0,Feb-2019
2019-03-01,32,136786.0,4.9,3,"calhoun, mi",357.0,51.0,0,Mar-2019
2019-04-01,33,140600.0,4.94,4,"calhoun, mi",361.0,49.0,0,Apr-2019
2019-05-01,34,149925.0,4.75,5,"calhoun, mi",367.0,42.0,0,May-2019
2019-06-01,35,169900.0,4.51,6,"calhoun, mi",356.0,45.0,0,Jun-2019
2019-07-01,36,169900.0,4.41,7,"calhoun, mi",388.0,50.0,0,Jul-2019
2019-08-01,37,167391.0,4.41,8,"calhoun, mi",412.0,50.0,0,Aug-2019
2019-09-01,38,159802.0,4.2,9,"calhoun, mi",428.0,51.0,0,Sep-2019
2019-10-01,39,154743.0,4.14,10,"calhoun, mi",429.0,52.0,0,Oct-2019
2019-11-01,40,149900.0,3.84,11,"calhoun, mi",387.0,56.0,0,Nov-2019
2019-12-01,41,142500.0,3.81,12,"calhoun, mi",353.0,66.0,0,Dec-2019
2020-01-01,42,143000.0,3.75,1,"calhoun, mi",333.0,69.0,0,Jan-2020
2020-02-01,43,140000.0,3.73,2,"calhoun, mi",316.0,61.0,0,Feb-2020
2020-03-01,44,143475.0,3.78,3,"calhoun, mi",267.0,59.0,0,Mar-2020
