date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,240000.0,3.72,7,"cecil, md",676.0,69.0,0,Jul-2016
2016-08-01,1,247093.0,3.73,8,"cecil, md",663.0,77.0,0,Aug-2016
2016-09-01,2,249900.0,3.66,9,"cecil, md",668.0,83.0,0,Sep-2016
2016-10-01,3,249000.0,3.64,10,"cecil, md",648.0,92.0,0,Oct-2016
2016-11-01,4,242450.0,3.66,11,"cecil, md",607.0,97.0,0,Nov-2016
2016-12-01,5,239995.0,3.48,12,"cecil, md",553.0,99.0,0,Dec-2016
2017-01-01,6,239900.0,3.45,1,"cecil, md",520.0,100.0,0,Jan-2017
2017-02-01,7,232450.0,3.5,2,"cecil, md",497.0,89.0,0,Feb-2017
2017-03-01,8,244150.0,3.52,3,"cecil, md",514.0,63.0,0,Mar-2017
2017-04-01,9,251682.0,4.03,4,"cecil, md",547.0,64.0,0,Apr-2017
2017-05-01,10,272470.0,4.32,5,"cecil, md",554.0,60.0,0,May-2017
2017-06-01,11,265947.0,4.2,6,"cecil, md",527.0,65.0,0,Jun-2017
2017-07-01,12,268495.0,4.19,7,"cecil, md",523.0,67.0,0,Jul-2017
2017-08-01,13,263495.0,4.3,8,"cecil, md",523.0,68.0,0,Aug-2017
2017-09-01,14,260000.0,4.1,9,"cecil, md",517.0,74.0,0,Sep-2017
2017-10-01,15,250495.0,4.05,10,"cecil, md",500.0,74.0,0,Oct-2017
2017-11-01,16,249950.0,3.94,11,"cecil, md",446.0,79.0,0,Nov-2017
2017-12-01,17,250000.0,4.03,12,"cecil, md",409.0,81.0,0,Dec-2017
2018-01-01,18,259490.0,3.93,1,"cecil, md",374.0,90.0,0,Jan-2018
2018-02-01,19,263740.0,3.83,2,"cecil, md",398.0,80.0,0,Feb-2018
2018-03-01,20,268495.0,3.94,3,"cecil, md",400.0,71.0,0,Mar-2018
2018-04-01,21,265000.0,3.95,4,"cecil, md",428.0,68.0,0,Apr-2018
2018-05-01,22,273400.0,3.99,5,"cecil, md",438.0,56.0,0,May-2018
2018-06-01,23,279000.0,4.15,6,"cecil, md",485.0,57.0,0,Jun-2018
2018-07-01,24,272450.0,4.4,7,"cecil, md",493.0,64.0,0,Jul-2018
2018-08-01,25,269675.0,4.46,8,"cecil, md",485.0,71.0,0,Aug-2018
2018-09-01,26,269450.0,4.58,9,"cecil, md",469.0,74.0,0,Sep-2018
2018-10-01,27,266200.0,4.66,10,"cecil, md",472.0,67.0,0,Oct-2018
2018-11-01,28,274995.0,4.62,11,"cecil, md",454.0,77.0,0,Nov-2018
2018-12-01,29,269000.0,4.54,12,"cecil, md",423.0,86.0,0,Dec-2018
2019-01-01,30,268968.0,4.6,1,"cecil, md",399.0,94.0,0,Jan-2019
2019-02-01,31,269900.0,4.72,2,"cecil, md",401.0,90.0,0,Feb-2019
2019-03-01,32,281793.0,4.9,3,"cecil, md",415.0,74.0,0,Mar-2019
2019-04-01,33,293990.0,4.94,4,"cecil, md",445.0,48.0,0,Apr-2019
2019-05-01,34,286673.0,4.75,5,"cecil, md",493.0,44.0,0,May-2019
2019-06-01,35,285990.0,4.51,6,"cecil, md",522.0,59.0,0,Jun-2019
2019-07-01,36,282748.0,4.41,7,"cecil, md",519.0,66.0,0,Jul-2019
2019-08-01,37,280265.0,4.41,8,"cecil, md",501.0,71.0,0,Aug-2019
2019-09-01,38,285179.0,4.2,9,"cecil, md",470.0,74.0,0,Sep-2019
2019-10-01,39,288454.0,4.14,10,"cecil, md",448.0,76.0,0,Oct-2019
2019-11-01,40,274995.0,3.84,11,"cecil, md",414.0,76.0,0,Nov-2019
2019-12-01,41,269990.0,3.81,12,"cecil, md",377.0,75.0,0,Dec-2019
2020-01-01,42,280220.0,3.75,1,"cecil, md",320.0,82.0,0,Jan-2020
2020-02-01,43,285990.0,3.73,2,"cecil, md",315.0,44.0,0,Feb-2020
2020-03-01,44,296473.0,3.78,3,"cecil, md",308.0,52.0,0,Mar-2020
2020-04-01,45,296425.0,3.75,4,"cecil, md",301.0,66.0,0,Apr-2020
2020-05-01,46,302253.0,3.74,5,"cecil, md",268.0,83.0,0,May-2020
2020-06-01,47,301756.0,3.72,6,"cecil, md",258.0,94.0,0,Jun-2020
2020-07-01,48,301470.0,3.49,7,"cecil, md",218.0,103.0,0,Jul-2020
2020-08-01,49,303990.0,3.65,8,"cecil, md",184.0,77.0,0,Aug-2020
2020-09-01,50,319950.0,3.33,9,"cecil, md",156.0,57.0,0,Sep-2020
2020-10-01,51,321490.0,3.28,10,"cecil, md",168.0,40.0,0,Oct-2020
2020-11-01,52,315990.0,3.21,11,"cecil, md",165.0,47.0,0,Nov-2020
2020-12-01,53,312745.0,3.07,12,"cecil, md",150.0,66.0,0,Dec-2020
2021-01-01,54,315995.0,2.99,1,"cecil, md",148.0,65.0,0,Jan-2021
2021-02-01,55,320718.0,2.93,2,"cecil, md",127.0,59.0,0,Feb-2021
2021-03-01,56,324950.0,2.88,3,"cecil, md",141.0,65.0,0,Mar-2021
2021-04-01,57,354900.0,2.84,4,"cecil, md",139.0,40.0,0,Apr-2021
2021-05-01,58,384654.0,2.71,5,"cecil, md",159.0,43.0,0,May-2021
2021-06-01,59,371404.0,2.79,6,"cecil, md",182.0,50.0,0,Jun-2021
