date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,394000.0,3.72,7,"chelan, wa",479.0,57.0,0,Jul-2016
2016-08-01,1,389450.0,3.73,8,"chelan, wa",460.0,68.0,0,Aug-2016
2016-09-01,2,385000.0,3.66,9,"chelan, wa",450.0,79.0,0,Sep-2016
2016-10-01,3,369900.0,3.64,10,"chelan, wa",417.0,82.0,0,Oct-2016
2016-11-01,4,379749.0,3.66,11,"chelan, wa",341.0,94.0,0,Nov-2016
2016-12-01,5,369900.0,3.48,12,"chelan, wa",283.0,116.0,0,Dec-2016
2017-01-01,6,369675.0,3.45,1,"chelan, wa",266.0,117.0,0,Jan-2017
2017-02-01,7,372450.0,3.5,2,"chelan, wa",256.0,118.0,0,Feb-2017
2017-03-01,8,384963.0,3.52,3,"chelan, wa",261.0,108.0,0,Mar-2017
2017-04-01,9,380950.0,4.03,4,"chelan, wa",276.0,73.0,0,Apr-2017
2017-05-01,10,433000.0,4.32,5,"chelan, wa",307.0,52.0,0,May-2017
2017-06-01,11,459250.0,4.2,6,"chelan, wa",340.0,40.0,0,Jun-2017
2017-07-01,12,459500.0,4.19,7,"chelan, wa",342.0,60.0,0,Jul-2017
2017-08-01,13,448000.0,4.3,8,"chelan, wa",357.0,60.0,0,Aug-2017
2017-09-01,14,449500.0,4.1,9,"chelan, wa",349.0,65.0,0,Sep-2017
2017-10-01,15,436575.0,4.05,10,"chelan, wa",335.0,75.0,0,Oct-2017
2017-11-01,16,424950.0,3.94,11,"chelan, wa",285.0,77.0,0,Nov-2017
2017-12-01,17,424950.0,4.03,12,"chelan, wa",250.0,86.0,0,Dec-2017
2018-01-01,18,424950.0,3.93,1,"chelan, wa",224.0,101.0,0,Jan-2018
2018-02-01,19,425725.0,3.83,2,"chelan, wa",217.0,111.0,0,Feb-2018
2018-03-01,20,454500.0,3.94,3,"chelan, wa",218.0,74.0,0,Mar-2018
2018-04-01,21,459750.0,3.95,4,"chelan, wa",255.0,47.0,0,Apr-2018
2018-05-01,22,475725.0,3.99,5,"chelan, wa",299.0,46.0,0,May-2018
2018-06-01,23,525000.0,4.15,6,"chelan, wa",343.0,44.0,0,Jun-2018
2018-07-01,24,491175.0,4.4,7,"chelan, wa",402.0,48.0,0,Jul-2018
2018-08-01,25,479000.0,4.46,8,"chelan, wa",422.0,60.0,0,Aug-2018
2018-09-01,26,472000.0,4.58,9,"chelan, wa",433.0,72.0,0,Sep-2018
2018-10-01,27,455500.0,4.66,10,"chelan, wa",409.0,76.0,0,Oct-2018
2018-11-01,28,429500.0,4.62,11,"chelan, wa",368.0,80.0,0,Nov-2018
2018-12-01,29,405900.0,4.54,12,"chelan, wa",321.0,89.0,0,Dec-2018
2019-01-01,30,403675.0,4.6,1,"chelan, wa",288.0,98.0,0,Jan-2019
2019-02-01,31,402900.0,4.72,2,"chelan, wa",285.0,108.0,0,Feb-2019
2019-03-01,32,423357.0,4.9,3,"chelan, wa",276.0,93.0,0,Mar-2019
2019-04-01,33,424750.0,4.94,4,"chelan, wa",270.0,67.0,0,Apr-2019
2019-05-01,34,446000.0,4.75,5,"chelan, wa",323.0,43.0,0,May-2019
2019-06-01,35,450000.0,4.51,6,"chelan, wa",370.0,45.0,0,Jun-2019
