date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,142900.0,3.72,7,"colbert, al",412.0,89.0,0,Jul-2016
2016-08-01,1,139900.0,3.73,8,"colbert, al",421.0,84.0,0,Aug-2016
2016-09-01,2,139000.0,3.66,9,"colbert, al",405.0,81.0,0,Sep-2016
2016-10-01,3,139000.0,3.64,10,"colbert, al",399.0,89.0,0,Oct-2016
2016-11-01,4,139900.0,3.66,11,"colbert, al",392.0,93.0,0,Nov-2016
2016-12-01,5,139900.0,3.48,12,"colbert, al",392.0,101.0,0,Dec-2016
2017-01-01,6,139450.0,3.45,1,"colbert, al",382.0,109.0,0,Jan-2017
2017-02-01,7,145800.0,3.5,2,"colbert, al",397.0,101.0,0,Feb-2017
2017-03-01,8,149400.0,3.52,3,"colbert, al",386.0,88.0,0,Mar-2017
2017-04-01,9,149900.0,4.03,4,"colbert, al",376.0,88.0,0,Apr-2017
2017-05-01,10,152400.0,4.32,5,"colbert, al",376.0,86.0,0,May-2017
2017-06-01,11,149900.0,4.2,6,"colbert, al",379.0,75.0,0,Jun-2017
2017-07-01,12,154900.0,4.19,7,"colbert, al",377.0,75.0,0,Jul-2017
2017-08-01,13,159215.0,4.3,8,"colbert, al",366.0,81.0,0,Aug-2017
2017-09-01,14,159875.0,4.1,9,"colbert, al",366.0,90.0,0,Sep-2017
2017-10-01,15,149825.0,4.05,10,"colbert, al",351.0,102.0,0,Oct-2017
2017-11-01,16,140950.0,3.94,11,"colbert, al",353.0,99.0,0,Nov-2017
2017-12-01,17,139900.0,4.03,12,"colbert, al",345.0,83.0,0,Dec-2017
2018-01-01,18,139900.0,3.93,1,"colbert, al",344.0,80.0,0,Jan-2018
2018-02-01,19,146650.0,3.83,2,"colbert, al",359.0,77.0,0,Feb-2018
2018-03-01,20,156400.0,3.94,3,"colbert, al",340.0,75.0,0,Mar-2018
2018-04-01,21,169900.0,3.95,4,"colbert, al",329.0,77.0,0,Apr-2018
2018-05-01,22,185950.0,3.99,5,"colbert, al",338.0,78.0,0,May-2018
2018-06-01,23,184950.0,4.15,6,"colbert, al",337.0,70.0,0,Jun-2018
2018-07-01,24,169900.0,4.4,7,"colbert, al",350.0,70.0,0,Jul-2018
2018-08-01,25,165300.0,4.46,8,"colbert, al",341.0,68.0,0,Aug-2018
2018-09-01,26,169900.0,4.58,9,"colbert, al",337.0,72.0,0,Sep-2018
2018-10-01,27,178625.0,4.66,10,"colbert, al",334.0,80.0,0,Oct-2018
2018-11-01,28,179075.0,4.62,11,"colbert, al",327.0,97.0,0,Nov-2018
2018-12-01,29,166000.0,4.54,12,"colbert, al",323.0,102.0,0,Dec-2018
2019-01-01,30,164975.0,4.6,1,"colbert, al",311.0,101.0,0,Jan-2019
2019-02-01,31,164725.0,4.72,2,"colbert, al",327.0,93.0,0,Feb-2019
2019-03-01,32,165643.0,4.9,3,"colbert, al",325.0,87.0,0,Mar-2019
2019-04-01,33,169900.0,4.94,4,"colbert, al",328.0,81.0,0,Apr-2019
2019-05-01,34,167488.0,4.75,5,"colbert, al",341.0,67.0,0,May-2019
2019-06-01,35,178000.0,4.51,6,"colbert, al",347.0,67.0,0,Jun-2019
2019-07-01,36,181150.0,4.41,7,"colbert, al",328.0,77.0,0,Jul-2019
2019-08-01,37,178998.0,4.41,8,"colbert, al",319.0,80.0,0,Aug-2019
2019-09-01,38,173894.0,4.2,9,"colbert, al",304.0,76.0,0,Sep-2019
2019-10-01,39,170530.0,4.14,10,"colbert, al",291.0,74.0,0,Oct-2019
2019-11-01,40,169900.0,3.84,11,"colbert, al",279.0,79.0,0,Nov-2019
2019-12-01,41,171475.0,3.81,12,"colbert, al",261.0,89.0,0,Dec-2019
2020-01-01,42,179900.0,3.75,1,"colbert, al",237.0,98.0,0,Jan-2020
2020-02-01,43,186450.0,3.73,2,"colbert, al",228.0,90.0,0,Feb-2020
2020-03-01,44,189900.0,3.78,3,"colbert, al",220.0,70.0,0,Mar-2020
2020-04-01,45,179950.0,3.75,4,"colbert, al",217.0,69.0,0,Apr-2020
2020-05-01,46,199000.0,3.74,5,"colbert, al",188.0,67.0,0,May-2020
2020-06-01,47,226125.0,3.72,6,"colbert, al",158.0,73.0,0,Jun-2020
2020-07-01,48,216000.0,3.49,7,"colbert, al",156.0,71.0,0,Jul-2020
2020-08-01,49,175950.0,3.65,8,"colbert, al",136.0,55.0,0,Aug-2020
2020-09-01,50,177400.0,3.33,9,"colbert, al",114.0,43.0,0,Sep-2020
2020-10-01,51,166900.0,3.28,10,"colbert, al",117.0,38.0,0,Oct-2020
