date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,609900.0,3.72,7,"contra costa, ca",1933.0,31.0,0,Jul-2016
2016-08-01,1,596375.0,3.73,8,"contra costa, ca",2006.0,32.0,0,Aug-2016
2016-09-01,2,594953.0,3.66,9,"contra costa, ca",1959.0,38.0,0,Sep-2016
2016-10-01,3,599000.0,3.64,10,"contra costa, ca",1866.0,39.0,0,Oct-2016
2016-11-01,4,599000.0,3.66,11,"contra costa, ca",1623.0,41.0,0,Nov-2016
2016-12-01,5,589000.0,3.48,12,"contra costa, ca",1168.0,50.0,0,Dec-2016
2017-01-01,6,591063.0,3.45,1,"contra costa, ca",992.0,47.0,0,Jan-2017
2017-02-01,7,619848.0,3.5,2,"contra costa, ca",1017.0,30.0,0,Feb-2017
2017-03-01,8,650561.0,3.52,3,"contra costa, ca",1150.0,26.0,0,Mar-2017
2017-04-01,9,675000.0,4.03,4,"contra costa, ca",1313.0,25.0,0,Apr-2017
2017-05-01,10,690000.0,4.32,5,"contra costa, ca",1531.0,26.0,0,May-2017
2017-06-01,11,690000.0,4.2,6,"contra costa, ca",1574.0,31.0,0,Jun-2017
2017-07-01,12,674000.0,4.19,7,"contra costa, ca",1657.0,32.0,0,Jul-2017
2017-08-01,13,649450.0,4.3,8,"contra costa, ca",1614.0,33.0,0,Aug-2017
2017-09-01,14,635000.0,4.1,9,"contra costa, ca",1557.0,34.0,0,Sep-2017
2017-10-01,15,629250.0,4.05,10,"contra costa, ca",1499.0,32.0,0,Oct-2017
2017-11-01,16,628750.0,3.94,11,"contra costa, ca",1311.0,37.0,0,Nov-2017
2017-12-01,17,638000.0,4.03,12,"contra costa, ca",920.0,43.0,0,Dec-2017
2018-01-01,18,627500.0,3.93,1,"contra costa, ca",877.0,36.0,0,Jan-2018
2018-02-01,19,666794.0,3.83,2,"contra costa, ca",1000.0,23.0,0,Feb-2018
2018-03-01,20,700000.0,3.94,3,"contra costa, ca",1134.0,23.0,0,Mar-2018
2018-04-01,21,699000.0,3.95,4,"contra costa, ca",1269.0,24.0,0,Apr-2018
2018-05-01,22,705998.0,3.99,5,"contra costa, ca",1456.0,23.0,0,May-2018
2018-06-01,23,699888.0,4.15,6,"contra costa, ca",1651.0,26.0,0,Jun-2018
2018-07-01,24,678000.0,4.4,7,"contra costa, ca",1717.0,29.0,0,Jul-2018
2018-08-01,25,665000.0,4.46,8,"contra costa, ca",1839.0,30.0,0,Aug-2018
2018-09-01,26,657410.0,4.58,9,"contra costa, ca",1992.0,33.0,0,Sep-2018
2018-10-01,27,655500.0,4.66,10,"contra costa, ca",2032.0,35.0,0,Oct-2018
2018-11-01,28,643347.0,4.62,11,"contra costa, ca",1954.0,38.0,0,Nov-2018
2018-12-01,29,629000.0,4.54,12,"contra costa, ca",1454.0,52.0,0,Dec-2018
2019-01-01,30,612125.0,4.6,1,"contra costa, ca",1267.0,51.0,0,Jan-2019
2019-02-01,31,634835.0,4.72,2,"contra costa, ca",1444.0,29.0,0,Feb-2019
2019-03-01,32,666357.0,4.9,3,"contra costa, ca",1614.0,29.0,0,Mar-2019
2019-04-01,33,686357.0,4.94,4,"contra costa, ca",1776.0,29.0,0,Apr-2019
2019-05-01,34,699250.0,4.75,5,"contra costa, ca",1978.0,29.0,0,May-2019
2019-06-01,35,699850.0,4.51,6,"contra costa, ca",2098.0,34.0,0,Jun-2019
2019-07-01,36,697000.0,4.41,7,"contra costa, ca",2156.0,37.0,0,Jul-2019
2019-08-01,37,678364.0,4.41,8,"contra costa, ca",2101.0,37.0,0,Aug-2019
