date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,84250.0,3.72,7,"cottonwood, mn",53.0,88.0,0,Jul-2016
2016-08-01,1,86700.0,3.73,8,"cottonwood, mn",51.0,113.0,0,Aug-2016
2016-09-01,2,89200.0,3.66,9,"cottonwood, mn",51.0,118.0,0,Sep-2016
2016-10-01,3,92400.0,3.64,10,"cottonwood, mn",48.0,116.0,0,Oct-2016
2016-11-01,4,86700.0,3.66,11,"cottonwood, mn",48.0,125.0,0,Nov-2016
2016-12-01,5,84000.0,3.48,12,"cottonwood, mn",41.0,163.0,0,Dec-2016
2017-01-01,6,92300.0,3.45,1,"cottonwood, mn",41.0,176.0,0,Jan-2017
2017-02-01,7,95000.0,3.5,2,"cottonwood, mn",39.0,150.0,0,Feb-2017
2017-03-01,8,94975.0,3.52,3,"cottonwood, mn",46.0,123.0,0,Mar-2017
2017-04-01,9,89900.0,4.03,4,"cottonwood, mn",48.0,87.0,0,Apr-2017
2017-05-01,10,83100.0,4.32,5,"cottonwood, mn",43.0,86.0,0,May-2017
2017-06-01,11,81825.0,4.2,6,"cottonwood, mn",43.0,92.0,0,Jun-2017
2017-07-01,12,84750.0,4.19,7,"cottonwood, mn",47.0,95.0,0,Jul-2017
2017-08-01,13,85625.0,4.3,8,"cottonwood, mn",52.0,75.0,0,Aug-2017
2017-09-01,14,94900.0,4.1,9,"cottonwood, mn",50.0,75.0,0,Sep-2017
2017-10-01,15,85525.0,4.05,10,"cottonwood, mn",50.0,92.0,0,Oct-2017
2017-11-01,16,91175.0,3.94,11,"cottonwood, mn",48.0,101.0,0,Nov-2017
2017-12-01,17,105000.0,4.03,12,"cottonwood, mn",47.0,128.0,0,Dec-2017
2018-01-01,18,92450.0,3.93,1,"cottonwood, mn",44.0,146.0,0,Jan-2018
2018-02-01,19,96225.0,3.83,2,"cottonwood, mn",41.0,141.0,0,Feb-2018
2018-03-01,20,89900.0,3.94,3,"cottonwood, mn",41.0,115.0,0,Mar-2018
2018-04-01,21,84925.0,3.95,4,"cottonwood, mn",35.0,95.0,0,Apr-2018
2018-05-01,22,78925.0,3.99,5,"cottonwood, mn",38.0,72.0,0,May-2018
2018-06-01,23,81950.0,4.15,6,"cottonwood, mn",37.0,68.0,0,Jun-2018
2018-07-01,24,84425.0,4.4,7,"cottonwood, mn",42.0,69.0,0,Jul-2018
2018-08-01,25,91175.0,4.46,8,"cottonwood, mn",32.0,72.0,0,Aug-2018
2018-09-01,26,97250.0,4.58,9,"cottonwood, mn",39.0,41.0,0,Sep-2018
2018-10-01,27,101150.0,4.66,10,"cottonwood, mn",41.0,49.0,0,Oct-2018
2018-11-01,28,95000.0,4.62,11,"cottonwood, mn",44.0,73.0,0,Nov-2018
2018-12-01,29,98500.0,4.54,12,"cottonwood, mn",37.0,88.0,0,Dec-2018
2019-01-01,30,99250.0,4.6,1,"cottonwood, mn",36.0,119.0,0,Jan-2019
2019-02-01,31,102300.0,4.72,2,"cottonwood, mn",38.0,118.0,0,Feb-2019
2019-03-01,32,104271.0,4.9,3,"cottonwood, mn",42.0,72.0,0,Mar-2019
2019-04-01,33,101800.0,4.94,4,"cottonwood, mn",45.0,64.0,0,Apr-2019
2019-05-01,34,119900.0,4.75,5,"cottonwood, mn",52.0,46.0,0,May-2019
2019-06-01,35,117450.0,4.51,6,"cottonwood, mn",54.0,60.0,0,Jun-2019
2019-07-01,36,110225.0,4.41,7,"cottonwood, mn",58.0,74.0,0,Jul-2019
