date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,84400.0,3.72,7,"cowley, ks",161.0,72.0,0,Jul-2016
2016-08-01,1,82175.0,3.73,8,"cowley, ks",159.0,79.0,0,Aug-2016
2016-09-01,2,79900.0,3.66,9,"cowley, ks",166.0,70.0,0,Sep-2016
2016-10-01,3,74900.0,3.64,10,"cowley, ks",166.0,60.0,0,Oct-2016
2016-11-01,4,76350.0,3.66,11,"cowley, ks",164.0,76.0,0,Nov-2016
2016-12-01,5,77450.0,3.48,12,"cowley, ks",148.0,94.0,0,Dec-2016
2017-01-01,6,73450.0,3.45,1,"cowley, ks",142.0,96.0,0,Jan-2017
2017-02-01,7,73125.0,3.5,2,"cowley, ks",146.0,90.0,0,Feb-2017
2017-03-01,8,76250.0,3.52,3,"cowley, ks",149.0,73.0,0,Mar-2017
2017-04-01,9,78450.0,4.03,4,"cowley, ks",151.0,65.0,0,Apr-2017
2017-05-01,10,82450.0,4.32,5,"cowley, ks",167.0,62.0,0,May-2017
2017-06-01,11,89925.0,4.2,6,"cowley, ks",166.0,70.0,0,Jun-2017
2017-07-01,12,92500.0,4.19,7,"cowley, ks",172.0,72.0,0,Jul-2017
2017-08-01,13,92750.0,4.3,8,"cowley, ks",164.0,72.0,0,Aug-2017
2017-09-01,14,90500.0,4.1,9,"cowley, ks",168.0,71.0,0,Sep-2017
2017-10-01,15,93450.0,4.05,10,"cowley, ks",159.0,60.0,0,Oct-2017
2017-11-01,16,93400.0,3.94,11,"cowley, ks",159.0,66.0,0,Nov-2017
2017-12-01,17,90000.0,4.03,12,"cowley, ks",156.0,75.0,0,Dec-2017
2018-01-01,18,89225.0,3.93,1,"cowley, ks",141.0,87.0,0,Jan-2018
2018-02-01,19,88725.0,3.83,2,"cowley, ks",141.0,96.0,0,Feb-2018
2018-03-01,20,89900.0,3.94,3,"cowley, ks",146.0,74.0,0,Mar-2018
2018-04-01,21,87188.0,3.95,4,"cowley, ks",149.0,63.0,0,Apr-2018
2018-05-01,22,86475.0,3.99,5,"cowley, ks",165.0,59.0,0,May-2018
2018-06-01,23,85000.0,4.15,6,"cowley, ks",174.0,59.0,0,Jun-2018
2018-07-01,24,87575.0,4.4,7,"cowley, ks",178.0,65.0,0,Jul-2018
2018-08-01,25,88175.0,4.46,8,"cowley, ks",180.0,69.0,0,Aug-2018
2018-09-01,26,84950.0,4.58,9,"cowley, ks",171.0,82.0,0,Sep-2018
2018-10-01,27,75800.0,4.66,10,"cowley, ks",172.0,75.0,0,Oct-2018
2018-11-01,28,78450.0,4.62,11,"cowley, ks",170.0,77.0,0,Nov-2018
2018-12-01,29,79700.0,4.54,12,"cowley, ks",162.0,88.0,0,Dec-2018
2019-01-01,30,84000.0,4.6,1,"cowley, ks",153.0,95.0,0,Jan-2019
