date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,175000.0,3.72,7,"craven, nc",924.0,91.0,0,Jul-2016
2016-08-01,1,174450.0,3.73,8,"craven, nc",905.0,94.0,0,Aug-2016
2016-09-01,2,134975.0,3.66,9,"craven, nc",1277.0,112.0,0,Sep-2016
2016-10-01,3,174900.0,3.64,10,"craven, nc",796.0,102.0,0,Oct-2016
2016-11-01,4,174875.0,3.66,11,"craven, nc",743.0,109.0,0,Nov-2016
2016-12-01,5,169900.0,3.48,12,"craven, nc",710.0,116.0,0,Dec-2016
2017-01-01,6,173100.0,3.45,1,"craven, nc",658.0,118.0,0,Jan-2017
2017-02-01,7,179975.0,3.5,2,"craven, nc",662.0,112.0,0,Feb-2017
2017-03-01,8,195975.0,3.52,3,"craven, nc",660.0,90.0,0,Mar-2017
2017-04-01,9,198500.0,4.03,4,"craven, nc",664.0,74.0,0,Apr-2017
2017-05-01,10,197950.0,4.32,5,"craven, nc",654.0,75.0,0,May-2017
2017-06-01,11,197450.0,4.2,6,"craven, nc",643.0,82.0,0,Jun-2017
2017-07-01,12,195000.0,4.19,7,"craven, nc",626.0,81.0,0,Jul-2017
2017-08-01,13,194600.0,4.3,8,"craven, nc",613.0,82.0,0,Aug-2017
2017-09-01,14,194900.0,4.1,9,"craven, nc",613.0,79.0,0,Sep-2017
2017-10-01,15,195000.0,4.05,10,"craven, nc",595.0,75.0,0,Oct-2017
2017-11-01,16,189700.0,3.94,11,"craven, nc",590.0,84.0,0,Nov-2017
2017-12-01,17,189400.0,4.03,12,"craven, nc",595.0,97.0,0,Dec-2017
2018-01-01,18,184000.0,3.93,1,"craven, nc",555.0,103.0,0,Jan-2018
2018-02-01,19,184900.0,3.83,2,"craven, nc",548.0,103.0,0,Feb-2018
2018-03-01,20,188300.0,3.94,3,"craven, nc",555.0,68.0,0,Mar-2018
2018-04-01,21,189600.0,3.95,4,"craven, nc",581.0,61.0,0,Apr-2018
2018-05-01,22,186450.0,3.99,5,"craven, nc",610.0,61.0,0,May-2018
2018-06-01,23,190000.0,4.15,6,"craven, nc",613.0,64.0,0,Jun-2018
2018-07-01,24,189900.0,4.4,7,"craven, nc",599.0,72.0,0,Jul-2018
2018-08-01,25,188538.0,4.46,8,"craven, nc",597.0,78.0,0,Aug-2018
2018-09-01,26,190000.0,4.58,9,"craven, nc",540.0,84.0,0,Sep-2018
2018-10-01,27,190608.0,4.66,10,"craven, nc",404.0,88.0,0,Oct-2018
2018-11-01,28,197365.0,4.62,11,"craven, nc",361.0,90.0,0,Nov-2018
2018-12-01,29,205000.0,4.54,12,"craven, nc",337.0,71.0,0,Dec-2018
2019-01-01,30,211835.0,4.6,1,"craven, nc",306.0,78.0,0,Jan-2019
2019-02-01,31,220083.0,4.72,2,"craven, nc",309.0,69.0,0,Feb-2019
2019-03-01,32,225000.0,4.9,3,"craven, nc",371.0,48.0,0,Mar-2019
2019-04-01,33,227475.0,4.94,4,"craven, nc",414.0,45.0,0,Apr-2019
2019-05-01,34,238270.0,4.75,5,"craven, nc",437.0,49.0,0,May-2019
2019-06-01,35,239900.0,4.51,6,"craven, nc",500.0,55.0,0,Jun-2019
2019-07-01,36,236550.0,4.41,7,"craven, nc",532.0,64.0,0,Jul-2019
2019-08-01,37,232927.0,4.41,8,"craven, nc",553.0,70.0,0,Aug-2019
2019-09-01,38,228468.0,4.2,9,"craven, nc",558.0,73.0,0,Sep-2019
2019-10-01,39,225870.0,4.14,10,"craven, nc",558.0,75.0,0,Oct-2019
2019-11-01,40,225000.0,3.84,11,"craven, nc",561.0,89.0,0,Nov-2019
2019-12-01,41,219950.0,3.81,12,"craven, nc",539.0,100.0,0,Dec-2019
2020-01-01,42,222675.0,3.75,1,"craven, nc",509.0,102.0,0,Jan-2020
2020-02-01,43,224945.0,3.73,2,"craven, nc",497.0,96.0,0,Feb-2020
2020-03-01,44,225000.0,3.78,3,"craven, nc",478.0,75.0,0,Mar-2020
2020-04-01,45,225000.0,3.75,4,"craven, nc",498.0,68.0,0,Apr-2020
2020-05-01,46,229000.0,3.74,5,"craven, nc",462.0,70.0,0,May-2020
2020-06-01,47,237750.0,3.72,6,"craven, nc",414.0,75.0,0,Jun-2020
2020-07-01,48,229950.0,3.49,7,"craven, nc",387.0,71.0,0,Jul-2020
2020-08-01,49,229950.0,3.65,8,"craven, nc",342.0,71.0,0,Aug-2020
2020-09-01,50,230968.0,3.33,9,"craven, nc",295.0,77.0,0,Sep-2020
2020-10-01,51,231990.0,3.28,10,"craven, nc",279.0,68.0,0,Oct-2020
2020-11-01,52,233970.0,3.21,11,"craven, nc",284.0,61.0,0,Nov-2020
2020-12-01,53,234495.0,3.07,12,"craven, nc",264.0,66.0,0,Dec-2020
2021-01-01,54,235900.0,2.99,1,"craven, nc",227.0,68.0,0,Jan-2021
2021-02-01,55,244075.0,2.93,2,"craven, nc",207.0,64.0,0,Feb-2021
2021-03-01,56,254400.0,2.88,3,"craven, nc",210.0,41.0,0,Mar-2021
2021-04-01,57,257700.0,2.84,4,"craven, nc",205.0,45.0,0,Apr-2021
2021-05-01,58,269950.0,2.71,5,"craven, nc",191.0,55.0,0,May-2021
2021-06-01,59,267500.0,2.79,6,"craven, nc",184.0,57.0,0,Jun-2021
2021-07-01,60,259500.0,2.97,7,"craven, nc",193.0,49.0,0,Jul-2021
2021-08-01,61,267500.0,3.17,8,"craven, nc",210.0,42.0,0,Aug-2021
2021-09-01,62,272400.0,3.18,9,"craven, nc",196.0,49.0,0,Sep-2021
2021-10-01,63,288500.0,3.0,10,"craven, nc",198.0,56.0,0,Oct-2021
2021-11-01,64,290208.0,3.02,11,"craven, nc",180.0,56.0,0,Nov-2021
2021-12-01,65,305873.0,2.98,12,"craven, nc",170.0,95.0,0,Dec-2021
2022-01-01,66,303450.0,2.87,1,"craven, nc",152.0,74.0,0,Jan-2022
2022-02-01,67,306950.0,3.01,2,"craven, nc",120.0,51.0,0,Feb-2022
2022-03-01,68,311500.0,3.14,3,"craven, nc",108.0,42.0,0,Mar-2022
2022-04-01,69,304499.0,3.1,4,"craven, nc",113.0,38.0,0,Apr-2022
2022-05-01,70,312720.0,3.12,5,"craven, nc",126.0,37.0,0,May-2022
2022-06-01,71,314625.0,3.56,6,"craven, nc",154.0,34.0,0,Jun-2022
2022-07-01,72,325450.0,3.92,7,"craven, nc",192.0,36.0,0,Jul-2022
2022-08-01,73,332473.0,4.67,8,"craven, nc",194.0,42.0,0,Aug-2022
2022-09-01,74,333270.0,5.11,9,"craven, nc",188.0,55.0,350666,Sep-2022
2022-10-01,75,319900.0,5.3,10,"craven, nc",191.0,51.0,349476,Oct-2022
2022-11-01,76,321885.0,5.81,11,"craven, nc",196.0,51.0,350180,Nov-2022
2022-12-01,77,311914.0,5.54,12,"craven, nc",185.0,61.0,349005,Dec-2022
2023-01-01,78,313158.0,5.55,1,"craven, nc",181.0,63.0,345734,Jan-2023
2023-02-01,79,324998.0,6.7,2,"craven, nc",168.0,47.0,349710,Feb-2023
2023-03-01,80,331995.0,7.08,3,"craven, nc",160.0,41.0,348957,Mar-2023
2023-04-01,81,349900.0,7.08,4,"craven, nc",177.0,38.0,349576,Apr-2023
2023-05-01,82,356495.0,6.49,5,"craven, nc",226.0,31.0,349163,May-2023
2023-06-01,83,366243.0,6.48,6,"craven, nc",280.0,34.0,347700,Jun-2023
2023-07-01,84,350000.0,6.5,7,"craven, nc",269.0,53.0,348042,Jul-2023
