date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,343500.0,3.72,7,"crook, or",158.0,57.0,0,Jul-2016
2016-08-01,1,352488.0,3.73,8,"crook, or",156.0,61.0,0,Aug-2016
2016-09-01,2,357475.0,3.66,9,"crook, or",153.0,67.0,0,Sep-2016
2016-10-01,3,375000.0,3.64,10,"crook, or",148.0,73.0,0,Oct-2016
2016-11-01,4,337450.0,3.66,11,"crook, or",148.0,82.0,0,Nov-2016
2016-12-01,5,349950.0,3.48,12,"crook, or",135.0,100.0,0,Dec-2016
2017-01-01,6,368975.0,3.45,1,"crook, or",120.0,124.0,0,Jan-2017
2017-02-01,7,361738.0,3.5,2,"crook, or",101.0,138.0,0,Feb-2017
2017-03-01,8,346188.0,3.52,3,"crook, or",102.0,99.0,0,Mar-2017
2017-04-01,9,349900.0,4.03,4,"crook, or",129.0,33.0,0,Apr-2017
2017-05-01,10,379450.0,4.32,5,"crook, or",145.0,44.0,0,May-2017
2017-06-01,11,398900.0,4.2,6,"crook, or",149.0,54.0,0,Jun-2017
2017-07-01,12,389950.0,4.19,7,"crook, or",154.0,61.0,0,Jul-2017
2017-08-01,13,378375.0,4.3,8,"crook, or",172.0,64.0,0,Aug-2017
2017-09-01,14,368250.0,4.1,9,"crook, or",183.0,66.0,0,Sep-2017
2017-10-01,15,373500.0,4.05,10,"crook, or",176.0,71.0,0,Oct-2017
2017-11-01,16,381250.0,3.94,11,"crook, or",146.0,82.0,0,Nov-2017
2017-12-01,17,344500.0,4.03,12,"crook, or",128.0,96.0,0,Dec-2017
2018-01-01,18,357500.0,3.93,1,"crook, or",109.0,109.0,0,Jan-2018
2018-02-01,19,359175.0,3.83,2,"crook, or",114.0,91.0,0,Feb-2018
2018-03-01,20,339900.0,3.94,3,"crook, or",122.0,58.0,0,Mar-2018
2018-04-01,21,332925.0,3.95,4,"crook, or",131.0,58.0,0,Apr-2018
