date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,363300.0,3.72,7,"dawson, ga",327.0,72.0,0,Jul-2016
2016-08-01,1,371226.0,3.73,8,"dawson, ga",305.0,77.0,0,Aug-2016
2016-09-01,2,374950.0,3.66,9,"dawson, ga",310.0,75.0,0,Sep-2016
2016-10-01,3,375000.0,3.64,10,"dawson, ga",300.0,80.0,0,Oct-2016
2016-11-01,4,373400.0,3.66,11,"dawson, ga",291.0,86.0,0,Nov-2016
2016-12-01,5,359000.0,3.48,12,"dawson, ga",269.0,101.0,0,Dec-2016
2017-01-01,6,344450.0,3.45,1,"dawson, ga",267.0,111.0,0,Jan-2017
2017-02-01,7,349900.0,3.5,2,"dawson, ga",259.0,116.0,0,Feb-2017
2017-03-01,8,349950.0,3.52,3,"dawson, ga",246.0,98.0,0,Mar-2017
2017-04-01,9,368450.0,4.03,4,"dawson, ga",257.0,80.0,0,Apr-2017
2017-05-01,10,379850.0,4.32,5,"dawson, ga",266.0,70.0,0,May-2017
2017-06-01,11,393775.0,4.2,6,"dawson, ga",263.0,69.0,0,Jun-2017
2017-07-01,12,379000.0,4.19,7,"dawson, ga",256.0,73.0,0,Jul-2017
2017-08-01,13,369170.0,4.3,8,"dawson, ga",265.0,83.0,0,Aug-2017
2017-09-01,14,384500.0,4.1,9,"dawson, ga",247.0,89.0,0,Sep-2017
2017-10-01,15,369000.0,4.05,10,"dawson, ga",243.0,86.0,0,Oct-2017
2017-11-01,16,361250.0,3.94,11,"dawson, ga",228.0,88.0,0,Nov-2017
2017-12-01,17,359000.0,4.03,12,"dawson, ga",223.0,91.0,0,Dec-2017
2018-01-01,18,361914.0,3.93,1,"dawson, ga",206.0,93.0,0,Jan-2018
2018-02-01,19,373250.0,3.83,2,"dawson, ga",205.0,89.0,0,Feb-2018
2018-03-01,20,389000.0,3.94,3,"dawson, ga",214.0,80.0,0,Mar-2018
2018-04-01,21,376250.0,3.95,4,"dawson, ga",242.0,56.0,0,Apr-2018
2018-05-01,22,402257.0,3.99,5,"dawson, ga",244.0,62.0,0,May-2018
2018-06-01,23,399990.0,4.15,6,"dawson, ga",244.0,70.0,0,Jun-2018
2018-07-01,24,399995.0,4.4,7,"dawson, ga",262.0,74.0,0,Jul-2018
2018-08-01,25,406045.0,4.46,8,"dawson, ga",258.0,73.0,0,Aug-2018
2018-09-01,26,395000.0,4.58,9,"dawson, ga",263.0,81.0,0,Sep-2018
2018-10-01,27,367175.0,4.66,10,"dawson, ga",317.0,92.0,0,Oct-2018
2018-11-01,28,355375.0,4.62,11,"dawson, ga",301.0,86.0,0,Nov-2018
2018-12-01,29,344450.0,4.54,12,"dawson, ga",284.0,89.0,0,Dec-2018
2019-01-01,30,351000.0,4.6,1,"dawson, ga",257.0,90.0,0,Jan-2019
2019-02-01,31,373775.0,4.72,2,"dawson, ga",212.0,87.0,0,Feb-2019
2019-03-01,32,333329.0,4.9,3,"dawson, ga",263.0,76.0,0,Mar-2019
2019-04-01,33,273650.0,4.94,4,"dawson, ga",338.0,67.0,0,Apr-2019
2019-05-01,34,272500.0,4.75,5,"dawson, ga",362.0,59.0,0,May-2019
2019-06-01,35,269000.0,4.51,6,"dawson, ga",372.0,71.0,0,Jun-2019
