date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,89900.0,3.72,7,"de baca, nm",1.0,18.0,0,Jul-2016
2016-08-01,1,87400.0,3.73,8,"de baca, nm",1.0,50.0,0,Aug-2016
2016-09-01,2,84900.0,3.66,9,"de baca, nm",1.0,78.0,0,Sep-2016
2016-10-01,3,84900.0,3.64,10,"de baca, nm",0.0,93.0,0,Oct-2016
2016-12-01,5,52000.0,3.48,12,"de baca, nm",0.0,477.0,0,Dec-2016
2017-01-01,6,126500.0,3.45,1,"de baca, nm",1.0,199.0,0,Jan-2017
2017-02-01,7,128000.0,3.5,2,"de baca, nm",1.0,21.0,0,Feb-2017
2017-03-01,8,102400.0,3.52,3,"de baca, nm",1.0,49.0,0,Mar-2017
2017-04-01,9,63700.0,4.03,4,"de baca, nm",2.0,49.0,0,Apr-2017
2017-05-01,10,59300.0,4.32,5,"de baca, nm",3.0,65.0,0,May-2017
2017-06-01,11,43500.0,4.2,6,"de baca, nm",2.0,46.0,0,Jun-2017
2017-07-01,12,41000.0,4.19,7,"de baca, nm",2.0,92.0,0,Jul-2017
2017-08-01,13,157250.0,4.3,8,"de baca, nm",5.0,73.0,0,Aug-2017
2017-09-01,14,171500.0,4.1,9,"de baca, nm",6.0,60.0,0,Sep-2017
2017-10-01,15,157250.0,4.05,10,"de baca, nm",7.0,74.0,0,Oct-2017
2017-11-01,16,147500.0,3.94,11,"de baca, nm",6.0,91.0,0,Nov-2017
2017-12-01,17,147500.0,4.03,12,"de baca, nm",6.0,123.0,0,Dec-2017
2018-01-01,18,175000.0,3.93,1,"de baca, nm",5.0,154.0,0,Jan-2018
2018-02-01,19,175000.0,3.83,2,"de baca, nm",7.0,182.0,0,Feb-2018
2018-03-01,20,147500.0,3.94,3,"de baca, nm",7.0,157.0,0,Mar-2018
2018-04-01,21,117000.0,3.95,4,"de baca, nm",11.0,107.0,0,Apr-2018
2018-05-01,22,99000.0,3.99,5,"de baca, nm",11.0,135.0,0,May-2018
2018-06-01,23,72250.0,4.15,6,"de baca, nm",10.0,88.0,0,Jun-2018
2018-07-01,24,72250.0,4.4,7,"de baca, nm",10.0,113.0,0,Jul-2018
2018-08-01,25,68750.0,4.46,8,"de baca, nm",6.0,109.0,0,Aug-2018
2018-09-01,26,97500.0,4.58,9,"de baca, nm",8.0,83.0,0,Sep-2018
2018-10-01,27,121125.0,4.66,10,"de baca, nm",9.0,72.0,0,Oct-2018
2018-11-01,28,120000.0,4.62,11,"de baca, nm",9.0,95.0,0,Nov-2018
2018-12-01,29,135000.0,4.54,12,"de baca, nm",14.0,103.0,0,Dec-2018
2019-01-01,30,135000.0,4.6,1,"de baca, nm",14.0,123.0,0,Jan-2019
2019-02-01,31,120000.0,4.72,2,"de baca, nm",15.0,147.0,0,Feb-2019
2019-03-01,32,124286.0,4.9,3,"de baca, nm",15.0,156.0,0,Mar-2019
2019-04-01,33,126161.0,4.94,4,"de baca, nm",13.0,167.0,0,Apr-2019
2019-05-01,34,99750.0,4.75,5,"de baca, nm",11.0,221.0,0,May-2019
2019-06-01,35,99900.0,4.51,6,"de baca, nm",10.0,196.0,0,Jun-2019
2019-07-01,36,114975.0,4.41,7,"de baca, nm",13.0,101.0,0,Jul-2019
2019-08-01,37,125455.0,4.41,8,"de baca, nm",12.0,108.0,0,Aug-2019
2019-09-01,38,133636.0,4.2,9,"de baca, nm",13.0,118.0,0,Sep-2019
2019-10-01,39,140000.0,4.14,10,"de baca, nm",12.0,132.0,0,Oct-2019
2019-11-01,40,140000.0,3.84,11,"de baca, nm",11.0,165.0,0,Nov-2019
2019-12-01,41,135000.0,3.81,12,"de baca, nm",10.0,195.0,0,Dec-2019
2020-01-01,42,130000.0,3.75,1,"de baca, nm",10.0,221.0,0,Jan-2020
2020-02-01,43,120000.0,3.73,2,"de baca, nm",11.0,234.0,0,Feb-2020
2020-03-01,44,120000.0,3.78,3,"de baca, nm",10.0,244.0,0,Mar-2020
2020-04-01,45,120000.0,3.75,4,"de baca, nm",9.0,260.0,0,Apr-2020
