date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,29200.0,3.72,7,"desha, ar",8.0,64.0,0,Jul-2016
2016-08-01,1,27750.0,3.73,8,"desha, ar",6.0,89.0,0,Aug-2016
2016-09-01,2,27575.0,3.66,9,"desha, ar",4.0,94.0,0,Sep-2016
2016-10-01,3,46575.0,3.64,10,"desha, ar",6.0,120.0,0,Oct-2016
2016-11-01,4,66250.0,3.66,11,"desha, ar",4.0,98.0,0,Nov-2016
2016-12-01,5,69000.0,3.48,12,"desha, ar",5.0,78.0,0,Dec-2016
2017-01-01,6,49900.0,3.45,1,"desha, ar",5.0,116.0,0,Jan-2017
2017-02-01,7,80500.0,3.5,2,"desha, ar",6.0,46.0,0,Feb-2017
2017-03-01,8,78000.0,3.52,3,"desha, ar",4.0,119.0,0,Mar-2017
2017-04-01,9,77000.0,4.03,4,"desha, ar",5.0,131.0,0,Apr-2017
2017-05-01,10,85000.0,4.32,5,"desha, ar",6.0,71.0,0,May-2017
2017-06-01,11,77750.0,4.2,6,"desha, ar",6.0,71.0,0,Jun-2017
2017-07-01,12,60950.0,4.19,7,"desha, ar",8.0,44.0,0,Jul-2017
2017-08-01,13,80000.0,4.3,8,"desha, ar",7.0,66.0,0,Aug-2017
2017-09-01,14,98500.0,4.1,9,"desha, ar",7.0,81.0,0,Sep-2017
2017-10-01,15,93750.0,4.05,10,"desha, ar",9.0,65.0,0,Oct-2017
2017-11-01,16,61660.0,3.94,11,"desha, ar",13.0,25.0,0,Nov-2017
2017-12-01,17,47338.0,4.03,12,"desha, ar",12.0,35.0,0,Dec-2017
2018-01-01,18,42805.0,3.93,1,"desha, ar",14.0,67.0,0,Jan-2018
2018-02-01,19,41223.0,3.83,2,"desha, ar",15.0,95.0,0,Feb-2018
2018-03-01,20,39000.0,3.94,3,"desha, ar",15.0,126.0,0,Mar-2018
2018-04-01,21,51870.0,3.95,4,"desha, ar",15.0,158.0,0,Apr-2018
2018-05-01,22,48750.0,3.99,5,"desha, ar",13.0,181.0,0,May-2018
2018-06-01,23,39900.0,4.15,6,"desha, ar",10.0,216.0,0,Jun-2018
2018-07-01,24,58500.0,4.4,7,"desha, ar",11.0,118.0,0,Jul-2018
2018-08-01,25,69000.0,4.46,8,"desha, ar",10.0,83.0,0,Aug-2018
2018-09-01,26,74500.0,4.58,9,"desha, ar",9.0,82.0,0,Sep-2018
2018-10-01,27,69000.0,4.66,10,"desha, ar",9.0,121.0,0,Oct-2018
2018-11-01,28,63000.0,4.62,11,"desha, ar",8.0,138.0,0,Nov-2018
2018-12-01,29,69000.0,4.54,12,"desha, ar",6.0,156.0,0,Dec-2018
2019-01-01,30,73500.0,4.6,1,"desha, ar",6.0,156.0,0,Jan-2019
2019-02-01,31,57000.0,4.72,2,"desha, ar",5.0,24.0,0,Feb-2019
2019-03-01,32,62143.0,4.9,3,"desha, ar",7.0,40.0,0,Mar-2019
2019-04-01,33,69000.0,4.94,4,"desha, ar",9.0,51.0,0,Apr-2019
2019-05-01,34,51000.0,4.75,5,"desha, ar",12.0,60.0,0,May-2019
2019-06-01,35,41250.0,4.51,6,"desha, ar",14.0,41.0,0,Jun-2019
2019-07-01,36,60000.0,4.41,7,"desha, ar",15.0,61.0,0,Jul-2019
2019-08-01,37,70609.0,4.41,8,"desha, ar",16.0,84.0,0,Aug-2019
2019-09-01,38,73023.0,4.2,9,"desha, ar",18.0,99.0,0,Sep-2019
2019-10-01,39,74900.0,4.14,10,"desha, ar",18.0,114.0,0,Oct-2019
2019-11-01,40,74950.0,3.84,11,"desha, ar",19.0,72.0,0,Nov-2019
2019-12-01,41,78000.0,3.81,12,"desha, ar",19.0,52.0,0,Dec-2019
2020-01-01,42,76500.0,3.75,1,"desha, ar",19.0,64.0,0,Jan-2020
2020-02-01,43,94000.0,3.73,2,"desha, ar",21.0,44.0,0,Feb-2020
2020-03-01,44,91500.0,3.78,3,"desha, ar",22.0,64.0,0,Mar-2020
2020-04-01,45,74975.0,3.75,4,"desha, ar",21.0,82.0,0,Apr-2020
