date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,250000.0,3.72,7,"dillingham, ak",3.0,0,Jul-2016
2016-08-01,1,240000.0,3.73,8,"dillingham, ak",3.0,0,Aug-2016
2016-09-01,2,225000.0,3.66,9,"dillingham, ak",3.0,0,Sep-2016
2016-10-01,3,218500.0,3.64,10,"dillingham, ak",2.0,0,Oct-2016
2016-11-01,4,218500.0,3.66,11,"dillingham, ak",1.0,0,Nov-2016
2016-12-01,5,218500.0,3.48,12,"dillingham, ak",1.0,0,Dec-2016
2017-01-01,6,295000.0,3.45,1,"dillingham, ak",1.0,0,Jan-2017
2017-02-01,7,295000.0,3.5,2,"dillingham, ak",1.0,0,Feb-2017
2017-03-01,8,295000.0,3.52,3,"dillingham, ak",0.0,0,Mar-2017
2017-12-01,17,560000.0,4.03,12,"dillingham, ak",1.0,0,Dec-2017
2018-01-01,18,482500.0,3.93,1,"dillingham, ak",2.0,0,Jan-2018
2018-02-01,19,405000.0,3.83,2,"dillingham, ak",2.0,0,Feb-2018
2018-03-01,20,250000.0,3.94,3,"dillingham, ak",3.0,0,Mar-2018
2018-04-01,21,264500.0,3.95,4,"dillingham, ak",3.0,0,Apr-2018
2018-05-01,22,279000.0,3.99,5,"dillingham, ak",3.0,0,May-2018
2018-06-01,23,414500.0,4.15,6,"dillingham, ak",2.0,0,Jun-2018
2018-07-01,24,414500.0,4.4,7,"dillingham, ak",2.0,0,Jul-2018
2018-08-01,25,560000.0,4.46,8,"dillingham, ak",1.0,0,Aug-2018
2018-09-01,26,560000.0,4.58,9,"dillingham, ak",1.0,0,Sep-2018
2018-10-01,27,495000.0,4.66,10,"dillingham, ak",1.0,0,Oct-2018
2018-11-01,28,495000.0,4.62,11,"dillingham, ak",1.0,0,Nov-2018
2019-01-01,30,414500.0,4.6,1,"dillingham, ak",1.0,0,Jan-2019
2019-02-01,31,399000.0,4.72,2,"dillingham, ak",1.0,0,Feb-2019
2019-03-01,32,309429.0,4.9,3,"dillingham, ak",1.0,0,Mar-2019
2019-04-01,33,190000.0,4.94,4,"dillingham, ak",1.0,0,Apr-2019
2019-05-01,34,320000.0,4.75,5,"dillingham, ak",2.0,0,May-2019
2019-06-01,35,190000.0,4.51,6,"dillingham, ak",1.0,0,Jun-2019
2019-07-01,36,190000.0,4.41,7,"dillingham, ak",1.0,0,Jul-2019
2019-08-01,37,185909.0,4.41,8,"dillingham, ak",1.0,0,Aug-2019
2019-09-01,38,179773.0,4.2,9,"dillingham, ak",1.0,0,Sep-2019
2019-10-01,39,175000.0,4.14,10,"dillingham, ak",1.0,0,Oct-2019
2019-11-01,40,175000.0,3.84,11,"dillingham, ak",1.0,0,Nov-2019
2019-12-01,41,132000.0,3.81,12,"dillingham, ak",2.0,0,Dec-2019
2020-01-01,42,89000.0,3.75,1,"dillingham, ak",1.0,0,Jan-2020
2020-02-01,43,89000.0,3.73,2,"dillingham, ak",1.0,0,Feb-2020
2020-03-01,44,190662.0,3.78,3,"dillingham, ak",4.0,0,Mar-2020
2020-04-01,45,168750.0,3.75,4,"dillingham, ak",6.0,0,Apr-2020
2020-05-01,46,150000.0,3.74,5,"dillingham, ak",5.0,0,May-2020
2020-06-01,47,220692.0,3.72,6,"dillingham, ak",4.0,0,Jun-2020
2020-07-01,48,175000.0,3.49,7,"dillingham, ak",5.0,0,Jul-2020
2020-08-01,49,166250.0,3.65,8,"dillingham, ak",4.0,0,Aug-2020
2020-09-01,50,224375.0,3.33,9,"dillingham, ak",3.0,0,Sep-2020
2020-10-01,51,291250.0,3.28,10,"dillingham, ak",2.0,0,Oct-2020
2020-11-01,52,331875.0,3.21,11,"dillingham, ak",2.0,0,Nov-2020
2020-12-01,53,273750.0,3.07,12,"dillingham, ak",2.0,0,Dec-2020
2021-01-01,54,344950.0,2.99,1,"dillingham, ak",2.0,0,Jan-2021
2021-02-01,55,292000.0,2.93,2,"dillingham, ak",1.0,0,Feb-2021
2021-04-01,57,325000.0,2.84,4,"dillingham, ak",0.0,0,Apr-2021
2021-05-01,58,135000.0,2.71,5,"dillingham, ak",0.0,0,May-2021
2021-07-01,60,181000.0,2.97,7,"dillingham, ak",3.0,0,Jul-2021
2021-08-01,61,230000.0,3.17,8,"dillingham, ak",1.0,0,Aug-2021
2021-09-01,62,175000.0,3.18,9,"dillingham, ak",1.0,0,Sep-2021
2021-10-01,63,175000.0,3.0,10,"dillingham, ak",1.0,0,Oct-2021
2021-11-01,64,175000.0,3.02,11,"dillingham, ak",1.0,0,Nov-2021
2021-12-01,65,175000.0,2.98,12,"dillingham, ak",1.0,0,Dec-2021
2022-01-01,66,175000.0,2.87,1,"dillingham, ak",1.0,181404,Jan-2022
2022-03-01,68,225000.0,3.14,3,"dillingham, ak",1.0,186670,Mar-2022
2022-04-01,69,225000.0,3.1,4,"dillingham, ak",1.0,172950,Apr-2022
2022-05-01,70,287500.0,3.12,5,"dillingham, ak",2.0,192723,May-2022
2022-06-01,71,335000.0,3.56,6,"dillingham, ak",3.0,173950,Jun-2022
2022-07-01,72,267250.0,3.92,7,"dillingham, ak",4.0,162057,Jul-2022
2022-08-01,73,467500.0,4.67,8,"dillingham, ak",6.0,193312,Aug-2022
2022-09-01,74,523750.0,5.11,9,"dillingham, ak",5.0,202243,Sep-2022
2022-10-01,75,600000.0,5.3,10,"dillingham, ak",5.0,189674,Oct-2022
2022-11-01,76,600000.0,5.81,11,"dillingham, ak",5.0,216320,Nov-2022
