date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,164950.0,3.72,7,"dinwiddie, va",97.0,64.0,0,Jul-2016
2016-08-01,1,159900.0,3.73,8,"dinwiddie, va",90.0,69.0,0,Aug-2016
2016-09-01,2,166238.0,3.66,9,"dinwiddie, va",90.0,68.0,0,Sep-2016
2016-10-01,3,172000.0,3.64,10,"dinwiddie, va",90.0,52.0,0,Oct-2016
2016-11-01,4,167436.0,3.66,11,"dinwiddie, va",82.0,50.0,0,Nov-2016
2016-12-01,5,159450.0,3.48,12,"dinwiddie, va",82.0,68.0,0,Dec-2016
2017-01-01,6,151250.0,3.45,1,"dinwiddie, va",88.0,89.0,0,Jan-2017
2017-02-01,7,149923.0,3.5,2,"dinwiddie, va",78.0,85.0,0,Feb-2017
2017-03-01,8,171463.0,3.52,3,"dinwiddie, va",76.0,75.0,0,Mar-2017
2017-04-01,9,174950.0,4.03,4,"dinwiddie, va",79.0,54.0,0,Apr-2017
2017-05-01,10,177988.0,4.32,5,"dinwiddie, va",85.0,54.0,0,May-2017
2017-06-01,11,173913.0,4.2,6,"dinwiddie, va",87.0,63.0,0,Jun-2017
2017-07-01,12,176975.0,4.19,7,"dinwiddie, va",100.0,69.0,0,Jul-2017
2017-08-01,13,187900.0,4.3,8,"dinwiddie, va",100.0,63.0,0,Aug-2017
2017-09-01,14,189900.0,4.1,9,"dinwiddie, va",90.0,75.0,0,Sep-2017
2017-10-01,15,196750.0,4.05,10,"dinwiddie, va",83.0,73.0,0,Oct-2017
2017-11-01,16,195000.0,3.94,11,"dinwiddie, va",78.0,86.0,0,Nov-2017
2017-12-01,17,199450.0,4.03,12,"dinwiddie, va",76.0,92.0,0,Dec-2017
2018-01-01,18,199950.0,3.93,1,"dinwiddie, va",68.0,90.0,0,Jan-2018
2018-02-01,19,193175.0,3.83,2,"dinwiddie, va",63.0,94.0,0,Feb-2018
2018-03-01,20,187250.0,3.94,3,"dinwiddie, va",55.0,59.0,0,Mar-2018
2018-04-01,21,194900.0,3.95,4,"dinwiddie, va",54.0,51.0,0,Apr-2018
2018-05-01,22,193525.0,3.99,5,"dinwiddie, va",55.0,36.0,0,May-2018
2018-06-01,23,196700.0,4.15,6,"dinwiddie, va",61.0,41.0,0,Jun-2018
2018-07-01,24,193800.0,4.4,7,"dinwiddie, va",68.0,46.0,0,Jul-2018
2018-08-01,25,191963.0,4.46,8,"dinwiddie, va",68.0,51.0,0,Aug-2018
2018-09-01,26,175800.0,4.58,9,"dinwiddie, va",77.0,58.0,0,Sep-2018
2018-10-01,27,176250.0,4.66,10,"dinwiddie, va",76.0,55.0,0,Oct-2018
2018-11-01,28,175425.0,4.62,11,"dinwiddie, va",63.0,67.0,0,Nov-2018
2018-12-01,29,179950.0,4.54,12,"dinwiddie, va",55.0,86.0,0,Dec-2018
2019-01-01,30,190675.0,4.6,1,"dinwiddie, va",50.0,53.0,0,Jan-2019
2019-02-01,31,199900.0,4.72,2,"dinwiddie, va",57.0,66.0,0,Feb-2019
2019-03-01,32,198471.0,4.9,3,"dinwiddie, va",58.0,63.0,0,Mar-2019
2019-04-01,33,199913.0,4.94,4,"dinwiddie, va",60.0,52.0,0,Apr-2019
2019-05-01,34,212200.0,4.75,5,"dinwiddie, va",57.0,51.0,0,May-2019
2019-06-01,35,230000.0,4.51,6,"dinwiddie, va",54.0,43.0,0,Jun-2019
2019-07-01,36,226750.0,4.41,7,"dinwiddie, va",57.0,46.0,0,Jul-2019
2019-08-01,37,221636.0,4.41,8,"dinwiddie, va",63.0,50.0,0,Aug-2019
2019-09-01,38,226341.0,4.2,9,"dinwiddie, va",66.0,47.0,0,Sep-2019
2019-10-01,39,230750.0,4.14,10,"dinwiddie, va",67.0,45.0,0,Oct-2019
2019-11-01,40,235000.0,3.84,11,"dinwiddie, va",66.0,53.0,0,Nov-2019
2019-12-01,41,229924.0,3.81,12,"dinwiddie, va",69.0,61.0,0,Dec-2019
2020-01-01,42,234750.0,3.75,1,"dinwiddie, va",63.0,76.0,0,Jan-2020
2020-02-01,43,244850.0,3.73,2,"dinwiddie, va",63.0,64.0,0,Feb-2020
2020-03-01,44,265720.0,3.78,3,"dinwiddie, va",67.0,51.0,0,Mar-2020
2020-04-01,45,248750.0,3.75,4,"dinwiddie, va",64.0,64.0,0,Apr-2020
2020-05-01,46,273750.0,3.74,5,"dinwiddie, va",55.0,75.0,0,May-2020
2020-06-01,47,262225.0,3.72,6,"dinwiddie, va",38.0,98.0,0,Jun-2020
2020-07-01,48,299975.0,3.49,7,"dinwiddie, va",37.0,81.0,0,Jul-2020
2020-08-01,49,265000.0,3.65,8,"dinwiddie, va",28.0,52.0,0,Aug-2020
2020-09-01,50,272500.0,3.33,9,"dinwiddie, va",36.0,32.0,0,Sep-2020
2020-10-01,51,255000.0,3.28,10,"dinwiddie, va",36.0,42.0,0,Oct-2020
2020-11-01,52,231400.0,3.21,11,"dinwiddie, va",37.0,55.0,0,Nov-2020
2020-12-01,53,242737.0,3.07,12,"dinwiddie, va",27.0,64.0,0,Dec-2020
2021-01-01,54,229000.0,2.99,1,"dinwiddie, va",23.0,38.0,0,Jan-2021
2021-02-01,55,230200.0,2.93,2,"dinwiddie, va",19.0,43.0,0,Feb-2021
2021-03-01,56,235913.0,2.88,3,"dinwiddie, va",20.0,47.0,0,Mar-2021
2021-04-01,57,254975.0,2.84,4,"dinwiddie, va",20.0,49.0,0,Apr-2021
2021-05-01,58,262400.0,2.71,5,"dinwiddie, va",16.0,55.0,0,May-2021
2021-06-01,59,249974.0,2.79,6,"dinwiddie, va",17.0,43.0,0,Jun-2021
2021-07-01,60,280000.0,2.97,7,"dinwiddie, va",29.0,27.0,0,Jul-2021
2021-08-01,61,295725.0,3.17,8,"dinwiddie, va",28.0,43.0,0,Aug-2021
2021-09-01,62,271950.0,3.18,9,"dinwiddie, va",31.0,27.0,0,Sep-2021
2021-10-01,63,274500.0,3.0,10,"dinwiddie, va",25.0,57.0,0,Oct-2021
2021-11-01,64,247488.0,3.02,11,"dinwiddie, va",29.0,58.0,0,Nov-2021
2021-12-01,65,249950.0,2.98,12,"dinwiddie, va",24.0,56.0,0,Dec-2021
2022-01-01,66,278000.0,2.87,1,"dinwiddie, va",21.0,93.0,0,Jan-2022
2022-02-01,67,267991.0,3.01,2,"dinwiddie, va",19.0,46.0,0,Feb-2022
2022-03-01,68,252438.0,3.14,3,"dinwiddie, va",21.0,50.0,0,Mar-2022
2022-04-01,69,275825.0,3.1,4,"dinwiddie, va",19.0,35.0,0,Apr-2022
2022-05-01,70,294450.0,3.12,5,"dinwiddie, va",25.0,31.0,0,May-2022
2022-06-01,71,309925.0,3.56,6,"dinwiddie, va",39.0,30.0,0,Jun-2022
2022-07-01,72,290000.0,3.92,7,"dinwiddie, va",45.0,36.0,0,Jul-2022
