date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,229000.0,3.72,7,"fleming, ky",9.0,92.0,0,Jul-2016
2016-08-01,1,192175.0,3.73,8,"fleming, ky",12.0,106.0,0,Aug-2016
2016-09-01,2,211725.0,3.66,9,"fleming, ky",12.0,119.0,0,Sep-2016
2016-10-01,3,169900.0,3.64,10,"fleming, ky",10.0,81.0,0,Oct-2016
2016-11-01,4,191450.0,3.66,11,"fleming, ky",14.0,32.0,0,Nov-2016
2016-12-01,5,179900.0,3.48,12,"fleming, ky",14.0,61.0,0,Dec-2016
2017-01-01,6,185675.0,3.45,1,"fleming, ky",11.0,86.0,0,Jan-2017
2017-02-01,7,172425.0,3.5,2,"fleming, ky",10.0,108.0,0,Feb-2017
2017-03-01,8,132450.0,3.52,3,"fleming, ky",11.0,52.0,0,Mar-2017
2017-04-01,9,123000.0,4.03,4,"fleming, ky",12.0,46.0,0,Apr-2017
2017-05-01,10,132250.0,4.32,5,"fleming, ky",7.0,51.0,0,May-2017
2017-06-01,11,159950.0,4.2,6,"fleming, ky",10.0,65.0,0,Jun-2017
2017-07-01,12,139000.0,4.19,7,"fleming, ky",12.0,69.0,0,Jul-2017
2017-08-01,13,188375.0,4.3,8,"fleming, ky",9.0,85.0,0,Aug-2017
2017-09-01,14,275000.0,4.1,9,"fleming, ky",6.0,91.0,0,Sep-2017
2017-10-01,15,195875.0,4.05,10,"fleming, ky",10.0,87.0,0,Oct-2017
2017-11-01,16,154500.0,3.94,11,"fleming, ky",14.0,79.0,0,Nov-2017
2017-12-01,17,147200.0,4.03,12,"fleming, ky",12.0,55.0,0,Dec-2017
2018-01-01,18,169500.0,3.93,1,"fleming, ky",17.0,46.0,0,Jan-2018
2018-02-01,19,192250.0,3.83,2,"fleming, ky",13.0,74.0,0,Feb-2018
2018-03-01,20,199000.0,3.94,3,"fleming, ky",9.0,95.0,0,Mar-2018
2018-04-01,21,224000.0,3.95,4,"fleming, ky",10.0,123.0,0,Apr-2018
2018-05-01,22,147450.0,3.99,5,"fleming, ky",27.0,18.0,0,May-2018
2018-06-01,23,157900.0,4.15,6,"fleming, ky",28.0,43.0,0,Jun-2018
2018-07-01,24,145575.0,4.4,7,"fleming, ky",32.0,72.0,0,Jul-2018
2018-08-01,25,146175.0,4.46,8,"fleming, ky",34.0,93.0,0,Aug-2018
2018-09-01,26,149500.0,4.58,9,"fleming, ky",36.0,122.0,0,Sep-2018
2018-10-01,27,149250.0,4.66,10,"fleming, ky",36.0,121.0,0,Oct-2018
2018-11-01,28,156675.0,4.62,11,"fleming, ky",29.0,139.0,0,Nov-2018
2018-12-01,29,158900.0,4.54,12,"fleming, ky",26.0,149.0,0,Dec-2018
2019-01-01,30,168675.0,4.6,1,"fleming, ky",23.0,162.0,0,Jan-2019
2019-02-01,31,168425.0,4.72,2,"fleming, ky",25.0,186.0,0,Feb-2019
2019-03-01,32,187593.0,4.9,3,"fleming, ky",26.0,215.0,0,Mar-2019
2019-04-01,33,183368.0,4.94,4,"fleming, ky",27.0,218.0,0,Apr-2019
2019-05-01,34,151950.0,4.75,5,"fleming, ky",30.0,89.0,0,May-2019
2019-06-01,35,149450.0,4.51,6,"fleming, ky",33.0,91.0,0,Jun-2019
2019-07-01,36,149450.0,4.41,7,"fleming, ky",28.0,77.0,0,Jul-2019
2019-08-01,37,150636.0,4.41,8,"fleming, ky",27.0,88.0,0,Aug-2019
2019-09-01,38,153091.0,4.2,9,"fleming, ky",25.0,87.0,0,Sep-2019
2019-10-01,39,152177.0,4.14,10,"fleming, ky",24.0,87.0,0,Oct-2019
2019-11-01,40,189000.0,3.84,11,"fleming, ky",21.0,109.0,0,Nov-2019
2019-12-01,41,189000.0,3.81,12,"fleming, ky",19.0,109.0,0,Dec-2019
2020-01-01,42,214950.0,3.75,1,"fleming, ky",15.0,124.0,0,Jan-2020
2020-02-01,43,194500.0,3.73,2,"fleming, ky",18.0,117.0,0,Feb-2020
2020-03-01,44,175225.0,3.78,3,"fleming, ky",19.0,50.0,0,Mar-2020
2020-04-01,45,171450.0,3.75,4,"fleming, ky",21.0,69.0,0,Apr-2020
2020-05-01,46,182450.0,3.74,5,"fleming, ky",20.0,102.0,0,May-2020
2020-06-01,47,189225.0,3.72,6,"fleming, ky",19.0,126.0,0,Jun-2020
2020-07-01,48,189000.0,3.49,7,"fleming, ky",21.0,143.0,0,Jul-2020
2020-08-01,49,160000.0,3.65,8,"fleming, ky",16.0,158.0,0,Aug-2020
2020-09-01,50,186225.0,3.33,9,"fleming, ky",13.0,86.0,0,Sep-2020
2020-10-01,51,199750.0,3.28,10,"fleming, ky",14.0,79.0,0,Oct-2020
2020-11-01,52,210000.0,3.21,11,"fleming, ky",11.0,95.0,0,Nov-2020
2020-12-01,53,197300.0,3.07,12,"fleming, ky",12.0,96.0,0,Dec-2020
2021-01-01,54,175000.0,2.99,1,"fleming, ky",11.0,94.0,0,Jan-2021
2021-02-01,55,164450.0,2.93,2,"fleming, ky",13.0,55.0,0,Feb-2021
2021-03-01,56,158000.0,2.88,3,"fleming, ky",13.0,59.0,0,Mar-2021
2021-04-01,57,170125.0,2.84,4,"fleming, ky",10.0,80.0,0,Apr-2021
2021-05-01,58,249000.0,2.71,5,"fleming, ky",9.0,37.0,0,May-2021
2021-06-01,59,187425.0,2.79,6,"fleming, ky",9.0,73.0,0,Jun-2021
2021-07-01,60,237000.0,2.97,7,"fleming, ky",10.0,56.0,0,Jul-2021
2021-08-01,61,281250.0,3.17,8,"fleming, ky",9.0,60.0,0,Aug-2021
2021-09-01,62,282475.0,3.18,9,"fleming, ky",12.0,26.0,0,Sep-2021
2021-10-01,63,169900.0,3.0,10,"fleming, ky",11.0,38.0,0,Oct-2021
2021-11-01,64,259900.0,3.02,11,"fleming, ky",10.0,70.0,0,Nov-2021
2021-12-01,65,279450.0,2.98,12,"fleming, ky",14.0,31.0,0,Dec-2021
2022-01-01,66,304000.0,2.87,1,"fleming, ky",16.0,46.0,0,Jan-2022
2022-02-01,67,310500.0,3.01,2,"fleming, ky",14.0,72.0,0,Feb-2022
2022-03-01,68,255725.0,3.14,3,"fleming, ky",9.0,94.0,0,Mar-2022
2022-04-01,69,229250.0,3.1,4,"fleming, ky",12.0,34.0,0,Apr-2022
2022-05-01,70,304750.0,3.12,5,"fleming, ky",13.0,58.0,0,May-2022
2022-06-01,71,194000.0,3.56,6,"fleming, ky",16.0,32.0,0,Jun-2022
2022-07-01,72,189000.0,3.92,7,"fleming, ky",17.0,43.0,0,Jul-2022
2022-08-01,73,194000.0,4.67,8,"fleming, ky",19.0,48.0,0,Aug-2022
2022-09-01,74,173875.0,5.11,9,"fleming, ky",18.0,69.0,141006,Sep-2022
2022-10-01,75,165500.0,5.3,10,"fleming, ky",19.0,73.0,141573,Oct-2022
2022-11-01,76,268750.0,5.81,11,"fleming, ky",18.0,60.0,143378,Nov-2022
2022-12-01,77,184000.0,5.54,12,"fleming, ky",20.0,77.0,146502,Dec-2022
