date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,159900.0,3.72,7,"florence, wi",86.0,78.0,0,Jul-2016
2016-08-01,1,164600.0,3.73,8,"florence, wi",83.0,96.0,0,Aug-2016
2016-09-01,2,168200.0,3.66,9,"florence, wi",85.0,107.0,0,Sep-2016
2016-10-01,3,164700.0,3.64,10,"florence, wi",84.0,122.0,0,Oct-2016
2016-11-01,4,164700.0,3.66,11,"florence, wi",74.0,136.0,0,Nov-2016
2016-12-01,5,159900.0,3.48,12,"florence, wi",59.0,140.0,0,Dec-2016
2017-01-01,6,164900.0,3.45,1,"florence, wi",57.0,162.0,0,Jan-2017
2017-02-01,7,166450.0,3.5,2,"florence, wi",54.0,174.0,0,Feb-2017
2017-03-01,8,169000.0,3.52,3,"florence, wi",51.0,193.0,0,Mar-2017
2017-04-01,9,179900.0,4.03,4,"florence, wi",53.0,176.0,0,Apr-2017
2017-05-01,10,165925.0,4.32,5,"florence, wi",63.0,130.0,0,May-2017
2017-06-01,11,161225.0,4.2,6,"florence, wi",70.0,82.0,0,Jun-2017
2017-07-01,12,154900.0,4.19,7,"florence, wi",74.0,87.0,0,Jul-2017
2017-08-01,13,149900.0,4.3,8,"florence, wi",71.0,100.0,0,Aug-2017
2017-09-01,14,149900.0,4.1,9,"florence, wi",68.0,117.0,0,Sep-2017
2017-10-01,15,139900.0,4.05,10,"florence, wi",72.0,123.0,0,Oct-2017
2017-11-01,16,139900.0,3.94,11,"florence, wi",65.0,118.0,0,Nov-2017
2017-12-01,17,135000.0,4.03,12,"florence, wi",51.0,122.0,0,Dec-2017
2018-01-01,18,134725.0,3.93,1,"florence, wi",49.0,135.0,0,Jan-2018
2018-02-01,19,139175.0,3.83,2,"florence, wi",55.0,141.0,0,Feb-2018
2018-03-01,20,138900.0,3.94,3,"florence, wi",56.0,150.0,0,Mar-2018
2018-04-01,21,139900.0,3.95,4,"florence, wi",57.0,105.0,0,Apr-2018
2018-05-01,22,146900.0,3.99,5,"florence, wi",65.0,89.0,0,May-2018
2018-06-01,23,152450.0,4.15,6,"florence, wi",70.0,92.0,0,Jun-2018
2018-07-01,24,169000.0,4.4,7,"florence, wi",78.0,78.0,0,Jul-2018
2018-08-01,25,178233.0,4.46,8,"florence, wi",78.0,83.0,0,Aug-2018
2018-09-01,26,169900.0,4.58,9,"florence, wi",73.0,85.0,0,Sep-2018
2018-10-01,27,167975.0,4.66,10,"florence, wi",71.0,117.0,0,Oct-2018
2018-11-01,28,163650.0,4.62,11,"florence, wi",71.0,128.0,0,Nov-2018
2018-12-01,29,164950.0,4.54,12,"florence, wi",63.0,148.0,0,Dec-2018
2019-01-01,30,157450.0,4.6,1,"florence, wi",57.0,167.0,0,Jan-2019
2019-02-01,31,149375.0,4.72,2,"florence, wi",55.0,190.0,0,Feb-2019
2019-03-01,32,146757.0,4.9,3,"florence, wi",51.0,221.0,0,Mar-2019
2019-04-01,33,153975.0,4.94,4,"florence, wi",46.0,245.0,0,Apr-2019
2019-05-01,34,189900.0,4.75,5,"florence, wi",51.0,196.0,0,May-2019
2019-06-01,35,184900.0,4.51,6,"florence, wi",61.0,68.0,0,Jun-2019
2019-07-01,36,177400.0,4.41,7,"florence, wi",70.0,64.0,0,Jul-2019
2019-08-01,37,169064.0,4.41,8,"florence, wi",66.0,80.0,0,Aug-2019
2019-09-01,38,175159.0,4.2,9,"florence, wi",62.0,101.0,0,Sep-2019
2019-10-01,39,187175.0,4.14,10,"florence, wi",56.0,121.0,0,Oct-2019
2019-11-01,40,183400.0,3.84,11,"florence, wi",53.0,145.0,0,Nov-2019
2019-12-01,41,179900.0,3.81,12,"florence, wi",42.0,152.0,0,Dec-2019
2020-01-01,42,179900.0,3.75,1,"florence, wi",40.0,164.0,0,Jan-2020
2020-02-01,43,179900.0,3.73,2,"florence, wi",39.0,163.0,0,Feb-2020
2020-03-01,44,186900.0,3.78,3,"florence, wi",40.0,192.0,0,Mar-2020
2020-04-01,45,189150.0,3.75,4,"florence, wi",41.0,207.0,0,Apr-2020
2020-05-01,46,199672.0,3.74,5,"florence, wi",32.0,224.0,0,May-2020
2020-06-01,47,190036.0,3.72,6,"florence, wi",34.0,88.0,0,Jun-2020
2020-07-01,48,216036.0,3.49,7,"florence, wi",32.0,51.0,0,Jul-2020
2020-08-01,49,174900.0,3.65,8,"florence, wi",30.0,75.0,0,Aug-2020
2020-09-01,50,188308.0,3.33,9,"florence, wi",25.0,89.0,0,Sep-2020
2020-10-01,51,174900.0,3.28,10,"florence, wi",22.0,73.0,0,Oct-2020
2020-11-01,52,177400.0,3.21,11,"florence, wi",21.0,57.0,0,Nov-2020
2020-12-01,53,159900.0,3.07,12,"florence, wi",21.0,69.0,0,Dec-2020
2021-01-01,54,212450.0,2.99,1,"florence, wi",17.0,101.0,0,Jan-2021
2021-02-01,55,262400.0,2.93,2,"florence, wi",15.0,130.0,0,Feb-2021
2021-03-01,56,269000.0,2.88,3,"florence, wi",13.0,158.0,0,Mar-2021
2021-04-01,57,249225.0,2.84,4,"florence, wi",14.0,69.0,0,Apr-2021
2021-05-01,58,194900.0,2.71,5,"florence, wi",15.0,50.0,0,May-2021
2021-06-01,59,193100.0,2.79,6,"florence, wi",16.0,24.0,0,Jun-2021
2021-07-01,60,185000.0,2.97,7,"florence, wi",18.0,43.0,0,Jul-2021
2021-08-01,61,188675.0,3.17,8,"florence, wi",16.0,57.0,0,Aug-2021
2021-09-01,62,198700.0,3.18,9,"florence, wi",14.0,71.0,0,Sep-2021
2021-10-01,63,185000.0,3.0,10,"florence, wi",14.0,88.0,0,Oct-2021
2021-11-01,64,175700.0,3.02,11,"florence, wi",12.0,68.0,0,Nov-2021
2021-12-01,65,154950.0,2.98,12,"florence, wi",12.0,54.0,0,Dec-2021
2022-01-01,66,145000.0,2.87,1,"florence, wi",9.0,75.0,0,Jan-2022
2022-02-01,67,167425.0,3.01,2,"florence, wi",6.0,94.0,0,Feb-2022
2022-03-01,68,141000.0,3.14,3,"florence, wi",5.0,125.0,0,Mar-2022
2022-04-01,69,206250.0,3.1,4,"florence, wi",7.0,18.0,0,Apr-2022
2022-05-01,70,151250.0,3.12,5,"florence, wi",10.0,19.0,0,May-2022
2022-06-01,71,139950.0,3.56,6,"florence, wi",10.0,45.0,0,Jun-2022
2022-07-01,72,167900.0,3.92,7,"florence, wi",15.0,38.0,0,Jul-2022
2022-08-01,73,151900.0,4.67,8,"florence, wi",19.0,54.0,0,Aug-2022
2022-09-01,74,149900.0,5.11,9,"florence, wi",21.0,78.0,154183,Sep-2022
2022-10-01,75,179900.0,5.3,10,"florence, wi",22.0,92.0,153077,Oct-2022
2022-11-01,76,159900.0,5.81,11,"florence, wi",18.0,95.0,147799,Nov-2022
2022-12-01,77,159900.0,5.54,12,"florence, wi",14.0,102.0,150607,Dec-2022
2023-01-01,78,137450.0,5.55,1,"florence, wi",12.0,108.0,146133,Jan-2023
2023-02-01,79,129900.0,6.7,2,"florence, wi",9.0,111.0,137878,Feb-2023
2023-03-01,80,149900.0,7.08,3,"florence, wi",8.0,116.0,140522,Mar-2023
2023-04-01,81,199900.0,7.08,4,"florence, wi",8.0,122.0,155290,Apr-2023
2023-05-01,82,194925.0,6.49,5,"florence, wi",10.0,27.0,139810,May-2023
2023-06-01,83,184975.0,6.48,6,"florence, wi",9.0,46.0,135958,Jun-2023
2023-07-01,84,280000.0,6.5,7,"florence, wi",8.0,56.0,144957,Jul-2023
