date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,179000.0,3.72,7,"foster, nd",7.0,39.0,0,Jul-2016
2016-08-01,1,171250.0,3.73,8,"foster, nd",8.0,53.0,0,Aug-2016
2016-09-01,2,155750.0,3.66,9,"foster, nd",7.0,70.0,0,Sep-2016
2016-10-01,3,201375.0,3.64,10,"foster, nd",10.0,53.0,0,Oct-2016
2016-11-01,4,264625.0,3.66,11,"foster, nd",7.0,77.0,0,Nov-2016
2016-12-01,5,254750.0,3.48,12,"foster, nd",7.0,94.0,0,Dec-2016
2017-01-01,6,223125.0,3.45,1,"foster, nd",8.0,119.0,0,Jan-2017
2017-02-01,7,259688.0,3.5,2,"foster, nd",6.0,156.0,0,Feb-2017
2017-03-01,8,226563.0,3.52,3,"foster, nd",8.0,180.0,0,Mar-2017
2017-04-01,9,198375.0,4.03,4,"foster, nd",8.0,206.0,0,Apr-2017
2017-05-01,10,274500.0,4.32,5,"foster, nd",7.0,238.0,0,May-2017
2017-06-01,11,274500.0,4.2,6,"foster, nd",7.0,266.0,0,Jun-2017
2017-07-01,12,264625.0,4.19,7,"foster, nd",8.0,131.0,0,Jul-2017
2017-08-01,13,259688.0,4.3,8,"foster, nd",8.0,120.0,0,Aug-2017
2017-09-01,14,254750.0,4.1,9,"foster, nd",9.0,78.0,0,Sep-2017
2017-10-01,15,264625.0,4.05,10,"foster, nd",8.0,86.0,0,Oct-2017
2017-11-01,16,264625.0,3.94,11,"foster, nd",8.0,114.0,0,Nov-2017
2017-12-01,17,284750.0,4.03,12,"foster, nd",8.0,121.0,0,Dec-2017
2018-01-01,18,284750.0,3.93,1,"foster, nd",8.0,141.0,0,Jan-2018
2018-02-01,19,284750.0,3.83,2,"foster, nd",10.0,114.0,0,Feb-2018
2018-03-01,20,284750.0,3.94,3,"foster, nd",10.0,139.0,0,Mar-2018
2018-04-01,21,295000.0,3.95,4,"foster, nd",9.0,127.0,0,Apr-2018
2018-05-01,22,289500.0,3.99,5,"foster, nd",9.0,148.0,0,May-2018
2018-06-01,23,285000.0,4.15,6,"foster, nd",9.0,29.0,0,Jun-2018
2018-07-01,24,273725.0,4.4,7,"foster, nd",10.0,51.0,0,Jul-2018
2018-08-01,25,232975.0,4.46,8,"foster, nd",14.0,62.0,0,Aug-2018
2018-09-01,26,165000.0,4.58,9,"foster, nd",18.0,44.0,0,Sep-2018
2018-10-01,27,138500.0,4.66,10,"foster, nd",16.0,88.0,0,Oct-2018
2018-11-01,28,127000.0,4.62,11,"foster, nd",16.0,126.0,0,Nov-2018
2018-12-01,29,127000.0,4.54,12,"foster, nd",14.0,164.0,0,Dec-2018
2019-01-01,30,124500.0,4.6,1,"foster, nd",15.0,162.0,0,Jan-2019
2019-02-01,31,99900.0,4.72,2,"foster, nd",13.0,161.0,0,Feb-2019
2019-03-01,32,106029.0,4.9,3,"foster, nd",14.0,135.0,0,Mar-2019
2019-04-01,33,113179.0,4.94,4,"foster, nd",16.0,106.0,0,Apr-2019
2019-05-01,34,99900.0,4.75,5,"foster, nd",15.0,104.0,0,May-2019
2019-06-01,35,99900.0,4.51,6,"foster, nd",14.0,101.0,0,Jun-2019
2019-07-01,36,114900.0,4.41,7,"foster, nd",13.0,88.0,0,Jul-2019
2019-08-01,37,113564.0,4.41,8,"foster, nd",12.0,134.0,0,Aug-2019
2019-09-01,38,111559.0,4.2,9,"foster, nd",10.0,146.0,0,Sep-2019
2019-10-01,39,110000.0,4.14,10,"foster, nd",9.0,153.0,0,Oct-2019
2019-11-01,40,104000.0,3.84,11,"foster, nd",9.0,127.0,0,Nov-2019
2019-12-01,41,107000.0,3.81,12,"foster, nd",10.0,115.0,0,Dec-2019
2020-01-01,42,107000.0,3.75,1,"foster, nd",10.0,136.0,0,Jan-2020
2020-02-01,43,112450.0,3.73,2,"foster, nd",8.0,77.0,0,Feb-2020
2020-03-01,44,134900.0,3.78,3,"foster, nd",12.0,49.0,0,Mar-2020
2020-04-01,45,128900.0,3.75,4,"foster, nd",12.0,55.0,0,Apr-2020
2020-05-01,46,137200.0,3.74,5,"foster, nd",12.0,68.0,0,May-2020
2020-06-01,47,149900.0,3.72,6,"foster, nd",10.0,95.0,0,Jun-2020
2020-07-01,48,164900.0,3.49,7,"foster, nd",8.0,92.0,0,Jul-2020
2020-08-01,49,172000.0,3.65,8,"foster, nd",10.0,62.0,0,Aug-2020
2020-09-01,50,204450.0,3.33,9,"foster, nd",9.0,26.0,0,Sep-2020
2020-10-01,51,199900.0,3.28,10,"foster, nd",11.0,48.0,0,Oct-2020
2020-11-01,52,194900.0,3.21,11,"foster, nd",11.0,77.0,0,Nov-2020
2020-12-01,53,177425.0,3.07,12,"foster, nd",11.0,95.0,0,Dec-2020
2021-01-01,54,179900.0,2.99,1,"foster, nd",9.0,102.0,0,Jan-2021
2021-02-01,55,179150.0,2.93,2,"foster, nd",9.0,100.0,0,Feb-2021
2021-03-01,56,177650.0,2.88,3,"foster, nd",7.0,92.0,0,Mar-2021
2021-04-01,57,203075.0,2.84,4,"foster, nd",6.0,84.0,0,Apr-2021
2021-05-01,58,119900.0,2.71,5,"foster, nd",8.0,47.0,0,May-2021
2021-06-01,59,129225.0,2.79,6,"foster, nd",7.0,68.0,0,Jun-2021
2021-07-01,60,189700.0,2.97,7,"foster, nd",7.0,73.0,0,Jul-2021
