date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,219700.0,3.72,7,"glascock, ga",4.0,0,Jul-2016
2016-08-01,1,209500.0,3.73,8,"glascock, ga",3.0,0,Aug-2016
2016-09-01,2,209500.0,3.66,9,"glascock, ga",3.0,0,Sep-2016
2016-10-01,3,134750.0,3.64,10,"glascock, ga",2.0,0,Oct-2016
2016-11-01,4,99950.0,3.66,11,"glascock, ga",4.0,0,Nov-2016
2016-12-01,5,134900.0,3.48,12,"glascock, ga",6.0,0,Dec-2016
2017-01-01,6,134900.0,3.45,1,"glascock, ga",4.0,0,Jan-2017
2017-02-01,7,134900.0,3.5,2,"glascock, ga",4.0,0,Feb-2017
2017-03-01,8,139900.0,3.52,3,"glascock, ga",5.0,0,Mar-2017
2017-04-01,9,157900.0,4.03,4,"glascock, ga",5.0,0,Apr-2017
2017-05-01,10,157900.0,4.32,5,"glascock, ga",5.0,0,May-2017
2017-06-01,11,162900.0,4.2,6,"glascock, ga",4.0,0,Jun-2017
2017-07-01,12,157900.0,4.19,7,"glascock, ga",3.0,0,Jul-2017
2017-08-01,13,152000.0,4.3,8,"glascock, ga",5.0,0,Aug-2017
2017-09-01,14,133450.0,4.1,9,"glascock, ga",4.0,0,Sep-2017
2017-10-01,15,114900.0,4.05,10,"glascock, ga",5.0,0,Oct-2017
2017-11-01,16,96175.0,3.94,11,"glascock, ga",4.0,0,Nov-2017
2017-12-01,17,82450.0,4.03,12,"glascock, ga",4.0,0,Dec-2017
2018-01-01,18,93675.0,3.93,1,"glascock, ga",4.0,0,Jan-2018
2018-02-01,19,134950.0,3.83,2,"glascock, ga",2.0,0,Feb-2018
2018-03-01,20,134900.0,3.94,3,"glascock, ga",4.0,0,Mar-2018
2018-04-01,21,134900.0,3.95,4,"glascock, ga",2.0,0,Apr-2018
2018-05-01,22,244900.0,3.99,5,"glascock, ga",3.0,0,May-2018
2018-06-01,23,134900.0,4.15,6,"glascock, ga",2.0,0,Jun-2018
2018-07-01,24,134900.0,4.4,7,"glascock, ga",2.0,0,Jul-2018
2018-08-01,25,131200.0,4.46,8,"glascock, ga",2.0,0,Aug-2018
2018-09-01,26,12500.0,4.58,9,"glascock, ga",1.0,0,Sep-2018
2018-10-01,27,39375.0,4.66,10,"glascock, ga",2.0,0,Oct-2018
2018-11-01,28,12500.0,4.62,11,"glascock, ga",1.0,0,Nov-2018
2018-12-01,29,12500.0,4.54,12,"glascock, ga",1.0,0,Dec-2018
2019-01-01,30,12500.0,4.6,1,"glascock, ga",1.0,0,Jan-2019
2019-02-01,31,88250.0,4.72,2,"glascock, ga",2.0,0,Feb-2019
2019-03-01,32,237702.0,4.9,3,"glascock, ga",2.0,0,Mar-2019
2019-04-01,33,181000.0,4.94,4,"glascock, ga",3.0,0,Apr-2019
2019-05-01,34,125000.0,4.75,5,"glascock, ga",4.0,0,May-2019
2019-06-01,35,125000.0,4.51,6,"glascock, ga",4.0,0,Jun-2019
2019-07-01,36,92500.0,4.41,7,"glascock, ga",3.0,0,Jul-2019
2019-08-01,37,111591.0,4.41,8,"glascock, ga",3.0,0,Aug-2019
2019-09-01,38,140227.0,4.2,9,"glascock, ga",3.0,0,Sep-2019
2019-10-01,39,188125.0,4.14,10,"glascock, ga",3.0,0,Oct-2019
2019-11-01,40,302000.0,3.84,11,"glascock, ga",4.0,0,Nov-2019
2019-12-01,41,283500.0,3.81,12,"glascock, ga",4.0,0,Dec-2019
2020-01-01,42,320500.0,3.75,1,"glascock, ga",4.0,0,Jan-2020
2020-02-01,43,202000.0,3.73,2,"glascock, ga",3.0,0,Feb-2020
2020-03-01,44,158650.0,3.78,3,"glascock, ga",3.0,0,Mar-2020
2020-04-01,45,78300.0,3.75,4,"glascock, ga",3.0,0,Apr-2020
2020-05-01,46,111600.0,3.74,5,"glascock, ga",1.0,0,May-2020
2020-06-01,47,117400.0,3.72,6,"glascock, ga",3.0,0,Jun-2020
2020-07-01,48,170825.0,3.49,7,"glascock, ga",2.0,0,Jul-2020
2020-08-01,49,150000.0,3.65,8,"glascock, ga",3.0,0,Aug-2020
2020-09-01,50,141750.0,3.33,9,"glascock, ga",3.0,0,Sep-2020
2020-10-01,51,194000.0,3.28,10,"glascock, ga",2.0,0,Oct-2020
2020-11-01,52,194000.0,3.21,11,"glascock, ga",2.0,0,Nov-2020
2020-12-01,53,196975.0,3.07,12,"glascock, ga",2.0,0,Dec-2020
2021-01-01,54,204500.0,2.99,1,"glascock, ga",2.0,0,Jan-2021
2021-02-01,55,168225.0,2.93,2,"glascock, ga",3.0,0,Feb-2021
2021-03-01,56,189450.0,2.88,3,"glascock, ga",2.0,0,Mar-2021
2021-04-01,57,469900.0,2.84,4,"glascock, ga",1.0,0,Apr-2021
2021-07-01,60,975000.0,2.97,7,"glascock, ga",2.0,0,Jul-2021
2021-08-01,61,975000.0,3.17,8,"glascock, ga",2.0,0,Aug-2021
2021-09-01,62,975000.0,3.18,9,"glascock, ga",2.0,0,Sep-2021
2021-10-01,63,925000.0,3.0,10,"glascock, ga",3.0,0,Oct-2021
2021-11-01,64,925000.0,3.02,11,"glascock, ga",3.0,0,Nov-2021
2021-12-01,65,816000.0,2.98,12,"glascock, ga",2.0,0,Dec-2021
2022-01-01,66,529000.0,2.87,1,"glascock, ga",1.0,0,Jan-2022
2022-02-01,67,394450.0,3.01,2,"glascock, ga",1.0,625947,Feb-2022
2022-03-01,68,304500.0,3.14,3,"glascock, ga",2.0,639239,Mar-2022
2022-04-01,69,301250.0,3.1,4,"glascock, ga",3.0,647224,Apr-2022
2022-05-01,70,280725.0,3.12,5,"glascock, ga",1.0,632436,May-2022
2022-06-01,71,273000.0,3.56,6,"glascock, ga",2.0,637479,Jun-2022
2022-07-01,72,246950.0,3.92,7,"glascock, ga",1.0,627440,Jul-2022
2022-08-01,73,282000.0,4.67,8,"glascock, ga",2.0,619969,Aug-2022
2022-09-01,74,319000.0,5.11,9,"glascock, ga",3.0,636148,Sep-2022
2022-10-01,75,327000.0,5.3,10,"glascock, ga",2.0,628880,Oct-2022
2022-11-01,76,222750.0,5.81,11,"glascock, ga",4.0,643477,Nov-2022
2022-12-01,77,183500.0,5.54,12,"glascock, ga",4.0,644596,Dec-2022
