date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,247000.0,3.72,7,"glenn, ca",65.0,71.0,0,Jul-2016
2016-08-01,1,244388.0,3.73,8,"glenn, ca",70.0,69.0,0,Aug-2016
2016-09-01,2,231000.0,3.66,9,"glenn, ca",76.0,59.0,0,Sep-2016
2016-10-01,3,230000.0,3.64,10,"glenn, ca",83.0,77.0,0,Oct-2016
2016-11-01,4,249000.0,3.66,11,"glenn, ca",74.0,82.0,0,Nov-2016
2016-12-01,5,249000.0,3.48,12,"glenn, ca",67.0,89.0,0,Dec-2016
2017-01-01,6,247250.0,3.45,1,"glenn, ca",66.0,89.0,0,Jan-2017
2017-02-01,7,245500.0,3.5,2,"glenn, ca",70.0,92.0,0,Feb-2017
2017-03-01,8,248000.0,3.52,3,"glenn, ca",77.0,65.0,0,Mar-2017
2017-04-01,9,240000.0,4.03,4,"glenn, ca",73.0,61.0,0,Apr-2017
2017-05-01,10,277500.0,4.32,5,"glenn, ca",70.0,66.0,0,May-2017
2017-06-01,11,246000.0,4.2,6,"glenn, ca",80.0,54.0,0,Jun-2017
2017-07-01,12,249000.0,4.19,7,"glenn, ca",73.0,58.0,0,Jul-2017
2017-08-01,13,243750.0,4.3,8,"glenn, ca",69.0,67.0,0,Aug-2017
2017-09-01,14,269950.0,4.1,9,"glenn, ca",75.0,52.0,0,Sep-2017
2017-10-01,15,265000.0,4.05,10,"glenn, ca",71.0,61.0,0,Oct-2017
2017-11-01,16,279850.0,3.94,11,"glenn, ca",66.0,69.0,0,Nov-2017
2017-12-01,17,284500.0,4.03,12,"glenn, ca",59.0,85.0,0,Dec-2017
2018-01-01,18,280825.0,3.93,1,"glenn, ca",51.0,102.0,0,Jan-2018
2018-02-01,19,270125.0,3.83,2,"glenn, ca",61.0,52.0,0,Feb-2018
2018-03-01,20,279900.0,3.94,3,"glenn, ca",66.0,40.0,0,Mar-2018
2018-04-01,21,274000.0,3.95,4,"glenn, ca",67.0,50.0,0,Apr-2018
