date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,46200.0,3.72,7,"gove, ks",2.0,0,Jul-2016
2016-08-01,1,44350.0,3.73,8,"gove, ks",2.0,0,Aug-2016
2016-09-01,2,42500.0,3.66,9,"gove, ks",1.0,0,Sep-2016
2016-10-01,3,42500.0,3.64,10,"gove, ks",1.0,0,Oct-2016
2016-11-01,4,42500.0,3.66,11,"gove, ks",1.0,0,Nov-2016
2016-12-01,5,42500.0,3.48,12,"gove, ks",1.0,0,Dec-2016
2017-05-01,10,128500.0,4.32,5,"gove, ks",1.0,0,May-2017
2017-06-01,11,108000.0,4.2,6,"gove, ks",2.0,0,Jun-2017
2017-07-01,12,99000.0,4.19,7,"gove, ks",3.0,0,Jul-2017
2017-08-01,13,109000.0,4.3,8,"gove, ks",3.0,0,Aug-2017
2017-09-01,14,112500.0,4.1,9,"gove, ks",2.0,0,Sep-2017
2017-10-01,15,95000.0,4.05,10,"gove, ks",2.0,0,Oct-2017
2017-11-01,16,88750.0,3.94,11,"gove, ks",2.0,0,Nov-2017
2017-12-01,17,88750.0,4.03,12,"gove, ks",2.0,0,Dec-2017
2018-01-01,18,88750.0,3.93,1,"gove, ks",2.0,0,Jan-2018
2018-02-01,19,88750.0,3.83,2,"gove, ks",2.0,0,Feb-2018
2018-03-01,20,85000.0,3.94,3,"gove, ks",2.0,0,Mar-2018
2018-04-01,21,100000.0,3.95,4,"gove, ks",3.0,0,Apr-2018
2018-05-01,22,115000.0,3.99,5,"gove, ks",3.0,0,May-2018
2018-06-01,23,105000.0,4.15,6,"gove, ks",4.0,0,Jun-2018
2018-07-01,24,115000.0,4.4,7,"gove, ks",5.0,0,Jul-2018
2018-08-01,25,110000.0,4.46,8,"gove, ks",5.0,0,Aug-2018
2018-09-01,26,110000.0,4.58,9,"gove, ks",5.0,0,Sep-2018
2018-10-01,27,110000.0,4.66,10,"gove, ks",5.0,0,Oct-2018
2018-11-01,28,110000.0,4.62,11,"gove, ks",5.0,0,Nov-2018
2018-12-01,29,110000.0,4.54,12,"gove, ks",4.0,0,Dec-2018
2019-01-01,30,139000.0,4.6,1,"gove, ks",2.0,0,Jan-2019
2019-02-01,31,136500.0,4.72,2,"gove, ks",2.0,0,Feb-2019
2019-03-01,32,123000.0,4.9,3,"gove, ks",2.0,0,Mar-2019
2019-04-01,33,123000.0,4.94,4,"gove, ks",2.0,0,Apr-2019
2019-05-01,34,168000.0,4.75,5,"gove, ks",1.0,0,May-2019
2019-06-01,35,71500.0,4.51,6,"gove, ks",1.0,0,Jun-2019
2019-07-01,36,71500.0,4.41,7,"gove, ks",1.0,0,Jul-2019
2019-08-01,37,124702.0,4.41,8,"gove, ks",2.0,0,Aug-2019
2019-09-01,38,124702.0,4.2,9,"gove, ks",2.0,0,Sep-2019
2019-10-01,39,162000.0,4.14,10,"gove, ks",1.0,0,Oct-2019
2019-11-01,40,237000.0,3.84,11,"gove, ks",1.0,0,Nov-2019
2019-12-01,41,325000.0,3.81,12,"gove, ks",1.0,0,Dec-2019
2020-01-01,42,325000.0,3.75,1,"gove, ks",1.0,0,Jan-2020
2020-02-01,43,191500.0,3.73,2,"gove, ks",2.0,0,Feb-2020
2020-03-01,44,178950.0,3.78,3,"gove, ks",2.0,0,Mar-2020
2020-04-01,45,76100.0,3.75,4,"gove, ks",2.0,0,Apr-2020
2020-05-01,46,73200.0,3.74,5,"gove, ks",2.0,0,May-2020
2020-06-01,47,49500.0,3.72,6,"gove, ks",3.0,0,Jun-2020
2020-07-01,48,83500.0,3.49,7,"gove, ks",3.0,0,Jul-2020
2020-08-01,49,104750.0,3.65,8,"gove, ks",4.0,0,Aug-2020
2020-09-01,50,115750.0,3.33,9,"gove, ks",2.0,0,Sep-2020
2020-10-01,51,85000.0,3.28,10,"gove, ks",3.0,0,Oct-2020
2020-11-01,52,149500.0,3.21,11,"gove, ks",3.0,0,Nov-2020
2020-12-01,53,146125.0,3.07,12,"gove, ks",3.0,0,Dec-2020
2021-01-01,54,145000.0,2.99,1,"gove, ks",3.0,0,Jan-2021
2021-02-01,55,114375.0,2.93,2,"gove, ks",2.0,0,Feb-2021
2021-03-01,56,142500.0,2.88,3,"gove, ks",1.0,0,Mar-2021
2021-04-01,57,250000.0,2.84,4,"gove, ks",1.0,0,Apr-2021
2021-05-01,58,250000.0,2.71,5,"gove, ks",1.0,0,May-2021
2021-06-01,59,235000.0,2.79,6,"gove, ks",1.0,0,Jun-2021
2021-07-01,60,205000.0,2.97,7,"gove, ks",2.0,0,Jul-2021
2021-08-01,61,156750.0,3.17,8,"gove, ks",2.0,0,Aug-2021
2021-09-01,62,156750.0,3.18,9,"gove, ks",2.0,0,Sep-2021
2021-10-01,63,84200.0,3.0,10,"gove, ks",2.0,0,Oct-2021
2021-11-01,64,98500.0,3.02,11,"gove, ks",1.0,0,Nov-2021
2021-12-01,65,63400.0,2.98,12,"gove, ks",2.0,0,Dec-2021
2022-01-01,66,56900.0,2.87,1,"gove, ks",2.0,0,Jan-2022
2022-02-01,67,101950.0,3.01,2,"gove, ks",2.0,164368,Feb-2022
2022-03-01,68,47900.0,3.14,3,"gove, ks",1.0,193744,Mar-2022
2022-04-01,69,115000.0,3.1,4,"gove, ks",3.0,128194,Apr-2022
2022-05-01,70,81950.0,3.12,5,"gove, ks",2.0,168900,May-2022
2022-06-01,71,130000.0,3.56,6,"gove, ks",5.0,120177,Jun-2022
2022-07-01,72,130000.0,3.92,7,"gove, ks",5.0,115062,Jul-2022
2022-08-01,73,169500.0,4.67,8,"gove, ks",2.0,163166,Aug-2022
2022-09-01,74,128250.0,5.11,9,"gove, ks",2.0,164992,Sep-2022
2022-10-01,75,209000.0,5.3,10,"gove, ks",1.0,190234,Oct-2022
2022-11-01,76,214250.0,5.81,11,"gove, ks",3.0,130308,Nov-2022
2022-12-01,77,219500.0,5.54,12,"gove, ks",2.0,166653,Dec-2022
