date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,219000.0,3.72,7,"grafton, nh",1257.0,79.0,0,Jul-2016
2016-08-01,1,219000.0,3.73,8,"grafton, nh",1214.0,97.0,0,Aug-2016
2016-09-01,2,218500.0,3.66,9,"grafton, nh",1168.0,108.0,0,Sep-2016
2016-10-01,3,218000.0,3.64,10,"grafton, nh",1069.0,123.0,0,Oct-2016
2016-11-01,4,216000.0,3.66,11,"grafton, nh",978.0,131.0,0,Nov-2016
2016-12-01,5,205000.0,3.48,12,"grafton, nh",884.0,137.0,0,Dec-2016
2017-01-01,6,199900.0,3.45,1,"grafton, nh",794.0,128.0,0,Jan-2017
2017-02-01,7,199925.0,3.5,2,"grafton, nh",790.0,123.0,0,Feb-2017
2017-03-01,8,219450.0,3.52,3,"grafton, nh",785.0,109.0,0,Mar-2017
2017-04-01,9,224850.0,4.03,4,"grafton, nh",811.0,87.0,0,Apr-2017
2017-05-01,10,229425.0,4.32,5,"grafton, nh",894.0,70.0,0,May-2017
2017-06-01,11,229900.0,4.2,6,"grafton, nh",950.0,64.0,0,Jun-2017
2017-07-01,12,229900.0,4.19,7,"grafton, nh",976.0,74.0,0,Jul-2017
2017-08-01,13,228500.0,4.3,8,"grafton, nh",978.0,83.0,0,Aug-2017
2017-09-01,14,229900.0,4.1,9,"grafton, nh",1015.0,95.0,0,Sep-2017
2017-10-01,15,229450.0,4.05,10,"grafton, nh",943.0,103.0,0,Oct-2017
2017-11-01,16,225350.0,3.94,11,"grafton, nh",792.0,108.0,0,Nov-2017
2017-12-01,17,227000.0,4.03,12,"grafton, nh",660.0,112.0,0,Dec-2017
2018-01-01,18,221875.0,3.93,1,"grafton, nh",583.0,115.0,0,Jan-2018
2018-02-01,19,226450.0,3.83,2,"grafton, nh",583.0,119.0,0,Feb-2018
2018-03-01,20,237000.0,3.94,3,"grafton, nh",607.0,73.0,0,Mar-2018
2018-04-01,21,229900.0,3.95,4,"grafton, nh",639.0,62.0,0,Apr-2018
2018-05-01,22,236725.0,3.99,5,"grafton, nh",739.0,59.0,0,May-2018
2018-06-01,23,229900.0,4.15,6,"grafton, nh",783.0,58.0,0,Jun-2018
2018-07-01,24,235475.0,4.4,7,"grafton, nh",846.0,67.0,0,Jul-2018
2018-08-01,25,239000.0,4.46,8,"grafton, nh",854.0,79.0,0,Aug-2018
2018-09-01,26,238250.0,4.58,9,"grafton, nh",850.0,88.0,0,Sep-2018
2018-10-01,27,239000.0,4.66,10,"grafton, nh",830.0,99.0,0,Oct-2018
2018-11-01,28,239900.0,4.62,11,"grafton, nh",743.0,104.0,0,Nov-2018
2018-12-01,29,245000.0,4.54,12,"grafton, nh",644.0,110.0,0,Dec-2018
2019-01-01,30,239900.0,4.6,1,"grafton, nh",582.0,112.0,0,Jan-2019
2019-02-01,31,249900.0,4.72,2,"grafton, nh",582.0,108.0,0,Feb-2019
2019-03-01,32,254186.0,4.9,3,"grafton, nh",589.0,97.0,0,Mar-2019
2019-04-01,33,257736.0,4.94,4,"grafton, nh",589.0,85.0,0,Apr-2019
2019-05-01,34,259925.0,4.75,5,"grafton, nh",621.0,73.0,0,May-2019
2019-06-01,35,275000.0,4.51,6,"grafton, nh",694.0,58.0,0,Jun-2019
2019-07-01,36,268625.0,4.41,7,"grafton, nh",735.0,65.0,0,Jul-2019
2019-08-01,37,265973.0,4.41,8,"grafton, nh",739.0,73.0,0,Aug-2019
2019-09-01,38,262557.0,4.2,9,"grafton, nh",740.0,80.0,0,Sep-2019
2019-10-01,39,259900.0,4.14,10,"grafton, nh",719.0,87.0,0,Oct-2019
2019-11-01,40,258500.0,3.84,11,"grafton, nh",585.0,95.0,0,Nov-2019
2019-12-01,41,257225.0,3.81,12,"grafton, nh",508.0,112.0,0,Dec-2019
2020-01-01,42,249450.0,3.75,1,"grafton, nh",452.0,116.0,0,Jan-2020
2020-02-01,43,265000.0,3.73,2,"grafton, nh",431.0,123.0,0,Feb-2020
2020-03-01,44,269900.0,3.78,3,"grafton, nh",450.0,76.0,0,Mar-2020
2020-04-01,45,289450.0,3.75,4,"grafton, nh",446.0,80.0,0,Apr-2020
2020-05-01,46,291050.0,3.74,5,"grafton, nh",429.0,78.0,0,May-2020
2020-06-01,47,291500.0,3.72,6,"grafton, nh",398.0,72.0,0,Jun-2020
2020-07-01,48,280575.0,3.49,7,"grafton, nh",395.0,58.0,0,Jul-2020
2020-08-01,49,284200.0,3.65,8,"grafton, nh",358.0,52.0,0,Aug-2020
2020-09-01,50,260500.0,3.33,9,"grafton, nh",320.0,47.0,0,Sep-2020
2020-10-01,51,270450.0,3.28,10,"grafton, nh",320.0,54.0,0,Oct-2020
2020-11-01,52,276100.0,3.21,11,"grafton, nh",268.0,65.0,0,Nov-2020
2020-12-01,53,276050.0,3.07,12,"grafton, nh",233.0,78.0,0,Dec-2020
2021-01-01,54,281850.0,2.99,1,"grafton, nh",182.0,71.0,0,Jan-2021
2021-02-01,55,272975.0,2.93,2,"grafton, nh",169.0,62.0,0,Feb-2021
2021-03-01,56,284675.0,2.88,3,"grafton, nh",173.0,38.0,0,Mar-2021
2021-04-01,57,298400.0,2.84,4,"grafton, nh",175.0,31.0,0,Apr-2021
2021-05-01,58,299000.0,2.71,5,"grafton, nh",171.0,37.0,0,May-2021
2021-06-01,59,319675.0,2.79,6,"grafton, nh",226.0,32.0,0,Jun-2021
2021-07-01,60,325000.0,2.97,7,"grafton, nh",242.0,35.0,0,Jul-2021
2021-08-01,61,291500.0,3.17,8,"grafton, nh",251.0,42.0,0,Aug-2021
2021-09-01,62,318725.0,3.18,9,"grafton, nh",225.0,55.0,0,Sep-2021
2021-10-01,63,325000.0,3.0,10,"grafton, nh",180.0,67.0,0,Oct-2021
2021-11-01,64,324250.0,3.02,11,"grafton, nh",130.0,72.0,0,Nov-2021
2021-12-01,65,395500.0,2.98,12,"grafton, nh",97.0,75.0,0,Dec-2021
2022-01-01,66,385000.0,2.87,1,"grafton, nh",82.0,63.0,0,Jan-2022
2022-02-01,67,436975.0,3.01,2,"grafton, nh",79.0,27.0,0,Feb-2022
2022-03-01,68,449000.0,3.14,3,"grafton, nh",91.0,21.0,0,Mar-2022
