date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,135000.0,3.72,7,"grant, ks",37.0,106.0,0,Jul-2016
2016-08-01,1,140875.0,3.73,8,"grant, ks",35.0,98.0,0,Aug-2016
2016-09-01,2,170000.0,3.66,9,"grant, ks",32.0,103.0,0,Sep-2016
2016-10-01,3,175000.0,3.64,10,"grant, ks",33.0,108.0,0,Oct-2016
2016-11-01,4,176600.0,3.66,11,"grant, ks",31.0,102.0,0,Nov-2016
2016-12-01,5,177300.0,3.48,12,"grant, ks",31.0,108.0,0,Dec-2016
2017-01-01,6,177900.0,3.45,1,"grant, ks",28.0,134.0,0,Jan-2017
2017-02-01,7,173125.0,3.5,2,"grant, ks",28.0,141.0,0,Feb-2017
2017-03-01,8,137250.0,3.52,3,"grant, ks",27.0,142.0,0,Mar-2017
2017-04-01,9,125000.0,4.03,4,"grant, ks",32.0,77.0,0,Apr-2017
2017-05-01,10,135000.0,4.32,5,"grant, ks",36.0,68.0,0,May-2017
2017-06-01,11,136750.0,4.2,6,"grant, ks",34.0,72.0,0,Jun-2017
2017-07-01,12,136000.0,4.19,7,"grant, ks",35.0,87.0,0,Jul-2017
2017-08-01,13,134750.0,4.3,8,"grant, ks",40.0,91.0,0,Aug-2017
2017-09-01,14,131750.0,4.1,9,"grant, ks",38.0,88.0,0,Sep-2017
2017-10-01,15,129000.0,4.05,10,"grant, ks",36.0,112.0,0,Oct-2017
2017-11-01,16,133750.0,3.94,11,"grant, ks",30.0,124.0,0,Nov-2017
2017-12-01,17,125000.0,4.03,12,"grant, ks",32.0,144.0,0,Dec-2017
2018-01-01,18,125000.0,3.93,1,"grant, ks",33.0,70.0,0,Jan-2018
2018-02-01,19,133000.0,3.83,2,"grant, ks",30.0,58.0,0,Feb-2018
2018-03-01,20,137000.0,3.94,3,"grant, ks",35.0,71.0,0,Mar-2018
2018-04-01,21,147125.0,3.95,4,"grant, ks",37.0,67.0,0,Apr-2018
2018-05-01,22,157000.0,3.99,5,"grant, ks",36.0,86.0,0,May-2018
2018-06-01,23,156000.0,4.15,6,"grant, ks",35.0,98.0,0,Jun-2018
2018-07-01,24,143725.0,4.4,7,"grant, ks",35.0,85.0,0,Jul-2018
2018-08-01,25,148250.0,4.46,8,"grant, ks",33.0,91.0,0,Aug-2018
2018-09-01,26,149000.0,4.58,9,"grant, ks",28.0,80.0,0,Sep-2018
2018-10-01,27,147250.0,4.66,10,"grant, ks",28.0,111.0,0,Oct-2018
2018-11-01,28,137500.0,4.62,11,"grant, ks",31.0,125.0,0,Nov-2018
2018-12-01,29,140000.0,4.54,12,"grant, ks",30.0,122.0,0,Dec-2018
2019-01-01,30,139225.0,4.6,1,"grant, ks",27.0,101.0,0,Jan-2019
2019-02-01,31,138450.0,4.72,2,"grant, ks",26.0,120.0,0,Feb-2019
2019-03-01,32,143586.0,4.9,3,"grant, ks",30.0,97.0,0,Mar-2019
2019-04-01,33,154250.0,4.94,4,"grant, ks",27.0,78.0,0,Apr-2019
2019-05-01,34,161500.0,4.75,5,"grant, ks",29.0,85.0,0,May-2019
2019-06-01,35,159000.0,4.51,6,"grant, ks",26.0,84.0,0,Jun-2019
2019-07-01,36,161500.0,4.41,7,"grant, ks",25.0,92.0,0,Jul-2019
2019-08-01,37,162568.0,4.41,8,"grant, ks",26.0,88.0,0,Aug-2019
2019-09-01,38,160420.0,4.2,9,"grant, ks",27.0,81.0,0,Sep-2019
2019-10-01,39,158989.0,4.14,10,"grant, ks",28.0,76.0,0,Oct-2019
2019-11-01,40,166750.0,3.84,11,"grant, ks",27.0,67.0,0,Nov-2019
2019-12-01,41,161500.0,3.81,12,"grant, ks",28.0,91.0,0,Dec-2019
2020-01-01,42,161500.0,3.75,1,"grant, ks",27.0,95.0,0,Jan-2020
2020-02-01,43,159000.0,3.73,2,"grant, ks",24.0,106.0,0,Feb-2020
