date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,119500.0,3.72,7,"hansford, tx",4.0,60.0,0,Jul-2016
2016-08-01,1,115450.0,3.73,8,"hansford, tx",4.0,91.0,0,Aug-2016
2016-09-01,2,117675.0,3.66,9,"hansford, tx",3.0,109.0,0,Sep-2016
2016-10-01,3,129900.0,3.64,10,"hansford, tx",1.0,121.0,0,Oct-2016
2016-11-01,4,230000.0,3.66,11,"hansford, tx",2.0,7.0,0,Nov-2016
2016-12-01,5,126400.0,3.48,12,"hansford, tx",3.0,31.0,0,Dec-2016
2017-01-01,6,118350.0,3.45,1,"hansford, tx",5.0,48.0,0,Jan-2017
2017-02-01,7,114000.0,3.5,2,"hansford, tx",6.0,52.0,0,Feb-2017
2017-03-01,8,112975.0,3.52,3,"hansford, tx",6.0,63.0,0,Mar-2017
2017-04-01,9,129250.0,4.03,4,"hansford, tx",8.0,59.0,0,Apr-2017
2017-05-01,10,167250.0,4.32,5,"hansford, tx",9.0,67.0,0,May-2017
2017-06-01,11,175750.0,4.2,6,"hansford, tx",9.0,52.0,0,Jun-2017
2017-07-01,12,159000.0,4.19,7,"hansford, tx",11.0,72.0,0,Jul-2017
2017-08-01,13,159000.0,4.3,8,"hansford, tx",11.0,104.0,0,Aug-2017
2017-09-01,14,161500.0,4.1,9,"hansford, tx",10.0,108.0,0,Sep-2017
2017-10-01,15,159500.0,4.05,10,"hansford, tx",10.0,130.0,0,Oct-2017
2017-11-01,16,159500.0,3.94,11,"hansford, tx",10.0,156.0,0,Nov-2017
2017-12-01,17,135000.0,4.03,12,"hansford, tx",9.0,174.0,0,Dec-2017
2018-01-01,18,135000.0,3.93,1,"hansford, tx",10.0,193.0,0,Jan-2018
2018-02-01,19,157500.0,3.83,2,"hansford, tx",10.0,216.0,0,Feb-2018
2018-03-01,20,157500.0,3.94,3,"hansford, tx",8.0,247.0,0,Mar-2018
2018-04-01,21,157500.0,3.95,4,"hansford, tx",8.0,79.0,0,Apr-2018
2018-05-01,22,143750.0,3.99,5,"hansford, tx",9.0,56.0,0,May-2018
2018-06-01,23,125000.0,4.15,6,"hansford, tx",9.0,69.0,0,Jun-2018
2018-07-01,24,125000.0,4.4,7,"hansford, tx",9.0,87.0,0,Jul-2018
2018-08-01,25,133950.0,4.46,8,"hansford, tx",8.0,77.0,0,Aug-2018
2018-09-01,26,125000.0,4.58,9,"hansford, tx",9.0,40.0,0,Sep-2018
2018-10-01,27,121975.0,4.66,10,"hansford, tx",11.0,44.0,0,Oct-2018
2018-11-01,28,135925.0,4.62,11,"hansford, tx",11.0,68.0,0,Nov-2018
2018-12-01,29,142900.0,4.54,12,"hansford, tx",11.0,98.0,0,Dec-2018
2019-01-01,30,118500.0,4.6,1,"hansford, tx",9.0,132.0,0,Jan-2019
2019-02-01,31,116750.0,4.72,2,"hansford, tx",10.0,128.0,0,Feb-2019
2019-03-01,32,126243.0,4.9,3,"hansford, tx",9.0,100.0,0,Mar-2019
2019-04-01,33,137318.0,4.94,4,"hansford, tx",9.0,63.0,0,Apr-2019
2019-05-01,34,130975.0,4.75,5,"hansford, tx",11.0,64.0,0,May-2019
2019-06-01,35,136950.0,4.51,6,"hansford, tx",11.0,52.0,0,Jun-2019
2019-07-01,36,131475.0,4.41,7,"hansford, tx",15.0,55.0,0,Jul-2019
2019-08-01,37,125100.0,4.41,8,"hansford, tx",15.0,65.0,0,Aug-2019
2019-09-01,38,119250.0,4.2,9,"hansford, tx",14.0,86.0,0,Sep-2019
2019-10-01,39,115350.0,4.14,10,"hansford, tx",14.0,107.0,0,Oct-2019
2019-11-01,40,110500.0,3.84,11,"hansford, tx",15.0,129.0,0,Nov-2019
2019-12-01,41,108500.0,3.81,12,"hansford, tx",16.0,136.0,0,Dec-2019
2020-01-01,42,116250.0,3.75,1,"hansford, tx",15.0,77.0,0,Jan-2020
2020-02-01,43,119000.0,3.73,2,"hansford, tx",13.0,100.0,0,Feb-2020
2020-03-01,44,147725.0,3.78,3,"hansford, tx",12.0,123.0,0,Mar-2020
2020-04-01,45,150450.0,3.75,4,"hansford, tx",12.0,135.0,0,Apr-2020
2020-05-01,46,151950.0,3.74,5,"hansford, tx",10.0,141.0,0,May-2020
2020-06-01,47,171675.0,3.72,6,"hansford, tx",9.0,159.0,0,Jun-2020
2020-07-01,48,155900.0,3.49,7,"hansford, tx",9.0,170.0,0,Jul-2020
2020-08-01,49,152000.0,3.65,8,"hansford, tx",10.0,137.0,0,Aug-2020
2020-09-01,50,162450.0,3.33,9,"hansford, tx",10.0,87.0,0,Sep-2020
2020-10-01,51,153000.0,3.28,10,"hansford, tx",9.0,98.0,0,Oct-2020
2020-11-01,52,145000.0,3.21,11,"hansford, tx",9.0,123.0,0,Nov-2020
2020-12-01,53,145000.0,3.07,12,"hansford, tx",11.0,137.0,0,Dec-2020
2021-01-01,54,145000.0,2.99,1,"hansford, tx",9.0,19.0,0,Jan-2021
2021-02-01,55,128000.0,2.93,2,"hansford, tx",5.0,44.0,0,Feb-2021
2021-03-01,56,128000.0,2.88,3,"hansford, tx",5.0,72.0,0,Mar-2021
2021-04-01,57,135225.0,2.84,4,"hansford, tx",5.0,100.0,0,Apr-2021
2021-05-01,58,79900.0,2.71,5,"hansford, tx",5.0,131.0,0,May-2021
2021-06-01,59,174250.0,2.79,6,"hansford, tx",4.0,90.0,0,Jun-2021
2021-07-01,60,174000.0,2.97,7,"hansford, tx",7.0,38.0,0,Jul-2021
2021-08-01,61,162750.0,3.17,8,"hansford, tx",6.0,47.0,0,Aug-2021
2021-09-01,62,146500.0,3.18,9,"hansford, tx",8.0,75.0,0,Sep-2021
2021-10-01,63,161500.0,3.0,10,"hansford, tx",8.0,92.0,0,Oct-2021
2021-11-01,64,176000.0,3.02,11,"hansford, tx",7.0,77.0,0,Nov-2021
2021-12-01,65,181750.0,2.98,12,"hansford, tx",6.0,105.0,0,Dec-2021
2022-01-01,66,161500.0,2.87,1,"hansford, tx",6.0,96.0,0,Jan-2022
2022-02-01,67,146125.0,3.01,2,"hansford, tx",6.0,71.0,0,Feb-2022
2022-03-01,68,193250.0,3.14,3,"hansford, tx",4.0,62.0,0,Mar-2022
2022-04-01,69,418250.0,3.1,4,"hansford, tx",2.0,265.0,0,Apr-2022
2022-05-01,70,434125.0,3.12,5,"hansford, tx",2.0,11.0,0,May-2022
2022-06-01,71,374125.0,3.56,6,"hansford, tx",4.0,26.0,0,Jun-2022
2022-07-01,72,161500.0,3.92,7,"hansford, tx",4.0,18.0,0,Jul-2022
2022-08-01,73,161500.0,4.67,8,"hansford, tx",3.0,35.0,0,Aug-2022
2022-09-01,74,289875.0,5.11,9,"hansford, tx",2.0,63.0,189756,Sep-2022
2022-10-01,75,418250.0,5.3,10,"hansford, tx",2.0,94.0,163014,Oct-2022
2022-11-01,76,161500.0,5.81,11,"hansford, tx",3.0,126.0,138824,Nov-2022
2022-12-01,77,161500.0,5.54,12,"hansford, tx",3.0,143.0,161130,Dec-2022
2023-01-01,78,210000.0,5.55,1,"hansford, tx",6.0,29.0,149956,Jan-2023
2023-02-01,79,148000.0,6.7,2,"hansford, tx",7.0,42.0,129404,Feb-2023
2023-03-01,80,141500.0,7.08,3,"hansford, tx",8.0,66.0,130941,Mar-2023
2023-04-01,81,142000.0,7.08,4,"hansford, tx",7.0,100.0,119020,Apr-2023
2023-05-01,82,151500.0,6.49,5,"hansford, tx",3.0,73.0,155905,May-2023
2023-06-01,83,184750.0,6.48,6,"hansford, tx",5.0,26.0,145232,Jun-2023
2023-07-01,84,168200.0,6.5,7,"hansford, tx",6.0,35.0,137709,Jul-2023
