date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,169450.0,3.72,7,"harrison, in",123.0,50.0,0,Jul-2016
2016-08-01,1,169900.0,3.73,8,"harrison, in",120.0,45.0,0,Aug-2016
2016-09-01,2,154900.0,3.66,9,"harrison, in",140.0,42.0,0,Sep-2016
2016-10-01,3,159900.0,3.64,10,"harrison, in",138.0,53.0,0,Oct-2016
2016-11-01,4,165400.0,3.66,11,"harrison, in",139.0,61.0,0,Nov-2016
2016-12-01,5,159900.0,3.48,12,"harrison, in",130.0,67.0,0,Dec-2016
2017-01-01,6,162425.0,3.45,1,"harrison, in",123.0,66.0,0,Jan-2017
2017-02-01,7,166950.0,3.5,2,"harrison, in",122.0,52.0,0,Feb-2017
2017-03-01,8,149900.0,3.52,3,"harrison, in",127.0,47.0,0,Mar-2017
2017-04-01,9,163900.0,4.03,4,"harrison, in",123.0,60.0,0,Apr-2017
2017-05-01,10,169750.0,4.32,5,"harrison, in",124.0,57.0,0,May-2017
2017-06-01,11,186675.0,4.2,6,"harrison, in",126.0,53.0,0,Jun-2017
2017-07-01,12,179900.0,4.19,7,"harrison, in",135.0,57.0,0,Jul-2017
2017-08-01,13,183725.0,4.3,8,"harrison, in",132.0,48.0,0,Aug-2017
2017-09-01,14,175000.0,4.1,9,"harrison, in",134.0,48.0,0,Sep-2017
2017-10-01,15,176300.0,4.05,10,"harrison, in",138.0,59.0,0,Oct-2017
2017-11-01,16,167400.0,3.94,11,"harrison, in",125.0,62.0,0,Nov-2017
2017-12-01,17,164800.0,4.03,12,"harrison, in",104.0,73.0,0,Dec-2017
2018-01-01,18,167400.0,3.93,1,"harrison, in",85.0,73.0,0,Jan-2018
2018-02-01,19,159900.0,3.83,2,"harrison, in",78.0,59.0,0,Feb-2018
2018-03-01,20,185700.0,3.94,3,"harrison, in",73.0,37.0,0,Mar-2018
2018-04-01,21,187400.0,3.95,4,"harrison, in",74.0,40.0,0,Apr-2018
2018-05-01,22,192425.0,3.99,5,"harrison, in",87.0,32.0,0,May-2018
2018-06-01,23,199900.0,4.15,6,"harrison, in",99.0,45.0,0,Jun-2018
2018-07-01,24,174575.0,4.4,7,"harrison, in",100.0,36.0,0,Jul-2018
2018-08-01,25,169800.0,4.46,8,"harrison, in",108.0,42.0,0,Aug-2018
2018-09-01,26,179900.0,4.58,9,"harrison, in",119.0,50.0,0,Sep-2018
2018-10-01,27,192000.0,4.66,10,"harrison, in",122.0,51.0,0,Oct-2018
2018-11-01,28,195300.0,4.62,11,"harrison, in",121.0,53.0,0,Nov-2018
2018-12-01,29,174950.0,4.54,12,"harrison, in",134.0,50.0,0,Dec-2018
2019-01-01,30,199925.0,4.6,1,"harrison, in",118.0,65.0,0,Jan-2019
2019-02-01,31,208675.0,4.72,2,"harrison, in",104.0,81.0,0,Feb-2019
2019-03-01,32,207350.0,4.9,3,"harrison, in",95.0,73.0,0,Mar-2019
2019-04-01,33,201925.0,4.94,4,"harrison, in",96.0,51.0,0,Apr-2019
2019-05-01,34,174950.0,4.75,5,"harrison, in",99.0,39.0,0,May-2019
2019-06-01,35,217200.0,4.51,6,"harrison, in",97.0,38.0,0,Jun-2019
2019-07-01,36,215675.0,4.41,7,"harrison, in",104.0,44.0,0,Jul-2019
2019-08-01,37,203027.0,4.41,8,"harrison, in",109.0,51.0,0,Aug-2019
2019-09-01,38,184393.0,4.2,9,"harrison, in",116.0,53.0,0,Sep-2019
2019-10-01,39,169900.0,4.14,10,"harrison, in",121.0,55.0,0,Oct-2019
2019-11-01,40,154950.0,3.84,11,"harrison, in",118.0,53.0,0,Nov-2019
2019-12-01,41,159950.0,3.81,12,"harrison, in",106.0,64.0,0,Dec-2019
2020-01-01,42,157450.0,3.75,1,"harrison, in",106.0,78.0,0,Jan-2020
2020-02-01,43,159900.0,3.73,2,"harrison, in",89.0,81.0,0,Feb-2020
2020-03-01,44,177300.0,3.78,3,"harrison, in",76.0,41.0,0,Mar-2020
2020-04-01,45,191200.0,3.75,4,"harrison, in",65.0,57.0,0,Apr-2020
2020-05-01,46,216950.0,3.74,5,"harrison, in",53.0,34.0,0,May-2020
2020-06-01,47,195600.0,3.72,6,"harrison, in",45.0,31.0,0,Jun-2020
2020-07-01,48,194750.0,3.49,7,"harrison, in",40.0,26.0,0,Jul-2020
2020-08-01,49,197400.0,3.65,8,"harrison, in",40.0,23.0,0,Aug-2020
2020-09-01,50,198675.0,3.33,9,"harrison, in",37.0,25.0,0,Sep-2020
2020-10-01,51,172500.0,3.28,10,"harrison, in",35.0,23.0,0,Oct-2020
2020-11-01,52,158650.0,3.21,11,"harrison, in",40.0,32.0,0,Nov-2020
2020-12-01,53,166100.0,3.07,12,"harrison, in",35.0,44.0,0,Dec-2020
2021-01-01,54,164000.0,2.99,1,"harrison, in",23.0,45.0,0,Jan-2021
2021-02-01,55,207614.0,2.93,2,"harrison, in",15.0,32.0,0,Feb-2021
2021-03-01,56,193700.0,2.88,3,"harrison, in",13.0,9.0,0,Mar-2021
2021-04-01,57,204950.0,2.84,4,"harrison, in",17.0,9.0,0,Apr-2021
2021-05-01,58,235900.0,2.71,5,"harrison, in",27.0,15.0,0,May-2021
2021-06-01,59,261400.0,2.79,6,"harrison, in",40.0,21.0,0,Jun-2021
2021-07-01,60,269900.0,2.97,7,"harrison, in",36.0,29.0,0,Jul-2021
2021-08-01,61,264900.0,3.17,8,"harrison, in",40.0,30.0,0,Aug-2021
2021-09-01,62,259900.0,3.18,9,"harrison, in",38.0,24.0,0,Sep-2021
2021-10-01,63,242400.0,3.0,10,"harrison, in",47.0,22.0,0,Oct-2021
2021-11-01,64,234675.0,3.02,11,"harrison, in",44.0,36.0,0,Nov-2021
2021-12-01,65,215000.0,2.98,12,"harrison, in",36.0,45.0,0,Dec-2021
2022-01-01,66,200000.0,2.87,1,"harrison, in",32.0,47.0,0,Jan-2022
2022-02-01,67,213675.0,3.01,2,"harrison, in",29.0,18.0,0,Feb-2022
2022-03-01,68,227500.0,3.14,3,"harrison, in",30.0,24.0,0,Mar-2022
