date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,157000.0,3.72,7,"harrison, wv",298.0,73.0,0,Jul-2016
2016-08-01,1,143375.0,3.73,8,"harrison, wv",295.0,74.0,0,Aug-2016
2016-09-01,2,139450.0,3.66,9,"harrison, wv",299.0,71.0,0,Sep-2016
2016-10-01,3,137540.0,3.64,10,"harrison, wv",297.0,79.0,0,Oct-2016
2016-11-01,4,136250.0,3.66,11,"harrison, wv",297.0,81.0,0,Nov-2016
2016-12-01,5,129900.0,3.48,12,"harrison, wv",270.0,88.0,0,Dec-2016
2017-01-01,6,139000.0,3.45,1,"harrison, wv",241.0,101.0,0,Jan-2017
2017-02-01,7,139000.0,3.5,2,"harrison, wv",244.0,110.0,0,Feb-2017
2017-03-01,8,136000.0,3.52,3,"harrison, wv",250.0,108.0,0,Mar-2017
2017-04-01,9,129900.0,4.03,4,"harrison, wv",263.0,83.0,0,Apr-2017
2017-05-01,10,134150.0,4.32,5,"harrison, wv",276.0,66.0,0,May-2017
2017-06-01,11,134150.0,4.2,6,"harrison, wv",285.0,66.0,0,Jun-2017
2017-07-01,12,139900.0,4.19,7,"harrison, wv",294.0,67.0,0,Jul-2017
2017-08-01,13,138500.0,4.3,8,"harrison, wv",315.0,65.0,0,Aug-2017
2017-09-01,14,139900.0,4.1,9,"harrison, wv",326.0,64.0,0,Sep-2017
2017-10-01,15,141850.0,4.05,10,"harrison, wv",316.0,71.0,0,Oct-2017
2017-11-01,16,136750.0,3.94,11,"harrison, wv",300.0,87.0,0,Nov-2017
2017-12-01,17,134950.0,4.03,12,"harrison, wv",265.0,95.0,0,Dec-2017
2018-01-01,18,137750.0,3.93,1,"harrison, wv",236.0,106.0,0,Jan-2018
2018-02-01,19,144750.0,3.83,2,"harrison, wv",219.0,105.0,0,Feb-2018
2018-03-01,20,159000.0,3.94,3,"harrison, wv",194.0,100.0,0,Mar-2018
2018-04-01,21,159450.0,3.95,4,"harrison, wv",199.0,76.0,0,Apr-2018
2018-05-01,22,159000.0,3.99,5,"harrison, wv",193.0,86.0,0,May-2018
2018-06-01,23,164900.0,4.15,6,"harrison, wv",195.0,86.0,0,Jun-2018
2018-07-01,24,173950.0,4.4,7,"harrison, wv",207.0,87.0,0,Jul-2018
2018-08-01,25,169675.0,4.46,8,"harrison, wv",212.0,73.0,0,Aug-2018
2018-09-01,26,175388.0,4.58,9,"harrison, wv",223.0,59.0,0,Sep-2018
2018-10-01,27,179950.0,4.66,10,"harrison, wv",238.0,58.0,0,Oct-2018
2018-11-01,28,178675.0,4.62,11,"harrison, wv",227.0,63.0,0,Nov-2018
2018-12-01,29,177450.0,4.54,12,"harrison, wv",223.0,78.0,0,Dec-2018
2019-01-01,30,182975.0,4.6,1,"harrison, wv",209.0,95.0,0,Jan-2019
2019-02-01,31,189225.0,4.72,2,"harrison, wv",192.0,109.0,0,Feb-2019
2019-03-01,32,174186.0,4.9,3,"harrison, wv",194.0,96.0,0,Mar-2019
2019-04-01,33,159925.0,4.94,4,"harrison, wv",201.0,81.0,0,Apr-2019
2019-05-01,34,159900.0,4.75,5,"harrison, wv",213.0,67.0,0,May-2019
2019-06-01,35,162700.0,4.51,6,"harrison, wv",208.0,68.0,0,Jun-2019
2019-07-01,36,172675.0,4.41,7,"harrison, wv",218.0,71.0,0,Jul-2019
2019-08-01,37,165836.0,4.41,8,"harrison, wv",215.0,73.0,0,Aug-2019
2019-09-01,38,159741.0,4.2,9,"harrison, wv",210.0,72.0,0,Sep-2019
2019-10-01,39,155677.0,4.14,10,"harrison, wv",207.0,72.0,0,Oct-2019
2019-11-01,40,154400.0,3.84,11,"harrison, wv",203.0,74.0,0,Nov-2019
2019-12-01,41,132450.0,3.81,12,"harrison, wv",178.0,92.0,0,Dec-2019
2020-01-01,42,121250.0,3.75,1,"harrison, wv",166.0,92.0,0,Jan-2020
2020-02-01,43,129900.0,3.73,2,"harrison, wv",159.0,85.0,0,Feb-2020
2020-03-01,44,140900.0,3.78,3,"harrison, wv",153.0,69.0,0,Mar-2020
2020-04-01,45,148450.0,3.75,4,"harrison, wv",148.0,80.0,0,Apr-2020
2020-05-01,46,157450.0,3.74,5,"harrison, wv",151.0,76.0,0,May-2020
2020-06-01,47,137200.0,3.72,6,"harrison, wv",137.0,81.0,0,Jun-2020
2020-07-01,48,147700.0,3.49,7,"harrison, wv",133.0,70.0,0,Jul-2020
2020-08-01,49,158000.0,3.65,8,"harrison, wv",140.0,48.0,0,Aug-2020
2020-09-01,50,162000.0,3.33,9,"harrison, wv",146.0,54.0,0,Sep-2020
