date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,149900.0,3.72,7,"hawkins, tn",394.0,80.0,0,Jul-2016
2016-08-01,1,149900.0,3.73,8,"hawkins, tn",395.0,86.0,0,Aug-2016
2016-09-01,2,149900.0,3.66,9,"hawkins, tn",403.0,96.0,0,Sep-2016
2016-10-01,3,150000.0,3.64,10,"hawkins, tn",376.0,108.0,0,Oct-2016
2016-11-01,4,149900.0,3.66,11,"hawkins, tn",375.0,111.0,0,Nov-2016
2016-12-01,5,149900.0,3.48,12,"hawkins, tn",346.0,117.0,0,Dec-2016
2017-01-01,6,148625.0,3.45,1,"hawkins, tn",312.0,130.0,0,Jan-2017
2017-02-01,7,149600.0,3.5,2,"hawkins, tn",304.0,130.0,0,Feb-2017
2017-03-01,8,155225.0,3.52,3,"hawkins, tn",283.0,115.0,0,Mar-2017
2017-04-01,9,159450.0,4.03,4,"hawkins, tn",277.0,79.0,0,Apr-2017
2017-05-01,10,154975.0,4.32,5,"hawkins, tn",281.0,65.0,0,May-2017
2017-06-01,11,152450.0,4.2,6,"hawkins, tn",292.0,63.0,0,Jun-2017
2017-07-01,12,155950.0,4.19,7,"hawkins, tn",305.0,73.0,0,Jul-2017
2017-08-01,13,159675.0,4.3,8,"hawkins, tn",323.0,73.0,0,Aug-2017
2017-09-01,14,155000.0,4.1,9,"hawkins, tn",329.0,68.0,0,Sep-2017
2017-10-01,15,157250.0,4.05,10,"hawkins, tn",317.0,78.0,0,Oct-2017
2017-11-01,16,158700.0,3.94,11,"hawkins, tn",302.0,89.0,0,Nov-2017
2017-12-01,17,150000.0,4.03,12,"hawkins, tn",284.0,101.0,0,Dec-2017
2018-01-01,18,149125.0,3.93,1,"hawkins, tn",268.0,111.0,0,Jan-2018
2018-02-01,19,139925.0,3.83,2,"hawkins, tn",267.0,101.0,0,Feb-2018
2018-03-01,20,146000.0,3.94,3,"hawkins, tn",260.0,104.0,0,Mar-2018
2018-04-01,21,144725.0,3.95,4,"hawkins, tn",250.0,85.0,0,Apr-2018
2018-05-01,22,142825.0,3.99,5,"hawkins, tn",260.0,71.0,0,May-2018
2018-06-01,23,142500.0,4.15,6,"hawkins, tn",286.0,57.0,0,Jun-2018
2018-07-01,24,149900.0,4.4,7,"hawkins, tn",305.0,65.0,0,Jul-2018
2018-08-01,25,148900.0,4.46,8,"hawkins, tn",310.0,69.0,0,Aug-2018
2018-09-01,26,147500.0,4.58,9,"hawkins, tn",320.0,78.0,0,Sep-2018
2018-10-01,27,147900.0,4.66,10,"hawkins, tn",308.0,89.0,0,Oct-2018
2018-11-01,28,149975.0,4.62,11,"hawkins, tn",313.0,93.0,0,Nov-2018
2018-12-01,29,150000.0,4.54,12,"hawkins, tn",289.0,117.0,0,Dec-2018
2019-01-01,30,149900.0,4.6,1,"hawkins, tn",259.0,126.0,0,Jan-2019
2019-02-01,31,149900.0,4.72,2,"hawkins, tn",250.0,120.0,0,Feb-2019
2019-03-01,32,160529.0,4.9,3,"hawkins, tn",231.0,97.0,0,Mar-2019
2019-04-01,33,172700.0,4.94,4,"hawkins, tn",209.0,70.0,0,Apr-2019
2019-05-01,34,172450.0,4.75,5,"hawkins, tn",216.0,57.0,0,May-2019
2019-06-01,35,176500.0,4.51,6,"hawkins, tn",223.0,64.0,0,Jun-2019
2019-07-01,36,182220.0,4.41,7,"hawkins, tn",231.0,66.0,0,Jul-2019
2019-08-01,37,193177.0,4.41,8,"hawkins, tn",231.0,67.0,0,Aug-2019
2019-09-01,38,195018.0,4.2,9,"hawkins, tn",228.0,64.0,0,Sep-2019
2019-10-01,39,195520.0,4.14,10,"hawkins, tn",227.0,62.0,0,Oct-2019
2019-11-01,40,186250.0,3.84,11,"hawkins, tn",229.0,64.0,0,Nov-2019
2019-12-01,41,188200.0,3.81,12,"hawkins, tn",211.0,80.0,0,Dec-2019
2020-01-01,42,189650.0,3.75,1,"hawkins, tn",179.0,99.0,0,Jan-2020
2020-02-01,43,197000.0,3.73,2,"hawkins, tn",163.0,101.0,0,Feb-2020
2020-03-01,44,199925.0,3.78,3,"hawkins, tn",148.0,77.0,0,Mar-2020
2020-04-01,45,198250.0,3.75,4,"hawkins, tn",148.0,64.0,0,Apr-2020
2020-05-01,46,219250.0,3.74,5,"hawkins, tn",128.0,77.0,0,May-2020
2020-06-01,47,216312.0,3.72,6,"hawkins, tn",125.0,83.0,0,Jun-2020
2020-07-01,48,233800.0,3.49,7,"hawkins, tn",110.0,85.0,0,Jul-2020
2020-08-01,49,239960.0,3.65,8,"hawkins, tn",105.0,54.0,0,Aug-2020
2020-09-01,50,239990.0,3.33,9,"hawkins, tn",90.0,47.0,0,Sep-2020
2020-10-01,51,232900.0,3.28,10,"hawkins, tn",83.0,44.0,0,Oct-2020
2020-11-01,52,229900.0,3.21,11,"hawkins, tn",76.0,41.0,0,Nov-2020
2020-12-01,53,212925.0,3.07,12,"hawkins, tn",68.0,46.0,0,Dec-2020
2021-01-01,54,199900.0,2.99,1,"hawkins, tn",60.0,61.0,0,Jan-2021
2021-02-01,55,225000.0,2.93,2,"hawkins, tn",51.0,76.0,0,Feb-2021
2021-03-01,56,254450.0,2.88,3,"hawkins, tn",48.0,34.0,0,Mar-2021
2021-04-01,57,237225.0,2.84,4,"hawkins, tn",54.0,23.0,0,Apr-2021
2021-05-01,58,247450.0,2.71,5,"hawkins, tn",56.0,30.0,0,May-2021
2021-06-01,59,242200.0,2.79,6,"hawkins, tn",72.0,26.0,0,Jun-2021
2021-07-01,60,237500.0,2.97,7,"hawkins, tn",81.0,35.0,0,Jul-2021
2021-08-01,61,275000.0,3.17,8,"hawkins, tn",91.0,41.0,0,Aug-2021
2021-09-01,62,244900.0,3.18,9,"hawkins, tn",93.0,46.0,0,Sep-2021
2021-10-01,63,283700.0,3.0,10,"hawkins, tn",85.0,53.0,0,Oct-2021
2021-11-01,64,269650.0,3.02,11,"hawkins, tn",73.0,62.0,0,Nov-2021
2021-12-01,65,282250.0,2.98,12,"hawkins, tn",54.0,48.0,0,Dec-2021
2022-01-01,66,269000.0,2.87,1,"hawkins, tn",45.0,54.0,0,Jan-2022
2022-02-01,67,266500.0,3.01,2,"hawkins, tn",44.0,41.0,0,Feb-2022
2022-03-01,68,269000.0,3.14,3,"hawkins, tn",36.0,57.0,0,Mar-2022
2022-04-01,69,279900.0,3.1,4,"hawkins, tn",46.0,18.0,0,Apr-2022
2022-05-01,70,277675.0,3.12,5,"hawkins, tn",55.0,26.0,0,May-2022
2022-06-01,71,284700.0,3.56,6,"hawkins, tn",72.0,26.0,0,Jun-2022
2022-07-01,72,298748.0,3.92,7,"hawkins, tn",73.0,36.0,0,Jul-2022
2022-08-01,73,322475.0,4.67,8,"hawkins, tn",79.0,39.0,0,Aug-2022
2022-09-01,74,344200.0,5.11,9,"hawkins, tn",83.0,41.0,336770,Sep-2022
2022-10-01,75,325000.0,5.3,10,"hawkins, tn",95.0,47.0,338711,Oct-2022
2022-11-01,76,286750.0,5.81,11,"hawkins, tn",108.0,45.0,341389,Nov-2022
