date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,349000.0,3.72,7,"henderson, nc",714.0,59.0,0,Jul-2016
2016-08-01,1,348000.0,3.73,8,"henderson, nc",741.0,66.0,0,Aug-2016
2016-09-01,2,349575.0,3.66,9,"henderson, nc",736.0,73.0,0,Sep-2016
2016-10-01,3,349900.0,3.64,10,"henderson, nc",743.0,76.0,0,Oct-2016
2016-11-01,4,349925.0,3.66,11,"henderson, nc",692.0,85.0,0,Nov-2016
2016-12-01,5,349900.0,3.48,12,"henderson, nc",605.0,92.0,0,Dec-2016
2017-01-01,6,359900.0,3.45,1,"henderson, nc",537.0,103.0,0,Jan-2017
2017-02-01,7,389000.0,3.5,2,"henderson, nc",514.0,102.0,0,Feb-2017
2017-03-01,8,376000.0,3.52,3,"henderson, nc",525.0,81.0,0,Mar-2017
2017-04-01,9,385000.0,4.03,4,"henderson, nc",552.0,59.0,0,Apr-2017
2017-05-01,10,389900.0,4.32,5,"henderson, nc",553.0,60.0,0,May-2017
2017-06-01,11,382950.0,4.2,6,"henderson, nc",605.0,58.0,0,Jun-2017
2017-07-01,12,379950.0,4.19,7,"henderson, nc",630.0,57.0,0,Jul-2017
2017-08-01,13,372400.0,4.3,8,"henderson, nc",646.0,67.0,0,Aug-2017
2017-09-01,14,362900.0,4.1,9,"henderson, nc",643.0,73.0,0,Sep-2017
2017-10-01,15,355450.0,4.05,10,"henderson, nc",625.0,75.0,0,Oct-2017
2017-11-01,16,367225.0,3.94,11,"henderson, nc",557.0,83.0,0,Nov-2017
2017-12-01,17,359000.0,4.03,12,"henderson, nc",535.0,85.0,0,Dec-2017
2018-01-01,18,330475.0,3.93,1,"henderson, nc",584.0,99.0,0,Jan-2018
2018-02-01,19,331000.0,3.83,2,"henderson, nc",588.0,41.0,0,Feb-2018
2018-03-01,20,329900.0,3.94,3,"henderson, nc",609.0,66.0,0,Mar-2018
2018-04-01,21,338500.0,3.95,4,"henderson, nc",631.0,73.0,0,Apr-2018
2018-05-01,22,348425.0,3.99,5,"henderson, nc",630.0,70.0,0,May-2018
2018-06-01,23,369900.0,4.15,6,"henderson, nc",607.0,65.0,0,Jun-2018
2018-07-01,24,371150.0,4.4,7,"henderson, nc",624.0,66.0,0,Jul-2018
2018-08-01,25,359388.0,4.46,8,"henderson, nc",656.0,68.0,0,Aug-2018
2018-09-01,26,359900.0,4.58,9,"henderson, nc",679.0,72.0,0,Sep-2018
2018-10-01,27,359225.0,4.66,10,"henderson, nc",704.0,80.0,0,Oct-2018
2018-11-01,28,357500.0,4.62,11,"henderson, nc",706.0,79.0,0,Nov-2018
2018-12-01,29,369000.0,4.54,12,"henderson, nc",640.0,94.0,0,Dec-2018
2019-01-01,30,374925.0,4.6,1,"henderson, nc",572.0,108.0,0,Jan-2019
2019-02-01,31,374644.0,4.72,2,"henderson, nc",558.0,106.0,0,Feb-2019
2019-03-01,32,382400.0,4.9,3,"henderson, nc",566.0,89.0,0,Mar-2019
2019-04-01,33,393950.0,4.94,4,"henderson, nc",581.0,57.0,0,Apr-2019
2019-05-01,34,399975.0,4.75,5,"henderson, nc",645.0,58.0,0,May-2019
2019-06-01,35,414950.0,4.51,6,"henderson, nc",678.0,58.0,0,Jun-2019
2019-07-01,36,399000.0,4.41,7,"henderson, nc",687.0,64.0,0,Jul-2019
2019-08-01,37,399245.0,4.41,8,"henderson, nc",684.0,70.0,0,Aug-2019
2019-09-01,38,399614.0,4.2,9,"henderson, nc",679.0,75.0,0,Sep-2019
2019-10-01,39,403450.0,4.14,10,"henderson, nc",676.0,79.0,0,Oct-2019
2019-11-01,40,399900.0,3.84,11,"henderson, nc",622.0,82.0,0,Nov-2019
2019-12-01,41,398500.0,3.81,12,"henderson, nc",561.0,84.0,0,Dec-2019
2020-01-01,42,399900.0,3.75,1,"henderson, nc",492.0,96.0,0,Jan-2020
2020-02-01,43,405000.0,3.73,2,"henderson, nc",451.0,97.0,0,Feb-2020
2020-03-01,44,415000.0,3.78,3,"henderson, nc",457.0,68.0,0,Mar-2020
2020-04-01,45,399250.0,3.75,4,"henderson, nc",488.0,68.0,0,Apr-2020
2020-05-01,46,419900.0,3.74,5,"henderson, nc",484.0,68.0,0,May-2020
2020-06-01,47,431000.0,3.72,6,"henderson, nc",481.0,63.0,0,Jun-2020
2020-07-01,48,433325.0,3.49,7,"henderson, nc",453.0,58.0,0,Jul-2020
2020-08-01,49,445000.0,3.65,8,"henderson, nc",414.0,57.0,0,Aug-2020
2020-09-01,50,441500.0,3.33,9,"henderson, nc",373.0,54.0,0,Sep-2020
2020-10-01,51,429000.0,3.28,10,"henderson, nc",363.0,59.0,0,Oct-2020
2020-11-01,52,449000.0,3.21,11,"henderson, nc",331.0,64.0,0,Nov-2020
2020-12-01,53,439450.0,3.07,12,"henderson, nc",305.0,69.0,0,Dec-2020
2021-01-01,54,429900.0,2.99,1,"henderson, nc",254.0,83.0,0,Jan-2021
2021-02-01,55,442450.0,2.93,2,"henderson, nc",216.0,79.0,0,Feb-2021
2021-03-01,56,414225.0,2.88,3,"henderson, nc",192.0,48.0,0,Mar-2021
2021-04-01,57,437450.0,2.84,4,"henderson, nc",188.0,44.0,0,Apr-2021
2021-05-01,58,451335.0,2.71,5,"henderson, nc",207.0,35.0,0,May-2021
2021-06-01,59,427090.0,2.79,6,"henderson, nc",297.0,27.0,0,Jun-2021
2021-07-01,60,421542.0,2.97,7,"henderson, nc",338.0,39.0,0,Jul-2021
2021-08-01,61,404500.0,3.17,8,"henderson, nc",338.0,56.0,0,Aug-2021
2021-09-01,62,425000.0,3.18,9,"henderson, nc",334.0,58.0,0,Sep-2021
2021-10-01,63,425000.0,3.0,10,"henderson, nc",326.0,63.0,0,Oct-2021
2021-11-01,64,441000.0,3.02,11,"henderson, nc",240.0,77.0,0,Nov-2021
2021-12-01,65,444750.0,2.98,12,"henderson, nc",208.0,80.0,0,Dec-2021
2022-01-01,66,468000.0,2.87,1,"henderson, nc",152.0,94.0,0,Jan-2022
2022-02-01,67,478708.0,3.01,2,"henderson, nc",127.0,78.0,0,Feb-2022
2022-03-01,68,486505.0,3.14,3,"henderson, nc",124.0,37.0,0,Mar-2022
2022-04-01,69,516450.0,3.1,4,"henderson, nc",140.0,29.0,0,Apr-2022
2022-05-01,70,533975.0,3.12,5,"henderson, nc",192.0,28.0,0,May-2022
2022-06-01,71,522475.0,3.56,6,"henderson, nc",218.0,36.0,0,Jun-2022
2022-07-01,72,513530.0,3.92,7,"henderson, nc",255.0,38.0,0,Jul-2022
2022-08-01,73,499654.0,4.67,8,"henderson, nc",269.0,44.0,0,Aug-2022
2022-09-01,74,512748.0,5.11,9,"henderson, nc",277.0,44.0,493900,Sep-2022
2022-10-01,75,525000.0,5.3,10,"henderson, nc",287.0,47.0,489879,Oct-2022
2022-11-01,76,548000.0,5.81,11,"henderson, nc",292.0,54.0,576637,Nov-2022
2022-12-01,77,564950.0,5.54,12,"henderson, nc",250.0,66.0,564282,Dec-2022
2023-01-01,78,561950.0,5.55,1,"henderson, nc",224.0,82.0,557215,Jan-2023
2023-02-01,79,564950.0,6.7,2,"henderson, nc",199.0,82.0,553052,Feb-2023
2023-03-01,80,549975.0,7.08,3,"henderson, nc",206.0,54.0,592396,Mar-2023
2023-04-01,81,550000.0,7.08,4,"henderson, nc",216.0,45.0,602046,Apr-2023
2023-05-01,82,595500.0,6.49,5,"henderson, nc",244.0,39.0,609138,May-2023
2023-06-01,83,617870.0,6.48,6,"henderson, nc",253.0,45.0,601042,Jun-2023
2023-07-01,84,596750.0,6.5,7,"henderson, nc",249.0,55.0,594674,Jul-2023
