date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,214995.0,3.72,7,"henry, ga",1589.0,54.0,0,Jul-2016
2016-08-01,1,210910.0,3.73,8,"henry, ga",1507.0,59.0,0,Aug-2016
2016-09-01,2,209908.0,3.66,9,"henry, ga",1530.0,62.0,0,Sep-2016
2016-10-01,3,217430.0,3.64,10,"henry, ga",1484.0,61.0,0,Oct-2016
2016-11-01,4,214324.0,3.66,11,"henry, ga",1469.0,66.0,0,Nov-2016
2016-12-01,5,217900.0,3.48,12,"henry, ga",1418.0,74.0,0,Dec-2016
2017-01-01,6,217450.0,3.45,1,"henry, ga",1350.0,72.0,0,Jan-2017
2017-02-01,7,224548.0,3.5,2,"henry, ga",1360.0,53.0,0,Feb-2017
2017-03-01,8,232095.0,3.52,3,"henry, ga",1358.0,47.0,0,Mar-2017
2017-04-01,9,235000.0,4.03,4,"henry, ga",1330.0,49.0,0,Apr-2017
2017-05-01,10,234950.0,4.32,5,"henry, ga",1343.0,51.0,0,May-2017
2017-06-01,11,236373.0,4.2,6,"henry, ga",1346.0,55.0,0,Jun-2017
2017-07-01,12,234900.0,4.19,7,"henry, ga",1413.0,58.0,0,Jul-2017
2017-08-01,13,226245.0,4.3,8,"henry, ga",1352.0,61.0,0,Aug-2017
2017-09-01,14,225000.0,4.1,9,"henry, ga",1314.0,65.0,0,Sep-2017
2017-10-01,15,223935.0,4.05,10,"henry, ga",1328.0,64.0,0,Oct-2017
2017-11-01,16,227369.0,3.94,11,"henry, ga",1278.0,60.0,0,Nov-2017
2017-12-01,17,230000.0,4.03,12,"henry, ga",1188.0,65.0,0,Dec-2017
2018-01-01,18,236668.0,3.93,1,"henry, ga",1131.0,69.0,0,Jan-2018
2018-02-01,19,240925.0,3.83,2,"henry, ga",1132.0,54.0,0,Feb-2018
2018-03-01,20,250000.0,3.94,3,"henry, ga",1133.0,49.0,0,Mar-2018
2018-04-01,21,255250.0,3.95,4,"henry, ga",1020.0,58.0,0,Apr-2018
2018-05-01,22,255573.0,3.99,5,"henry, ga",999.0,53.0,0,May-2018
2018-06-01,23,259797.0,4.15,6,"henry, ga",1039.0,50.0,0,Jun-2018
2018-07-01,24,260095.0,4.4,7,"henry, ga",1115.0,51.0,0,Jul-2018
2018-08-01,25,257051.0,4.46,8,"henry, ga",1098.0,53.0,0,Aug-2018
2018-09-01,26,254995.0,4.58,9,"henry, ga",1086.0,56.0,0,Sep-2018
2018-10-01,27,249950.0,4.66,10,"henry, ga",1170.0,55.0,0,Oct-2018
2018-11-01,28,250000.0,4.62,11,"henry, ga",1192.0,52.0,0,Nov-2018
2018-12-01,29,249990.0,4.54,12,"henry, ga",1170.0,62.0,0,Dec-2018
2019-01-01,30,249990.0,4.6,1,"henry, ga",1089.0,72.0,0,Jan-2019
2019-02-01,31,249950.0,4.72,2,"henry, ga",1045.0,59.0,0,Feb-2019
2019-03-01,32,254781.0,4.9,3,"henry, ga",1028.0,47.0,0,Mar-2019
2019-04-01,33,259947.0,4.94,4,"henry, ga",1038.0,41.0,0,Apr-2019
2019-05-01,34,259087.0,4.75,5,"henry, ga",1101.0,47.0,0,May-2019
2019-06-01,35,257400.0,4.51,6,"henry, ga",1052.0,51.0,0,Jun-2019
2019-07-01,36,253129.0,4.41,7,"henry, ga",1097.0,50.0,0,Jul-2019
2019-08-01,37,254504.0,4.41,8,"henry, ga",1115.0,49.0,0,Aug-2019
2019-09-01,38,256752.0,4.2,9,"henry, ga",1140.0,52.0,0,Sep-2019
2019-10-01,39,258000.0,4.14,10,"henry, ga",1130.0,53.0,0,Oct-2019
2019-11-01,40,259905.0,3.84,11,"henry, ga",1090.0,57.0,0,Nov-2019
2019-12-01,41,259900.0,3.81,12,"henry, ga",1079.0,63.0,0,Dec-2019
2020-01-01,42,257775.0,3.75,1,"henry, ga",1058.0,64.0,0,Jan-2020
2020-02-01,43,259990.0,3.73,2,"henry, ga",1010.0,57.0,0,Feb-2020
2020-03-01,44,261950.0,3.78,3,"henry, ga",950.0,52.0,0,Mar-2020
2020-04-01,45,258888.0,3.75,4,"henry, ga",1008.0,53.0,0,Apr-2020
2020-05-01,46,259900.0,3.74,5,"henry, ga",948.0,57.0,0,May-2020
2020-06-01,47,265938.0,3.72,6,"henry, ga",796.0,55.0,0,Jun-2020
2020-07-01,48,265000.0,3.49,7,"henry, ga",665.0,55.0,0,Jul-2020
2020-08-01,49,274900.0,3.65,8,"henry, ga",603.0,46.0,0,Aug-2020
2020-09-01,50,279252.0,3.33,9,"henry, ga",532.0,45.0,0,Sep-2020
2020-10-01,51,280000.0,3.28,10,"henry, ga",488.0,46.0,0,Oct-2020
2020-11-01,52,279975.0,3.21,11,"henry, ga",449.0,50.0,0,Nov-2020
2020-12-01,53,298975.0,3.07,12,"henry, ga",407.0,55.0,0,Dec-2020
2021-01-01,54,305480.0,2.99,1,"henry, ga",358.0,49.0,0,Jan-2021
2021-02-01,55,294925.0,2.93,2,"henry, ga",286.0,38.0,0,Feb-2021
2021-03-01,56,299925.0,2.88,3,"henry, ga",236.0,40.0,0,Mar-2021
2021-04-01,57,295403.0,2.84,4,"henry, ga",237.0,33.0,0,Apr-2021
2021-05-01,58,305000.0,2.71,5,"henry, ga",263.0,33.0,0,May-2021
2021-06-01,59,325000.0,2.79,6,"henry, ga",292.0,32.0,0,Jun-2021
2021-07-01,60,335000.0,2.97,7,"henry, ga",354.0,29.0,0,Jul-2021
2021-08-01,61,351998.0,3.17,8,"henry, ga",443.0,31.0,0,Aug-2021
2021-09-01,62,360183.0,3.18,9,"henry, ga",453.0,32.0,0,Sep-2021
2021-10-01,63,359900.0,3.0,10,"henry, ga",441.0,36.0,0,Oct-2021
2021-11-01,64,370000.0,3.02,11,"henry, ga",423.0,37.0,0,Nov-2021
2021-12-01,65,375668.0,2.98,12,"henry, ga",416.0,42.0,0,Dec-2021
2022-01-01,66,380685.0,2.87,1,"henry, ga",392.0,45.0,0,Jan-2022
2022-02-01,67,370776.0,3.01,2,"henry, ga",320.0,35.0,0,Feb-2022
2022-03-01,68,387965.0,3.14,3,"henry, ga",317.0,30.0,0,Mar-2022
2022-04-01,69,392150.0,3.1,4,"henry, ga",330.0,29.0,0,Apr-2022
2022-05-01,70,400000.0,3.12,5,"henry, ga",387.0,29.0,0,May-2022
2022-06-01,71,409806.0,3.56,6,"henry, ga",501.0,25.0,0,Jun-2022
2022-07-01,72,399440.0,3.92,7,"henry, ga",686.0,29.0,0,Jul-2022
2022-08-01,73,398289.0,4.67,8,"henry, ga",791.0,33.0,0,Aug-2022
2022-09-01,74,392748.0,5.11,9,"henry, ga",851.0,38.0,480146,Sep-2022
2022-10-01,75,386200.0,5.3,10,"henry, ga",910.0,44.0,479040,Oct-2022
2022-11-01,76,377983.0,5.81,11,"henry, ga",920.0,47.0,478723,Nov-2022
2022-12-01,77,373375.0,5.54,12,"henry, ga",871.0,52.0,477985,Dec-2022
2023-01-01,78,372673.0,5.55,1,"henry, ga",793.0,57.0,474267,Jan-2023
2023-02-01,79,373567.0,6.7,2,"henry, ga",737.0,51.0,477772,Feb-2023
2023-03-01,80,372500.0,7.08,3,"henry, ga",698.0,45.0,480380,Mar-2023
2023-04-01,81,385000.0,7.08,4,"henry, ga",669.0,39.0,480853,Apr-2023
2023-05-01,82,383473.0,6.49,5,"henry, ga",683.0,42.0,481967,May-2023
2023-06-01,83,389500.0,6.48,6,"henry, ga",692.0,41.0,482385,Jun-2023
2023-07-01,84,387480.0,6.5,7,"henry, ga",717.0,39.0,482249,Jul-2023
