date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,66500.0,3.72,7,"hickman, ky",24.0,89.0,0,Jul-2016
2016-08-01,1,61050.0,3.73,8,"hickman, ky",23.0,95.0,0,Aug-2016
2016-09-01,2,68000.0,3.66,9,"hickman, ky",25.0,85.0,0,Sep-2016
2016-10-01,3,68000.0,3.64,10,"hickman, ky",25.0,117.0,0,Oct-2016
2016-11-01,4,66450.0,3.66,11,"hickman, ky",24.0,145.0,0,Nov-2016
2016-12-01,5,75250.0,3.48,12,"hickman, ky",23.0,119.0,0,Dec-2016
2017-01-01,6,71875.0,3.45,1,"hickman, ky",19.0,94.0,0,Jan-2017
2017-02-01,7,83500.0,3.5,2,"hickman, ky",20.0,89.0,0,Feb-2017
2017-03-01,8,88900.0,3.52,3,"hickman, ky",21.0,79.0,0,Mar-2017
2017-04-01,9,89900.0,4.03,4,"hickman, ky",21.0,81.0,0,Apr-2017
2017-05-01,10,89900.0,4.32,5,"hickman, ky",19.0,92.0,0,May-2017
2017-06-01,11,87100.0,4.2,6,"hickman, ky",16.0,91.0,0,Jun-2017
2017-07-01,12,89900.0,4.19,7,"hickman, ky",18.0,78.0,0,Jul-2017
2017-08-01,13,89900.0,4.3,8,"hickman, ky",20.0,72.0,0,Aug-2017
2017-09-01,14,89900.0,4.1,9,"hickman, ky",18.0,71.0,0,Sep-2017
2017-10-01,15,89450.0,4.05,10,"hickman, ky",16.0,97.0,0,Oct-2017
2017-11-01,16,89000.0,3.94,11,"hickman, ky",16.0,118.0,0,Nov-2017
2017-12-01,17,62000.0,4.03,12,"hickman, ky",13.0,127.0,0,Dec-2017
2018-01-01,18,58000.0,3.93,1,"hickman, ky",13.0,117.0,0,Jan-2018
2018-02-01,19,62000.0,3.83,2,"hickman, ky",11.0,121.0,0,Feb-2018
2018-03-01,20,63450.0,3.94,3,"hickman, ky",17.0,61.0,0,Mar-2018
2018-04-01,21,60725.0,3.95,4,"hickman, ky",15.0,95.0,0,Apr-2018
2018-05-01,22,56000.0,3.99,5,"hickman, ky",17.0,116.0,0,May-2018
2018-06-01,23,54000.0,4.15,6,"hickman, ky",16.0,114.0,0,Jun-2018
2018-07-01,24,64125.0,4.4,7,"hickman, ky",18.0,125.0,0,Jul-2018
2018-08-01,25,80975.0,4.46,8,"hickman, ky",14.0,64.0,0,Aug-2018
2018-09-01,26,102500.0,4.58,9,"hickman, ky",14.0,86.0,0,Sep-2018
2018-10-01,27,97500.0,4.66,10,"hickman, ky",15.0,104.0,0,Oct-2018
2018-11-01,28,82000.0,4.62,11,"hickman, ky",16.0,113.0,0,Nov-2018
2018-12-01,29,89750.0,4.54,12,"hickman, ky",11.0,106.0,0,Dec-2018
2019-01-01,30,79500.0,4.6,1,"hickman, ky",13.0,103.0,0,Jan-2019
2019-02-01,31,68450.0,4.72,2,"hickman, ky",12.0,110.0,0,Feb-2019
2019-03-01,32,82571.0,4.9,3,"hickman, ky",10.0,115.0,0,Mar-2019
2019-04-01,33,90000.0,4.94,4,"hickman, ky",9.0,140.0,0,Apr-2019
2019-05-01,34,93500.0,4.75,5,"hickman, ky",10.0,166.0,0,May-2019
2019-06-01,35,85500.0,4.51,6,"hickman, ky",10.0,197.0,0,Jun-2019
2019-07-01,36,88600.0,4.41,7,"hickman, ky",15.0,116.0,0,Jul-2019
2019-08-01,37,86155.0,4.41,8,"hickman, ky",17.0,69.0,0,Aug-2019
2019-09-01,38,82636.0,4.2,9,"hickman, ky",18.0,78.0,0,Sep-2019
2019-10-01,39,79900.0,4.14,10,"hickman, ky",18.0,89.0,0,Oct-2019
2019-11-01,40,79900.0,3.84,11,"hickman, ky",20.0,112.0,0,Nov-2019
2019-12-01,41,81475.0,3.81,12,"hickman, ky",22.0,107.0,0,Dec-2019
2020-01-01,42,82000.0,3.75,1,"hickman, ky",21.0,111.0,0,Jan-2020
2020-02-01,43,83500.0,3.73,2,"hickman, ky",20.0,135.0,0,Feb-2020
2020-03-01,44,111725.0,3.78,3,"hickman, ky",13.0,142.0,0,Mar-2020
2020-04-01,45,119000.0,3.75,4,"hickman, ky",11.0,172.0,0,Apr-2020
2020-05-01,46,136800.0,3.74,5,"hickman, ky",10.0,126.0,0,May-2020
2020-06-01,47,131250.0,3.72,6,"hickman, ky",9.0,164.0,0,Jun-2020
2020-07-01,48,143750.0,3.49,7,"hickman, ky",6.0,156.0,0,Jul-2020
2020-08-01,49,72000.0,3.65,8,"hickman, ky",5.0,96.0,0,Aug-2020
2020-09-01,50,72000.0,3.33,9,"hickman, ky",4.0,50.0,0,Sep-2020
2020-10-01,51,84500.0,3.28,10,"hickman, ky",7.0,72.0,0,Oct-2020
2020-11-01,52,68250.0,3.21,11,"hickman, ky",6.0,83.0,0,Nov-2020
2020-12-01,53,104500.0,3.07,12,"hickman, ky",6.0,70.0,0,Dec-2020
2021-01-01,54,150000.0,2.99,1,"hickman, ky",6.0,74.0,0,Jan-2021
2021-02-01,55,150000.0,2.93,2,"hickman, ky",7.0,44.0,0,Feb-2021
2021-03-01,56,216750.0,2.88,3,"hickman, ky",4.0,137.0,0,Mar-2021
2021-04-01,57,194500.0,2.84,4,"hickman, ky",4.0,106.0,0,Apr-2021
2021-05-01,58,269500.0,2.71,5,"hickman, ky",2.0,113.0,0,May-2021
2021-06-01,59,164450.0,2.79,6,"hickman, ky",3.0,45.0,0,Jun-2021
2021-07-01,60,199450.0,2.97,7,"hickman, ky",4.0,17.0,0,Jul-2021
2021-08-01,61,242400.0,3.17,8,"hickman, ky",2.0,35.0,0,Aug-2021
2021-09-01,62,118600.0,3.18,9,"hickman, ky",3.0,26.0,0,Sep-2021
2021-10-01,63,157400.0,3.0,10,"hickman, ky",4.0,37.0,0,Oct-2021
2021-11-01,64,181200.0,3.02,11,"hickman, ky",4.0,54.0,0,Nov-2021
2021-12-01,65,131150.0,2.98,12,"hickman, ky",5.0,22.0,0,Dec-2021
2022-01-01,66,169900.0,2.87,1,"hickman, ky",7.0,43.0,0,Jan-2022
2022-02-01,67,204900.0,3.01,2,"hickman, ky",5.0,66.0,0,Feb-2022
2022-03-01,68,194950.0,3.14,3,"hickman, ky",3.0,62.0,0,Mar-2022
2022-04-01,69,157450.0,3.1,4,"hickman, ky",4.0,63.0,0,Apr-2022
2022-05-01,70,142450.0,3.12,5,"hickman, ky",6.0,70.0,0,May-2022
