date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,114600.0,3.72,7,"highland, oh",185.0,60.0,0,Jul-2016
2016-08-01,1,115400.0,3.73,8,"highland, oh",185.0,62.0,0,Aug-2016
2016-09-01,2,109675.0,3.66,9,"highland, oh",179.0,73.0,0,Sep-2016
2016-10-01,3,109450.0,3.64,10,"highland, oh",163.0,79.0,0,Oct-2016
2016-11-01,4,112175.0,3.66,11,"highland, oh",150.0,80.0,0,Nov-2016
2016-12-01,5,99450.0,3.48,12,"highland, oh",142.0,71.0,0,Dec-2016
2017-01-01,6,86500.0,3.45,1,"highland, oh",132.0,67.0,0,Jan-2017
2017-02-01,7,92475.0,3.5,2,"highland, oh",136.0,63.0,0,Feb-2017
2017-03-01,8,88200.0,3.52,3,"highland, oh",142.0,53.0,0,Mar-2017
2017-04-01,9,89900.0,4.03,4,"highland, oh",141.0,62.0,0,Apr-2017
2017-05-01,10,91200.0,4.32,5,"highland, oh",132.0,70.0,0,May-2017
2017-06-01,11,90100.0,4.2,6,"highland, oh",148.0,69.0,0,Jun-2017
2017-07-01,12,91200.0,4.19,7,"highland, oh",158.0,58.0,0,Jul-2017
2017-08-01,13,89900.0,4.3,8,"highland, oh",166.0,58.0,0,Aug-2017
2017-09-01,14,89900.0,4.1,9,"highland, oh",147.0,64.0,0,Sep-2017
2017-10-01,15,101175.0,4.05,10,"highland, oh",136.0,72.0,0,Oct-2017
2017-11-01,16,105000.0,3.94,11,"highland, oh",136.0,74.0,0,Nov-2017
2017-12-01,17,104900.0,4.03,12,"highland, oh",131.0,78.0,0,Dec-2017
2018-01-01,18,98450.0,3.93,1,"highland, oh",123.0,75.0,0,Jan-2018
2018-02-01,19,104350.0,3.83,2,"highland, oh",118.0,73.0,0,Feb-2018
2018-03-01,20,99900.0,3.94,3,"highland, oh",117.0,61.0,0,Mar-2018
2018-04-01,21,93000.0,3.95,4,"highland, oh",130.0,49.0,0,Apr-2018
2018-05-01,22,94625.0,3.99,5,"highland, oh",135.0,51.0,0,May-2018
2018-06-01,23,114900.0,4.15,6,"highland, oh",136.0,53.0,0,Jun-2018
2018-07-01,24,103450.0,4.4,7,"highland, oh",132.0,57.0,0,Jul-2018
2018-08-01,25,97050.0,4.46,8,"highland, oh",129.0,64.0,0,Aug-2018
2018-09-01,26,119900.0,4.58,9,"highland, oh",134.0,58.0,0,Sep-2018
2018-10-01,27,111000.0,4.66,10,"highland, oh",124.0,63.0,0,Oct-2018
2018-11-01,28,117500.0,4.62,11,"highland, oh",110.0,72.0,0,Nov-2018
2018-12-01,29,134900.0,4.54,12,"highland, oh",110.0,71.0,0,Dec-2018
2019-01-01,30,136150.0,4.6,1,"highland, oh",114.0,65.0,0,Jan-2019
2019-02-01,31,124900.0,4.72,2,"highland, oh",110.0,52.0,0,Feb-2019
2019-03-01,32,134371.0,4.9,3,"highland, oh",103.0,47.0,0,Mar-2019
2019-04-01,33,147725.0,4.94,4,"highland, oh",94.0,43.0,0,Apr-2019
2019-05-01,34,133500.0,4.75,5,"highland, oh",86.0,40.0,0,May-2019
2019-06-01,35,132000.0,4.51,6,"highland, oh",103.0,40.0,0,Jun-2019
2019-07-01,36,133500.0,4.41,7,"highland, oh",102.0,55.0,0,Jul-2019
2019-08-01,37,155009.0,4.41,8,"highland, oh",106.0,53.0,0,Aug-2019
2019-09-01,38,142348.0,4.2,9,"highland, oh",117.0,45.0,0,Sep-2019
2019-10-01,39,133500.0,4.14,10,"highland, oh",120.0,42.0,0,Oct-2019
2019-11-01,40,129500.0,3.84,11,"highland, oh",111.0,52.0,0,Nov-2019
2019-12-01,41,132000.0,3.81,12,"highland, oh",107.0,66.0,0,Dec-2019
2020-01-01,42,131000.0,3.75,1,"highland, oh",95.0,73.0,0,Jan-2020
2020-02-01,43,135950.0,3.73,2,"highland, oh",92.0,74.0,0,Feb-2020
2020-03-01,44,139900.0,3.78,3,"highland, oh",77.0,49.0,0,Mar-2020
2020-04-01,45,132475.0,3.75,4,"highland, oh",72.0,54.0,0,Apr-2020
2020-05-01,46,138950.0,3.74,5,"highland, oh",59.0,54.0,0,May-2020
2020-06-01,47,153575.0,3.72,6,"highland, oh",61.0,43.0,0,Jun-2020
2020-07-01,48,153325.0,3.49,7,"highland, oh",58.0,41.0,0,Jul-2020
2020-08-01,49,171200.0,3.65,8,"highland, oh",60.0,52.0,0,Aug-2020
2020-09-01,50,159925.0,3.33,9,"highland, oh",48.0,31.0,0,Sep-2020
2020-10-01,51,154900.0,3.28,10,"highland, oh",50.0,31.0,0,Oct-2020
2020-11-01,52,121175.0,3.21,11,"highland, oh",46.0,45.0,0,Nov-2020
2020-12-01,53,117450.0,3.07,12,"highland, oh",48.0,63.0,0,Dec-2020
2021-01-01,54,112500.0,2.99,1,"highland, oh",47.0,47.0,0,Jan-2021
2021-02-01,55,153725.0,2.93,2,"highland, oh",34.0,31.0,0,Feb-2021
2021-03-01,56,159225.0,2.88,3,"highland, oh",30.0,22.0,0,Mar-2021
2021-04-01,57,175200.0,2.84,4,"highland, oh",29.0,25.0,0,Apr-2021
2021-05-01,58,172450.0,2.71,5,"highland, oh",37.0,24.0,0,May-2021
2021-06-01,59,199200.0,2.79,6,"highland, oh",43.0,27.0,0,Jun-2021
2021-07-01,60,157500.0,2.97,7,"highland, oh",45.0,25.0,0,Jul-2021
2021-08-01,61,149900.0,3.17,8,"highland, oh",65.0,29.0,0,Aug-2021
2021-09-01,62,158500.0,3.18,9,"highland, oh",65.0,32.0,0,Sep-2021
2021-10-01,63,152400.0,3.0,10,"highland, oh",73.0,37.0,0,Oct-2021
2021-11-01,64,152400.0,3.02,11,"highland, oh",58.0,46.0,0,Nov-2021
2021-12-01,65,149900.0,2.98,12,"highland, oh",44.0,70.0,0,Dec-2021
2022-01-01,66,154900.0,2.87,1,"highland, oh",37.0,76.0,0,Jan-2022
2022-02-01,67,154900.0,3.01,2,"highland, oh",37.0,28.0,0,Feb-2022
2022-03-01,68,139950.0,3.14,3,"highland, oh",37.0,28.0,0,Mar-2022
2022-04-01,69,157000.0,3.1,4,"highland, oh",38.0,21.0,0,Apr-2022
2022-05-01,70,156200.0,3.12,5,"highland, oh",46.0,29.0,0,May-2022
2022-06-01,71,164950.0,3.56,6,"highland, oh",62.0,26.0,0,Jun-2022
2022-07-01,72,184900.0,3.92,7,"highland, oh",64.0,33.0,0,Jul-2022
2022-08-01,73,198325.0,4.67,8,"highland, oh",64.0,51.0,0,Aug-2022
2022-09-01,74,193650.0,5.11,9,"highland, oh",64.0,43.0,214501,Sep-2022
2022-10-01,75,193950.0,5.3,10,"highland, oh",72.0,48.0,215218,Oct-2022
2022-11-01,76,193950.0,5.81,11,"highland, oh",71.0,48.0,217719,Nov-2022
2022-12-01,77,204900.0,5.54,12,"highland, oh",65.0,62.0,218411,Dec-2022
