date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,319000.0,3.72,7,"hillsborough, nh",1668.0,57.0,0,Jul-2016
2016-08-01,1,317450.0,3.73,8,"hillsborough, nh",1640.0,64.0,0,Aug-2016
2016-09-01,2,319450.0,3.66,9,"hillsborough, nh",1648.0,65.0,0,Sep-2016
2016-10-01,3,325000.0,3.64,10,"hillsborough, nh",1629.0,63.0,0,Oct-2016
2016-11-01,4,325000.0,3.66,11,"hillsborough, nh",1465.0,69.0,0,Nov-2016
2016-12-01,5,329000.0,3.48,12,"hillsborough, nh",1234.0,87.0,0,Dec-2016
2017-01-01,6,329900.0,3.45,1,"hillsborough, nh",1026.0,97.0,0,Jan-2017
2017-02-01,7,332450.0,3.5,2,"hillsborough, nh",997.0,81.0,0,Feb-2017
2017-03-01,8,339450.0,3.52,3,"hillsborough, nh",996.0,58.0,0,Mar-2017
2017-04-01,9,336450.0,4.03,4,"hillsborough, nh",1022.0,46.0,0,Apr-2017
2017-05-01,10,339900.0,4.32,5,"hillsborough, nh",1141.0,40.0,0,May-2017
2017-06-01,11,341175.0,4.2,6,"hillsborough, nh",1222.0,41.0,0,Jun-2017
2017-07-01,12,339900.0,4.19,7,"hillsborough, nh",1315.0,48.0,0,Jul-2017
2017-08-01,13,329900.0,4.3,8,"hillsborough, nh",1370.0,51.0,0,Aug-2017
2017-09-01,14,329900.0,4.1,9,"hillsborough, nh",1513.0,58.0,0,Sep-2017
2017-10-01,15,329895.0,4.05,10,"hillsborough, nh",1388.0,63.0,0,Oct-2017
2017-11-01,16,328450.0,3.94,11,"hillsborough, nh",1241.0,65.0,0,Nov-2017
2017-12-01,17,325000.0,4.03,12,"hillsborough, nh",993.0,72.0,0,Dec-2017
2018-01-01,18,329475.0,3.93,1,"hillsborough, nh",816.0,82.0,0,Jan-2018
2018-02-01,19,339884.0,3.83,2,"hillsborough, nh",751.0,73.0,0,Feb-2018
2018-03-01,20,349900.0,3.94,3,"hillsborough, nh",757.0,51.0,0,Mar-2018
2018-04-01,21,349450.0,3.95,4,"hillsborough, nh",834.0,38.0,0,Apr-2018
2018-05-01,22,349450.0,3.99,5,"hillsborough, nh",940.0,36.0,0,May-2018
2018-06-01,23,339900.0,4.15,6,"hillsborough, nh",1060.0,37.0,0,Jun-2018
2018-07-01,24,339418.0,4.4,7,"hillsborough, nh",1143.0,42.0,0,Jul-2018
2018-08-01,25,334913.0,4.46,8,"hillsborough, nh",1162.0,47.0,0,Aug-2018
2018-09-01,26,338900.0,4.58,9,"hillsborough, nh",1207.0,51.0,0,Sep-2018
2018-10-01,27,337450.0,4.66,10,"hillsborough, nh",1181.0,51.0,0,Oct-2018
2018-11-01,28,334900.0,4.62,11,"hillsborough, nh",1102.0,58.0,0,Nov-2018
2018-12-01,29,347000.0,4.54,12,"hillsborough, nh",932.0,72.0,0,Dec-2018
2019-01-01,30,349450.0,4.6,1,"hillsborough, nh",775.0,76.0,0,Jan-2019
2019-02-01,31,358588.0,4.72,2,"hillsborough, nh",690.0,73.0,0,Feb-2019
2019-03-01,32,363886.0,4.9,3,"hillsborough, nh",724.0,50.0,0,Mar-2019
2019-04-01,33,365100.0,4.94,4,"hillsborough, nh",766.0,36.0,0,Apr-2019
2019-05-01,34,365225.0,4.75,5,"hillsborough, nh",867.0,32.0,0,May-2019
2019-06-01,35,362900.0,4.51,6,"hillsborough, nh",921.0,33.0,0,Jun-2019
2019-07-01,36,364950.0,4.41,7,"hillsborough, nh",1002.0,39.0,0,Jul-2019
2019-08-01,37,360077.0,4.41,8,"hillsborough, nh",995.0,44.0,0,Aug-2019
2019-09-01,38,352693.0,4.2,9,"hillsborough, nh",985.0,47.0,0,Sep-2019
2019-10-01,39,349245.0,4.14,10,"hillsborough, nh",979.0,49.0,0,Oct-2019
2019-11-01,40,354900.0,3.84,11,"hillsborough, nh",889.0,57.0,0,Nov-2019
2019-12-01,41,360575.0,3.81,12,"hillsborough, nh",708.0,68.0,0,Dec-2019
2020-01-01,42,367450.0,3.75,1,"hillsborough, nh",599.0,76.0,0,Jan-2020
2020-02-01,43,378400.0,3.73,2,"hillsborough, nh",533.0,60.0,0,Feb-2020
2020-03-01,44,382450.0,3.78,3,"hillsborough, nh",581.0,34.0,0,Mar-2020
2020-04-01,45,386400.0,3.75,4,"hillsborough, nh",602.0,42.0,0,Apr-2020
2020-05-01,46,397575.0,3.74,5,"hillsborough, nh",600.0,48.0,0,May-2020
2020-06-01,47,394900.0,3.72,6,"hillsborough, nh",614.0,36.0,0,Jun-2020
2020-07-01,48,407700.0,3.49,7,"hillsborough, nh",517.0,39.0,0,Jul-2020
2020-08-01,49,399900.0,3.65,8,"hillsborough, nh",512.0,30.0,0,Aug-2020
2020-09-01,50,374950.0,3.33,9,"hillsborough, nh",538.0,25.0,0,Sep-2020
2020-10-01,51,375000.0,3.28,10,"hillsborough, nh",496.0,30.0,0,Oct-2020
2020-11-01,52,382400.0,3.21,11,"hillsborough, nh",395.0,38.0,0,Nov-2020
2020-12-01,53,398675.0,3.07,12,"hillsborough, nh",303.0,49.0,0,Dec-2020
2021-01-01,54,399900.0,2.99,1,"hillsborough, nh",232.0,46.0,0,Jan-2021
2021-02-01,55,399900.0,2.93,2,"hillsborough, nh",217.0,27.0,0,Feb-2021
2021-03-01,56,394950.0,2.88,3,"hillsborough, nh",257.0,10.0,0,Mar-2021
2021-04-01,57,399900.0,2.84,4,"hillsborough, nh",268.0,9.0,0,Apr-2021
2021-05-01,58,409900.0,2.71,5,"hillsborough, nh",285.0,9.0,0,May-2021
2021-06-01,59,407450.0,2.79,6,"hillsborough, nh",383.0,11.0,0,Jun-2021
2021-07-01,60,409000.0,2.97,7,"hillsborough, nh",427.0,16.0,0,Jul-2021
2021-08-01,61,402250.0,3.17,8,"hillsborough, nh",431.0,18.0,0,Aug-2021
2021-09-01,62,417625.0,3.18,9,"hillsborough, nh",438.0,18.0,0,Sep-2021
2021-10-01,63,419900.0,3.0,10,"hillsborough, nh",394.0,24.0,0,Oct-2021
2021-11-01,64,414950.0,3.02,11,"hillsborough, nh",295.0,28.0,0,Nov-2021
2021-12-01,65,441975.0,2.98,12,"hillsborough, nh",193.0,36.0,0,Dec-2021
2022-01-01,66,449950.0,2.87,1,"hillsborough, nh",172.0,28.0,0,Jan-2022
2022-02-01,67,445000.0,3.01,2,"hillsborough, nh",161.0,10.0,0,Feb-2022
2022-03-01,68,459250.0,3.14,3,"hillsborough, nh",166.0,8.0,0,Mar-2022
2022-04-01,69,447450.0,3.1,4,"hillsborough, nh",240.0,8.0,0,Apr-2022
2022-05-01,70,444500.0,3.12,5,"hillsborough, nh",312.0,9.0,0,May-2022
2022-06-01,71,479950.0,3.56,6,"hillsborough, nh",389.0,11.0,0,Jun-2022
2022-07-01,72,499000.0,3.92,7,"hillsborough, nh",413.0,18.0,0,Jul-2022
2022-08-01,73,486600.0,4.67,8,"hillsborough, nh",416.0,24.0,0,Aug-2022
2022-09-01,74,492225.0,5.11,9,"hillsborough, nh",402.0,29.0,504739,Sep-2022
2022-10-01,75,499000.0,5.3,10,"hillsborough, nh",404.0,26.0,505829,Oct-2022
2022-11-01,76,492000.0,5.81,11,"hillsborough, nh",398.0,33.0,506462,Nov-2022
2022-12-01,77,499000.0,5.54,12,"hillsborough, nh",304.0,43.0,505500,Dec-2022
2023-01-01,78,541950.0,5.55,1,"hillsborough, nh",254.0,45.0,503726,Jan-2023
2023-02-01,79,562200.0,6.7,2,"hillsborough, nh",226.0,38.0,506344,Feb-2023
2023-03-01,80,549900.0,7.08,3,"hillsborough, nh",234.0,28.0,508130,Mar-2023
