date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,182425.0,3.72,7,"hockley, tx",56.0,55.0,0,Jul-2016
2016-08-01,1,181625.0,3.73,8,"hockley, tx",61.0,60.0,0,Aug-2016
2016-09-01,2,185900.0,3.66,9,"hockley, tx",65.0,57.0,0,Sep-2016
2016-10-01,3,187000.0,3.64,10,"hockley, tx",64.0,60.0,0,Oct-2016
2016-11-01,4,186225.0,3.66,11,"hockley, tx",68.0,74.0,0,Nov-2016
2016-12-01,5,184900.0,3.48,12,"hockley, tx",73.0,89.0,0,Dec-2016
2017-01-01,6,180475.0,3.45,1,"hockley, tx",73.0,101.0,0,Jan-2017
2017-02-01,7,178725.0,3.5,2,"hockley, tx",65.0,106.0,0,Feb-2017
2017-03-01,8,180700.0,3.52,3,"hockley, tx",64.0,86.0,0,Mar-2017
2017-04-01,9,155000.0,4.03,4,"hockley, tx",65.0,74.0,0,Apr-2017
2017-05-01,10,152175.0,4.32,5,"hockley, tx",69.0,63.0,0,May-2017
2017-06-01,11,153038.0,4.2,6,"hockley, tx",73.0,56.0,0,Jun-2017
2017-07-01,12,149900.0,4.19,7,"hockley, tx",79.0,60.0,0,Jul-2017
2017-08-01,13,138475.0,4.3,8,"hockley, tx",72.0,71.0,0,Aug-2017
2017-09-01,14,147500.0,4.1,9,"hockley, tx",66.0,64.0,0,Sep-2017
2017-10-01,15,168700.0,4.05,10,"hockley, tx",65.0,67.0,0,Oct-2017
2017-11-01,16,168675.0,3.94,11,"hockley, tx",65.0,77.0,0,Nov-2017
2017-12-01,17,169900.0,4.03,12,"hockley, tx",64.0,81.0,0,Dec-2017
2018-01-01,18,168675.0,3.93,1,"hockley, tx",62.0,86.0,0,Jan-2018
2018-02-01,19,174900.0,3.83,2,"hockley, tx",58.0,88.0,0,Feb-2018
2018-03-01,20,185000.0,3.94,3,"hockley, tx",48.0,105.0,0,Mar-2018
2018-04-01,21,196220.0,3.95,4,"hockley, tx",50.0,76.0,0,Apr-2018
2018-05-01,22,199900.0,3.99,5,"hockley, tx",47.0,55.0,0,May-2018
2018-06-01,23,199900.0,4.15,6,"hockley, tx",48.0,51.0,0,Jun-2018
2018-07-01,24,185200.0,4.4,7,"hockley, tx",53.0,43.0,0,Jul-2018
2018-08-01,25,179800.0,4.46,8,"hockley, tx",55.0,61.0,0,Aug-2018
2018-09-01,26,165000.0,4.58,9,"hockley, tx",58.0,57.0,0,Sep-2018
2018-10-01,27,165000.0,4.66,10,"hockley, tx",61.0,59.0,0,Oct-2018
2018-11-01,28,175700.0,4.62,11,"hockley, tx",59.0,65.0,0,Nov-2018
2018-12-01,29,164950.0,4.54,12,"hockley, tx",59.0,71.0,0,Dec-2018
2019-01-01,30,157213.0,4.6,1,"hockley, tx",61.0,84.0,0,Jan-2019
2019-02-01,31,151475.0,4.72,2,"hockley, tx",60.0,82.0,0,Feb-2019
2019-03-01,32,142271.0,4.9,3,"hockley, tx",54.0,66.0,0,Mar-2019
2019-04-01,33,143534.0,4.94,4,"hockley, tx",54.0,46.0,0,Apr-2019
2019-05-01,34,143750.0,4.75,5,"hockley, tx",46.0,57.0,0,May-2019
2019-06-01,35,145000.0,4.51,6,"hockley, tx",44.0,61.0,0,Jun-2019
2019-07-01,36,140000.0,4.41,7,"hockley, tx",58.0,36.0,0,Jul-2019
2019-08-01,37,135909.0,4.41,8,"hockley, tx",62.0,45.0,0,Aug-2019
2019-09-01,38,129773.0,4.2,9,"hockley, tx",62.0,57.0,0,Sep-2019
2019-10-01,39,125000.0,4.14,10,"hockley, tx",62.0,61.0,0,Oct-2019
2019-11-01,40,120000.0,3.84,11,"hockley, tx",60.0,62.0,0,Nov-2019
2019-12-01,41,126500.0,3.81,12,"hockley, tx",64.0,66.0,0,Dec-2019
2020-01-01,42,124950.0,3.75,1,"hockley, tx",63.0,80.0,0,Jan-2020
2020-02-01,43,123500.0,3.73,2,"hockley, tx",58.0,84.0,0,Feb-2020
2020-03-01,44,149900.0,3.78,3,"hockley, tx",57.0,60.0,0,Mar-2020
2020-04-01,45,140725.0,3.75,4,"hockley, tx",56.0,71.0,0,Apr-2020
2020-05-01,46,149900.0,3.74,5,"hockley, tx",60.0,80.0,0,May-2020
2020-06-01,47,150700.0,3.72,6,"hockley, tx",57.0,96.0,0,Jun-2020
2020-07-01,48,126450.0,3.49,7,"hockley, tx",52.0,92.0,0,Jul-2020
2020-08-01,49,142200.0,3.65,8,"hockley, tx",51.0,84.0,0,Aug-2020
2020-09-01,50,137750.0,3.33,9,"hockley, tx",47.0,60.0,0,Sep-2020
2020-10-01,51,143000.0,3.28,10,"hockley, tx",48.0,51.0,0,Oct-2020
2020-11-01,52,136500.0,3.21,11,"hockley, tx",45.0,70.0,0,Nov-2020
2020-12-01,53,144250.0,3.07,12,"hockley, tx",47.0,57.0,0,Dec-2020
2021-01-01,54,114900.0,2.99,1,"hockley, tx",42.0,72.0,0,Jan-2021
2021-02-01,55,124500.0,2.93,2,"hockley, tx",36.0,73.0,0,Feb-2021
2021-03-01,56,122500.0,2.88,3,"hockley, tx",35.0,51.0,0,Mar-2021
2021-04-01,57,110000.0,2.84,4,"hockley, tx",29.0,57.0,0,Apr-2021
2021-05-01,58,152700.0,2.71,5,"hockley, tx",14.0,27.0,0,May-2021
2021-06-01,59,185000.0,2.79,6,"hockley, tx",22.0,13.0,0,Jun-2021
2021-07-01,60,171000.0,2.97,7,"hockley, tx",23.0,26.0,0,Jul-2021
2021-08-01,61,172000.0,3.17,8,"hockley, tx",29.0,23.0,0,Aug-2021
2021-09-01,62,169250.0,3.18,9,"hockley, tx",36.0,31.0,0,Sep-2021
2021-10-01,63,180000.0,3.0,10,"hockley, tx",37.0,34.0,0,Oct-2021
2021-11-01,64,172250.0,3.02,11,"hockley, tx",38.0,44.0,0,Nov-2021
2021-12-01,65,172450.0,2.98,12,"hockley, tx",30.0,55.0,0,Dec-2021
2022-01-01,66,194450.0,2.87,1,"hockley, tx",25.0,53.0,0,Jan-2022
2022-02-01,67,181425.0,3.01,2,"hockley, tx",21.0,50.0,0,Feb-2022
2022-03-01,68,179950.0,3.14,3,"hockley, tx",19.0,52.0,0,Mar-2022
2022-04-01,69,193500.0,3.1,4,"hockley, tx",16.0,52.0,0,Apr-2022
2022-05-01,70,196825.0,3.12,5,"hockley, tx",31.0,21.0,0,May-2022
