date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,199500.0,3.72,7,"hughes, sd",85.0,47.0,0,Jul-2016
2016-08-01,1,179000.0,3.73,8,"hughes, sd",73.0,57.0,0,Aug-2016
2016-09-01,2,182500.0,3.66,9,"hughes, sd",73.0,72.0,0,Sep-2016
2016-10-01,3,185000.0,3.64,10,"hughes, sd",71.0,85.0,0,Oct-2016
2016-11-01,4,190425.0,3.66,11,"hughes, sd",60.0,88.0,0,Nov-2016
2016-12-01,5,193500.0,3.48,12,"hughes, sd",59.0,94.0,0,Dec-2016
2017-01-01,6,195000.0,3.45,1,"hughes, sd",53.0,85.0,0,Jan-2017
2017-02-01,7,197250.0,3.5,2,"hughes, sd",60.0,76.0,0,Feb-2017
2017-03-01,8,195000.0,3.52,3,"hughes, sd",71.0,64.0,0,Mar-2017
2017-04-01,9,210000.0,4.03,4,"hughes, sd",81.0,57.0,0,Apr-2017
2017-05-01,10,208750.0,4.32,5,"hughes, sd",76.0,53.0,0,May-2017
2017-06-01,11,192250.0,4.2,6,"hughes, sd",85.0,56.0,0,Jun-2017
2017-07-01,12,191000.0,4.19,7,"hughes, sd",90.0,48.0,0,Jul-2017
2017-08-01,13,186725.0,4.3,8,"hughes, sd",98.0,56.0,0,Aug-2017
2017-09-01,14,184000.0,4.1,9,"hughes, sd",95.0,67.0,0,Sep-2017
2017-10-01,15,181000.0,4.05,10,"hughes, sd",101.0,78.0,0,Oct-2017
2017-11-01,16,178500.0,3.94,11,"hughes, sd",96.0,74.0,0,Nov-2017
2017-12-01,17,179500.0,4.03,12,"hughes, sd",89.0,74.0,0,Dec-2017
2018-01-01,18,182875.0,3.93,1,"hughes, sd",86.0,88.0,0,Jan-2018
2018-02-01,19,189750.0,3.83,2,"hughes, sd",90.0,106.0,0,Feb-2018
2018-03-01,20,188000.0,3.94,3,"hughes, sd",92.0,106.0,0,Mar-2018
2018-04-01,21,197600.0,3.95,4,"hughes, sd",103.0,97.0,0,Apr-2018
2018-05-01,22,205000.0,3.99,5,"hughes, sd",102.0,88.0,0,May-2018
2018-06-01,23,190600.0,4.15,6,"hughes, sd",98.0,66.0,0,Jun-2018
2018-07-01,24,200750.0,4.4,7,"hughes, sd",100.0,66.0,0,Jul-2018
2018-08-01,25,228000.0,4.46,8,"hughes, sd",105.0,64.0,0,Aug-2018
2018-09-01,26,228900.0,4.58,9,"hughes, sd",107.0,57.0,0,Sep-2018
2018-10-01,27,228950.0,4.66,10,"hughes, sd",106.0,69.0,0,Oct-2018
2018-11-01,28,229000.0,4.62,11,"hughes, sd",97.0,83.0,0,Nov-2018
2018-12-01,29,227000.0,4.54,12,"hughes, sd",92.0,92.0,0,Dec-2018
2019-01-01,30,221250.0,4.6,1,"hughes, sd",93.0,100.0,0,Jan-2019
2019-02-01,31,226225.0,4.72,2,"hughes, sd",88.0,119.0,0,Feb-2019
2019-03-01,32,219000.0,4.9,3,"hughes, sd",85.0,121.0,0,Mar-2019
2019-04-01,33,213975.0,4.94,4,"hughes, sd",87.0,115.0,0,Apr-2019
2019-05-01,34,205450.0,4.75,5,"hughes, sd",97.0,72.0,0,May-2019
2019-06-01,35,224250.0,4.51,6,"hughes, sd",96.0,55.0,0,Jun-2019
2019-07-01,36,249500.0,4.41,7,"hughes, sd",92.0,59.0,0,Jul-2019
2019-08-01,37,248500.0,4.41,8,"hughes, sd",91.0,55.0,0,Aug-2019
2019-09-01,38,241750.0,4.2,9,"hughes, sd",92.0,61.0,0,Sep-2019
2019-10-01,39,237250.0,4.14,10,"hughes, sd",91.0,66.0,0,Oct-2019
2019-11-01,40,236500.0,3.84,11,"hughes, sd",87.0,83.0,0,Nov-2019
2019-12-01,41,257000.0,3.81,12,"hughes, sd",70.0,107.0,0,Dec-2019
2020-01-01,42,259000.0,3.75,1,"hughes, sd",63.0,125.0,0,Jan-2020
2020-02-01,43,255000.0,3.73,2,"hughes, sd",56.0,138.0,0,Feb-2020
2020-03-01,44,251250.0,3.78,3,"hughes, sd",44.0,73.0,0,Mar-2020
2020-04-01,45,251250.0,3.75,4,"hughes, sd",40.0,58.0,0,Apr-2020
2020-05-01,46,274500.0,3.74,5,"hughes, sd",44.0,53.0,0,May-2020
2020-06-01,47,274750.0,3.72,6,"hughes, sd",48.0,52.0,0,Jun-2020
2020-07-01,48,267000.0,3.49,7,"hughes, sd",49.0,64.0,0,Jul-2020
2020-08-01,49,263500.0,3.65,8,"hughes, sd",47.0,66.0,0,Aug-2020
2020-09-01,50,253500.0,3.33,9,"hughes, sd",46.0,66.0,0,Sep-2020
2020-10-01,51,249500.0,3.28,10,"hughes, sd",44.0,59.0,0,Oct-2020
2020-11-01,52,244900.0,3.21,11,"hughes, sd",41.0,70.0,0,Nov-2020
2020-12-01,53,253225.0,3.07,12,"hughes, sd",38.0,94.0,0,Dec-2020
2021-01-01,54,239000.0,2.99,1,"hughes, sd",35.0,82.0,0,Jan-2021
2021-02-01,55,249675.0,2.93,2,"hughes, sd",32.0,43.0,0,Feb-2021
2021-03-01,56,221250.0,2.88,3,"hughes, sd",32.0,58.0,0,Mar-2021
2021-04-01,57,187500.0,2.84,4,"hughes, sd",21.0,44.0,0,Apr-2021
2021-05-01,58,187950.0,2.71,5,"hughes, sd",22.0,54.0,0,May-2021
2021-06-01,59,233750.0,2.79,6,"hughes, sd",19.0,51.0,0,Jun-2021
2021-07-01,60,275000.0,2.97,7,"hughes, sd",21.0,28.0,0,Jul-2021
2021-08-01,61,255000.0,3.17,8,"hughes, sd",27.0,36.0,0,Aug-2021
2021-09-01,62,306000.0,3.18,9,"hughes, sd",21.0,43.0,0,Sep-2021
2021-10-01,63,329000.0,3.0,10,"hughes, sd",21.0,33.0,0,Oct-2021
2021-11-01,64,339750.0,3.02,11,"hughes, sd",18.0,55.0,0,Nov-2021
2021-12-01,65,363725.0,2.98,12,"hughes, sd",12.0,78.0,0,Dec-2021
2022-01-01,66,399450.0,2.87,1,"hughes, sd",10.0,84.0,0,Jan-2022
2022-02-01,67,399450.0,3.01,2,"hughes, sd",10.0,54.0,0,Feb-2022
2022-03-01,68,379225.0,3.14,3,"hughes, sd",13.0,18.0,0,Mar-2022
2022-04-01,69,369950.0,3.1,4,"hughes, sd",10.0,23.0,0,Apr-2022
2022-05-01,70,335250.0,3.12,5,"hughes, sd",12.0,26.0,0,May-2022
2022-06-01,71,364750.0,3.56,6,"hughes, sd",16.0,30.0,0,Jun-2022
2022-07-01,72,356500.0,3.92,7,"hughes, sd",22.0,25.0,0,Jul-2022
2022-08-01,73,349250.0,4.67,8,"hughes, sd",22.0,42.0,0,Aug-2022
2022-09-01,74,357500.0,5.11,9,"hughes, sd",15.0,46.0,454315,Sep-2022
2022-10-01,75,349500.0,5.3,10,"hughes, sd",13.0,34.0,454248,Oct-2022
2022-11-01,76,337175.0,5.81,11,"hughes, sd",21.0,24.0,454385,Nov-2022
2022-12-01,77,355000.0,5.54,12,"hughes, sd",16.0,44.0,455088,Dec-2022
2023-01-01,78,352750.0,5.55,1,"hughes, sd",13.0,69.0,452856,Jan-2023
2023-02-01,79,355000.0,6.7,2,"hughes, sd",12.0,83.0,453128,Feb-2023
2023-03-01,80,339325.0,7.08,3,"hughes, sd",18.0,31.0,453671,Mar-2023
2023-04-01,81,339900.0,7.08,4,"hughes, sd",19.0,43.0,453871,Apr-2023
2023-05-01,82,328750.0,6.49,5,"hughes, sd",19.0,41.0,455482,May-2023
2023-06-01,83,303250.0,6.48,6,"hughes, sd",20.0,40.0,455988,Jun-2023
2023-07-01,84,328500.0,6.5,7,"hughes, sd",21.0,27.0,455510,Jul-2023
