date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,114900.0,3.72,7,"huron, mi",454.0,76.0,0,Jul-2016
2016-08-01,1,116550.0,3.73,8,"huron, mi",445.0,92.0,0,Aug-2016
2016-09-01,2,117600.0,3.66,9,"huron, mi",419.0,101.0,0,Sep-2016
2016-10-01,3,114800.0,3.64,10,"huron, mi",391.0,108.0,0,Oct-2016
2016-11-01,4,109875.0,3.66,11,"huron, mi",348.0,126.0,0,Nov-2016
2016-12-01,5,104900.0,3.48,12,"huron, mi",306.0,134.0,0,Dec-2016
2017-01-01,6,97125.0,3.45,1,"huron, mi",271.0,150.0,0,Jan-2017
2017-02-01,7,94975.0,3.5,2,"huron, mi",269.0,157.0,0,Feb-2017
2017-03-01,8,98925.0,3.52,3,"huron, mi",261.0,153.0,0,Mar-2017
2017-04-01,9,104900.0,4.03,4,"huron, mi",276.0,84.0,0,Apr-2017
2017-05-01,10,114950.0,4.32,5,"huron, mi",319.0,67.0,0,May-2017
2017-06-01,11,115675.0,4.2,6,"huron, mi",354.0,62.0,0,Jun-2017
2017-07-01,12,119250.0,4.19,7,"huron, mi",365.0,65.0,0,Jul-2017
2017-08-01,13,119900.0,4.3,8,"huron, mi",376.0,75.0,0,Aug-2017
2017-09-01,14,119900.0,4.1,9,"huron, mi",367.0,90.0,0,Sep-2017
2017-10-01,15,119900.0,4.05,10,"huron, mi",321.0,102.0,0,Oct-2017
2017-11-01,16,119125.0,3.94,11,"huron, mi",294.0,120.0,0,Nov-2017
2017-12-01,17,104900.0,4.03,12,"huron, mi",270.0,135.0,0,Dec-2017
2018-01-01,18,104800.0,3.93,1,"huron, mi",240.0,155.0,0,Jan-2018
2018-02-01,19,115000.0,3.83,2,"huron, mi",229.0,168.0,0,Feb-2018
2018-03-01,20,119250.0,3.94,3,"huron, mi",223.0,169.0,0,Mar-2018
2018-04-01,21,127150.0,3.95,4,"huron, mi",234.0,140.0,0,Apr-2018
2018-05-01,22,132975.0,3.99,5,"huron, mi",259.0,61.0,0,May-2018
2018-06-01,23,134900.0,4.15,6,"huron, mi",282.0,57.0,0,Jun-2018
2018-07-01,24,131000.0,4.4,7,"huron, mi",312.0,63.0,0,Jul-2018
2018-08-01,25,129950.0,4.46,8,"huron, mi",314.0,70.0,0,Aug-2018
2018-09-01,26,133000.0,4.58,9,"huron, mi",309.0,80.0,0,Sep-2018
2018-10-01,27,129669.0,4.66,10,"huron, mi",291.0,96.0,0,Oct-2018
2018-11-01,28,129900.0,4.62,11,"huron, mi",250.0,105.0,0,Nov-2018
2018-12-01,29,137950.0,4.54,12,"huron, mi",230.0,119.0,0,Dec-2018
2019-01-01,30,139675.0,4.6,1,"huron, mi",193.0,139.0,0,Jan-2019
2019-02-01,31,134900.0,4.72,2,"huron, mi",193.0,149.0,0,Feb-2019
2019-03-01,32,132564.0,4.9,3,"huron, mi",198.0,143.0,0,Mar-2019
2019-04-01,33,131339.0,4.94,4,"huron, mi",207.0,115.0,0,Apr-2019
2019-05-01,34,137450.0,4.75,5,"huron, mi",230.0,66.0,0,May-2019
