date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,114950.0,3.72,7,"ingham, mi",1152.0,45.0,0,Jul-2016
2016-08-01,1,112450.0,3.73,8,"ingham, mi",1206.0,50.0,0,Aug-2016
2016-09-01,2,111749.0,3.66,9,"ingham, mi",1205.0,54.0,0,Sep-2016
2016-10-01,3,108950.0,3.64,10,"ingham, mi",1223.0,61.0,0,Oct-2016
2016-11-01,4,105450.0,3.66,11,"ingham, mi",1173.0,64.0,0,Nov-2016
2016-12-01,5,99900.0,3.48,12,"ingham, mi",1028.0,74.0,0,Dec-2016
2017-01-01,6,94725.0,3.45,1,"ingham, mi",942.0,80.0,0,Jan-2017
2017-02-01,7,95625.0,3.5,2,"ingham, mi",896.0,78.0,0,Feb-2017
2017-03-01,8,99450.0,3.52,3,"ingham, mi",863.0,60.0,0,Mar-2017
2017-04-01,9,106900.0,4.03,4,"ingham, mi",828.0,50.0,0,Apr-2017
2017-05-01,10,117850.0,4.32,5,"ingham, mi",852.0,41.0,0,May-2017
2017-06-01,11,125400.0,4.2,6,"ingham, mi",890.0,40.0,0,Jun-2017
2017-07-01,12,129900.0,4.19,7,"ingham, mi",962.0,43.0,0,Jul-2017
2017-08-01,13,129900.0,4.3,8,"ingham, mi",1010.0,50.0,0,Aug-2017
2017-09-01,14,129000.0,4.1,9,"ingham, mi",1004.0,58.0,0,Sep-2017
2017-10-01,15,124950.0,4.05,10,"ingham, mi",978.0,58.0,0,Oct-2017
2017-11-01,16,124400.0,3.94,11,"ingham, mi",912.0,57.0,0,Nov-2017
2017-12-01,17,114900.0,4.03,12,"ingham, mi",804.0,71.0,0,Dec-2017
2018-01-01,18,109475.0,3.93,1,"ingham, mi",718.0,76.0,0,Jan-2018
2018-02-01,19,111500.0,3.83,2,"ingham, mi",681.0,65.0,0,Feb-2018
2018-03-01,20,114950.0,3.94,3,"ingham, mi",644.0,47.0,0,Mar-2018
