date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,149900.0,3.72,7,"iowa, ia",81.0,71.0,0,Jul-2016
2016-08-01,1,140900.0,3.73,8,"iowa, ia",76.0,71.0,0,Aug-2016
2016-09-01,2,146500.0,3.66,9,"iowa, ia",74.0,80.0,0,Sep-2016
2016-10-01,3,149900.0,3.64,10,"iowa, ia",78.0,57.0,0,Oct-2016
2016-11-01,4,149925.0,3.66,11,"iowa, ia",75.0,57.0,0,Nov-2016
2016-12-01,5,158000.0,3.48,12,"iowa, ia",65.0,78.0,0,Dec-2016
2017-01-01,6,155000.0,3.45,1,"iowa, ia",64.0,87.0,0,Jan-2017
2017-02-01,7,150000.0,3.5,2,"iowa, ia",69.0,83.0,0,Feb-2017
2017-03-01,8,157450.0,3.52,3,"iowa, ia",72.0,54.0,0,Mar-2017
2017-04-01,9,159900.0,4.03,4,"iowa, ia",70.0,57.0,0,Apr-2017
2017-05-01,10,149950.0,4.32,5,"iowa, ia",82.0,51.0,0,May-2017
2017-06-01,11,157450.0,4.2,6,"iowa, ia",82.0,46.0,0,Jun-2017
2017-07-01,12,157400.0,4.19,7,"iowa, ia",81.0,64.0,0,Jul-2017
2017-08-01,13,138500.0,4.3,8,"iowa, ia",77.0,78.0,0,Aug-2017
2017-09-01,14,165450.0,4.1,9,"iowa, ia",76.0,84.0,0,Sep-2017
2017-10-01,15,166650.0,4.05,10,"iowa, ia",74.0,66.0,0,Oct-2017
2017-11-01,16,160900.0,3.94,11,"iowa, ia",67.0,82.0,0,Nov-2017
2017-12-01,17,151000.0,4.03,12,"iowa, ia",55.0,88.0,0,Dec-2017
2018-01-01,18,159875.0,3.93,1,"iowa, ia",52.0,96.0,0,Jan-2018
2018-02-01,19,156500.0,3.83,2,"iowa, ia",55.0,60.0,0,Feb-2018
2018-03-01,20,151000.0,3.94,3,"iowa, ia",51.0,45.0,0,Mar-2018
2018-04-01,21,159975.0,3.95,4,"iowa, ia",50.0,43.0,0,Apr-2018
2018-05-01,22,151450.0,3.99,5,"iowa, ia",52.0,41.0,0,May-2018
2018-06-01,23,140000.0,4.15,6,"iowa, ia",42.0,54.0,0,Jun-2018
2018-07-01,24,127475.0,4.4,7,"iowa, ia",41.0,41.0,0,Jul-2018
2018-08-01,25,138450.0,4.46,8,"iowa, ia",45.0,49.0,0,Aug-2018
2018-09-01,26,138500.0,4.58,9,"iowa, ia",47.0,51.0,0,Sep-2018
2018-10-01,27,148600.0,4.66,10,"iowa, ia",52.0,60.0,0,Oct-2018
2018-11-01,28,149950.0,4.62,11,"iowa, ia",44.0,77.0,0,Nov-2018
2018-12-01,29,138500.0,4.54,12,"iowa, ia",36.0,68.0,0,Dec-2018
2019-01-01,30,117450.0,4.6,1,"iowa, ia",33.0,85.0,0,Jan-2019
2019-02-01,31,145000.0,4.72,2,"iowa, ia",33.0,85.0,0,Feb-2019
2019-03-01,32,141286.0,4.9,3,"iowa, ia",37.0,73.0,0,Mar-2019
2019-04-01,33,163261.0,4.94,4,"iowa, ia",40.0,60.0,0,Apr-2019
2019-05-01,34,173850.0,4.75,5,"iowa, ia",48.0,43.0,0,May-2019
2019-06-01,35,169950.0,4.51,6,"iowa, ia",54.0,46.0,0,Jun-2019
2019-07-01,36,169900.0,4.41,7,"iowa, ia",61.0,48.0,0,Jul-2019
2019-08-01,37,166973.0,4.41,8,"iowa, ia",57.0,54.0,0,Aug-2019
2019-09-01,38,165807.0,4.2,9,"iowa, ia",50.0,55.0,0,Sep-2019
2019-10-01,39,164900.0,4.14,10,"iowa, ia",47.0,55.0,0,Oct-2019
2019-11-01,40,169950.0,3.84,11,"iowa, ia",48.0,53.0,0,Nov-2019
2019-12-01,41,187000.0,3.81,12,"iowa, ia",45.0,73.0,0,Dec-2019
2020-01-01,42,182000.0,3.75,1,"iowa, ia",47.0,88.0,0,Jan-2020
2020-02-01,43,178000.0,3.73,2,"iowa, ia",48.0,65.0,0,Feb-2020
2020-03-01,44,185000.0,3.78,3,"iowa, ia",62.0,43.0,0,Mar-2020
2020-04-01,45,174350.0,3.75,4,"iowa, ia",66.0,42.0,0,Apr-2020
2020-05-01,46,169900.0,3.74,5,"iowa, ia",71.0,58.0,0,May-2020
2020-06-01,47,166675.0,3.72,6,"iowa, ia",58.0,67.0,0,Jun-2020
2020-07-01,48,179000.0,3.49,7,"iowa, ia",55.0,60.0,0,Jul-2020
2020-08-01,49,154000.0,3.65,8,"iowa, ia",54.0,39.0,0,Aug-2020
2020-09-01,50,158450.0,3.33,9,"iowa, ia",47.0,60.0,0,Sep-2020
2020-10-01,51,167250.0,3.28,10,"iowa, ia",39.0,75.0,0,Oct-2020
2020-11-01,52,159500.0,3.21,11,"iowa, ia",34.0,78.0,0,Nov-2020
2020-12-01,53,156250.0,3.07,12,"iowa, ia",27.0,92.0,0,Dec-2020
2021-01-01,54,155750.0,2.99,1,"iowa, ia",21.0,96.0,0,Jan-2021
2021-02-01,55,151725.0,2.93,2,"iowa, ia",22.0,56.0,0,Feb-2021
2021-03-01,56,168725.0,2.88,3,"iowa, ia",22.0,41.0,0,Mar-2021
2021-04-01,57,165000.0,2.84,4,"iowa, ia",28.0,27.0,0,Apr-2021
2021-05-01,58,174000.0,2.71,5,"iowa, ia",26.0,44.0,0,May-2021
2021-06-01,59,176950.0,2.79,6,"iowa, ia",21.0,45.0,0,Jun-2021
2021-07-01,60,154900.0,2.97,7,"iowa, ia",20.0,36.0,0,Jul-2021
2021-08-01,61,181975.0,3.17,8,"iowa, ia",23.0,17.0,0,Aug-2021
2021-09-01,62,183700.0,3.18,9,"iowa, ia",33.0,28.0,0,Sep-2021
2021-10-01,63,170000.0,3.0,10,"iowa, ia",35.0,53.0,0,Oct-2021
2021-11-01,64,155000.0,3.02,11,"iowa, ia",30.0,48.0,0,Nov-2021
2021-12-01,65,145000.0,2.98,12,"iowa, ia",24.0,47.0,0,Dec-2021
2022-01-01,66,144950.0,2.87,1,"iowa, ia",22.0,61.0,0,Jan-2022
2022-02-01,67,144500.0,3.01,2,"iowa, ia",15.0,75.0,0,Feb-2022
