date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,114900.0,3.72,7,"jasper, mo",792.0,68.0,0,Jul-2016
2016-08-01,1,111950.0,3.73,8,"jasper, mo",764.0,72.0,0,Aug-2016
2016-09-01,2,113925.0,3.66,9,"jasper, mo",741.0,83.0,0,Sep-2016
2016-10-01,3,111500.0,3.64,10,"jasper, mo",718.0,85.0,0,Oct-2016
2016-11-01,4,108865.0,3.66,11,"jasper, mo",675.0,87.0,0,Nov-2016
2016-12-01,5,106500.0,3.48,12,"jasper, mo",631.0,89.0,0,Dec-2016
2017-01-01,6,108950.0,3.45,1,"jasper, mo",570.0,82.0,0,Jan-2017
2017-02-01,7,108950.0,3.5,2,"jasper, mo",557.0,70.0,0,Feb-2017
2017-03-01,8,108250.0,3.52,3,"jasper, mo",535.0,61.0,0,Mar-2017
2017-04-01,9,115900.0,4.03,4,"jasper, mo",520.0,58.0,0,Apr-2017
2017-05-01,10,119950.0,4.32,5,"jasper, mo",515.0,56.0,0,May-2017
2017-06-01,11,119900.0,4.2,6,"jasper, mo",522.0,57.0,0,Jun-2017
2017-07-01,12,124900.0,4.19,7,"jasper, mo",589.0,50.0,0,Jul-2017
2017-08-01,13,119925.0,4.3,8,"jasper, mo",623.0,52.0,0,Aug-2017
2017-09-01,14,119900.0,4.1,9,"jasper, mo",625.0,68.0,0,Sep-2017
2017-10-01,15,126250.0,4.05,10,"jasper, mo",601.0,75.0,0,Oct-2017
2017-11-01,16,124725.0,3.94,11,"jasper, mo",553.0,71.0,0,Nov-2017
2017-12-01,17,127500.0,4.03,12,"jasper, mo",529.0,71.0,0,Dec-2017
2018-01-01,18,128725.0,3.93,1,"jasper, mo",491.0,73.0,0,Jan-2018
2018-02-01,19,128475.0,3.83,2,"jasper, mo",473.0,77.0,0,Feb-2018
2018-03-01,20,129918.0,3.94,3,"jasper, mo",470.0,57.0,0,Mar-2018
