date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,69000.0,3.72,7,"jenkins, ga",17.0,75.0,0,Jul-2016
2016-08-01,1,85000.0,3.73,8,"jenkins, ga",17.0,82.0,0,Aug-2016
2016-09-01,2,85000.0,3.66,9,"jenkins, ga",17.0,76.0,0,Sep-2016
2016-10-01,3,74900.0,3.64,10,"jenkins, ga",16.0,81.0,0,Oct-2016
2016-11-01,4,80000.0,3.66,11,"jenkins, ga",14.0,84.0,0,Nov-2016
2016-12-01,5,85000.0,3.48,12,"jenkins, ga",12.0,117.0,0,Dec-2016
2017-01-01,6,85000.0,3.45,1,"jenkins, ga",12.0,115.0,0,Jan-2017
2017-02-01,7,100000.0,3.5,2,"jenkins, ga",12.0,85.0,0,Feb-2017
2017-03-01,8,99725.0,3.52,3,"jenkins, ga",12.0,74.0,0,Mar-2017
2017-04-01,9,100000.0,4.03,4,"jenkins, ga",12.0,97.0,0,Apr-2017
2017-05-01,10,99175.0,4.32,5,"jenkins, ga",15.0,105.0,0,May-2017
2017-06-01,11,102450.0,4.2,6,"jenkins, ga",13.0,94.0,0,Jun-2017
2017-07-01,12,79000.0,4.19,7,"jenkins, ga",17.0,60.0,0,Jul-2017
2017-08-01,13,115000.0,4.3,8,"jenkins, ga",20.0,61.0,0,Aug-2017
2017-09-01,14,89900.0,4.1,9,"jenkins, ga",17.0,83.0,0,Sep-2017
2017-10-01,15,97000.0,4.05,10,"jenkins, ga",18.0,84.0,0,Oct-2017
2017-11-01,16,79000.0,3.94,11,"jenkins, ga",19.0,111.0,0,Nov-2017
2017-12-01,17,112500.0,4.03,12,"jenkins, ga",17.0,129.0,0,Dec-2017
2018-01-01,18,112500.0,3.93,1,"jenkins, ga",18.0,161.0,0,Jan-2018
2018-02-01,19,113750.0,3.83,2,"jenkins, ga",17.0,187.0,0,Feb-2018
