date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,88900.0,3.72,7,"johnson, ga",22.0,136.0,0,Jul-2016
2016-08-01,1,119950.0,3.73,8,"johnson, ga",18.0,146.0,0,Aug-2016
2016-09-01,2,139950.0,3.66,9,"johnson, ga",14.0,157.0,0,Sep-2016
2016-10-01,3,124450.0,3.64,10,"johnson, ga",12.0,137.0,0,Oct-2016
2016-11-01,4,124450.0,3.66,11,"johnson, ga",12.0,134.0,0,Nov-2016
2016-12-01,5,138000.0,3.48,12,"johnson, ga",13.0,135.0,0,Dec-2016
2017-01-01,6,124450.0,3.45,1,"johnson, ga",11.0,147.0,0,Jan-2017
2017-02-01,7,134613.0,3.5,2,"johnson, ga",13.0,132.0,0,Feb-2017
2017-03-01,8,117175.0,3.52,3,"johnson, ga",16.0,121.0,0,Mar-2017
2017-04-01,9,111950.0,4.03,4,"johnson, ga",17.0,81.0,0,Apr-2017
2017-05-01,10,123088.0,4.32,5,"johnson, ga",21.0,86.0,0,May-2017
2017-06-01,11,124450.0,4.2,6,"johnson, ga",26.0,102.0,0,Jun-2017
2017-07-01,12,119225.0,4.19,7,"johnson, ga",25.0,121.0,0,Jul-2017
2017-08-01,13,99100.0,4.3,8,"johnson, ga",23.0,119.0,0,Aug-2017
2017-09-01,14,111400.0,4.1,9,"johnson, ga",24.0,143.0,0,Sep-2017
2017-10-01,15,125000.0,4.05,10,"johnson, ga",23.0,155.0,0,Oct-2017
2017-11-01,16,123700.0,3.94,11,"johnson, ga",22.0,117.0,0,Nov-2017
2017-12-01,17,120000.0,4.03,12,"johnson, ga",22.0,113.0,0,Dec-2017
2018-01-01,18,120000.0,3.93,1,"johnson, ga",19.0,123.0,0,Jan-2018
2018-02-01,19,110000.0,3.83,2,"johnson, ga",23.0,97.0,0,Feb-2018
2018-03-01,20,120000.0,3.94,3,"johnson, ga",20.0,124.0,0,Mar-2018
2018-04-01,21,112500.0,3.95,4,"johnson, ga",19.0,103.0,0,Apr-2018
2018-05-01,22,120000.0,3.99,5,"johnson, ga",18.0,104.0,0,May-2018
2018-06-01,23,112500.0,4.15,6,"johnson, ga",19.0,121.0,0,Jun-2018
2018-07-01,24,108725.0,4.4,7,"johnson, ga",17.0,95.0,0,Jul-2018
2018-08-01,25,108725.0,4.46,8,"johnson, ga",17.0,116.0,0,Aug-2018
2018-09-01,26,105000.0,4.58,9,"johnson, ga",15.0,129.0,0,Sep-2018
2018-10-01,27,105000.0,4.66,10,"johnson, ga",14.0,136.0,0,Oct-2018
2018-11-01,28,105000.0,4.62,11,"johnson, ga",14.0,88.0,0,Nov-2018
2018-12-01,29,112450.0,4.54,12,"johnson, ga",13.0,65.0,0,Dec-2018
2019-01-01,30,105000.0,4.6,1,"johnson, ga",11.0,99.0,0,Jan-2019
2019-02-01,31,108500.0,4.72,2,"johnson, ga",12.0,106.0,0,Feb-2019
2019-03-01,32,116000.0,4.9,3,"johnson, ga",11.0,114.0,0,Mar-2019
2019-04-01,33,108500.0,4.94,4,"johnson, ga",11.0,101.0,0,Apr-2019
2019-05-01,34,105000.0,4.75,5,"johnson, ga",13.0,81.0,0,May-2019
2019-06-01,35,105000.0,4.51,6,"johnson, ga",18.0,78.0,0,Jun-2019
2019-07-01,36,103750.0,4.41,7,"johnson, ga",20.0,62.0,0,Jul-2019
2019-08-01,37,100636.0,4.41,8,"johnson, ga",19.0,78.0,0,Aug-2019
2019-09-01,38,94091.0,4.2,9,"johnson, ga",20.0,95.0,0,Sep-2019
2019-10-01,39,95227.0,4.14,10,"johnson, ga",21.0,106.0,0,Oct-2019
2019-11-01,40,94500.0,3.84,11,"johnson, ga",22.0,81.0,0,Nov-2019
2019-12-01,41,75900.0,3.81,12,"johnson, ga",21.0,97.0,0,Dec-2019
2020-01-01,42,76610.0,3.75,1,"johnson, ga",23.0,101.0,0,Jan-2020
2020-02-01,43,76240.0,3.73,2,"johnson, ga",21.0,104.0,0,Feb-2020
2020-03-01,44,83810.0,3.78,3,"johnson, ga",19.0,103.0,0,Mar-2020
2020-04-01,45,86035.0,3.75,4,"johnson, ga",16.0,135.0,0,Apr-2020
2020-05-01,46,84450.0,3.74,5,"johnson, ga",13.0,192.0,0,May-2020
2020-06-01,47,69625.0,3.72,6,"johnson, ga",10.0,158.0,0,Jun-2020
2020-07-01,48,82450.0,3.49,7,"johnson, ga",12.0,153.0,0,Jul-2020
2020-08-01,49,79900.0,3.65,8,"johnson, ga",13.0,84.0,0,Aug-2020
2020-09-01,50,83725.0,3.33,9,"johnson, ga",13.0,71.0,0,Sep-2020
2020-10-01,51,85000.0,3.28,10,"johnson, ga",13.0,75.0,0,Oct-2020
2020-11-01,52,96450.0,3.21,11,"johnson, ga",16.0,93.0,0,Nov-2020
2020-12-01,53,109475.0,3.07,12,"johnson, ga",14.0,118.0,0,Dec-2020
2021-01-01,54,184900.0,2.99,1,"johnson, ga",9.0,152.0,0,Jan-2021
2021-02-01,55,184900.0,2.93,2,"johnson, ga",7.0,144.0,0,Feb-2021
2021-03-01,56,145975.0,2.88,3,"johnson, ga",9.0,117.0,0,Mar-2021
2021-04-01,57,184900.0,2.84,4,"johnson, ga",5.0,79.0,0,Apr-2021
2021-05-01,58,117000.0,2.71,5,"johnson, ga",7.0,71.0,0,May-2021
2021-06-01,59,85950.0,2.79,6,"johnson, ga",5.0,69.0,0,Jun-2021
2021-07-01,60,72000.0,2.97,7,"johnson, ga",5.0,87.0,0,Jul-2021
2021-08-01,61,82275.0,3.17,8,"johnson, ga",7.0,86.0,0,Aug-2021
2021-09-01,62,76560.0,3.18,9,"johnson, ga",5.0,127.0,0,Sep-2021
2021-10-01,63,70780.0,3.0,10,"johnson, ga",8.0,39.0,0,Oct-2021
2021-11-01,64,144825.0,3.02,11,"johnson, ga",9.0,36.0,0,Nov-2021
2021-12-01,65,110900.0,2.98,12,"johnson, ga",10.0,61.0,0,Dec-2021
2022-01-01,66,98900.0,2.87,1,"johnson, ga",9.0,92.0,0,Jan-2022
2022-02-01,67,93450.0,3.01,2,"johnson, ga",7.0,101.0,0,Feb-2022
2022-03-01,68,90450.0,3.14,3,"johnson, ga",9.0,40.0,0,Mar-2022
2022-04-01,69,75550.0,3.1,4,"johnson, ga",7.0,66.0,0,Apr-2022
2022-05-01,70,63775.0,3.12,5,"johnson, ga",7.0,85.0,0,May-2022
2022-06-01,71,62500.0,3.56,6,"johnson, ga",6.0,113.0,0,Jun-2022
2022-07-01,72,149900.0,3.92,7,"johnson, ga",9.0,35.0,0,Jul-2022
2022-08-01,73,173725.0,4.67,8,"johnson, ga",11.0,39.0,0,Aug-2022
2022-09-01,74,160000.0,5.11,9,"johnson, ga",11.0,65.0,162470,Sep-2022
2022-10-01,75,159250.0,5.3,10,"johnson, ga",13.0,69.0,168347,Oct-2022
2022-11-01,76,175750.0,5.81,11,"johnson, ga",13.0,106.0,170622,Nov-2022
2022-12-01,77,146950.0,5.54,12,"johnson, ga",14.0,121.0,169714,Dec-2022
2023-01-01,78,162250.0,5.55,1,"johnson, ga",12.0,169.0,154580,Jan-2023
2023-02-01,79,128000.0,6.7,2,"johnson, ga",14.0,108.0,155923,Feb-2023
2023-03-01,80,147000.0,7.08,3,"johnson, ga",11.0,95.0,157929,Mar-2023
2023-04-01,81,161000.0,7.08,4,"johnson, ga",8.0,65.0,148619,Apr-2023
2023-05-01,82,158950.0,6.49,5,"johnson, ga",7.0,97.0,161859,May-2023
2023-06-01,83,196475.0,6.48,6,"johnson, ga",7.0,79.0,162011,Jun-2023
2023-07-01,84,286000.0,6.5,7,"johnson, ga",9.0,61.0,167251,Jul-2023
