date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,170000.0,3.72,7,"judith basin, mt",16.0,78.0,0,Jul-2016
2016-08-01,1,156475.0,3.73,8,"judith basin, mt",12.0,108.0,0,Aug-2016
2016-09-01,2,151500.0,3.66,9,"judith basin, mt",12.0,133.0,0,Sep-2016
2016-10-01,3,151500.0,3.64,10,"judith basin, mt",12.0,158.0,0,Oct-2016
2016-11-01,4,143750.0,3.66,11,"judith basin, mt",8.0,148.0,0,Nov-2016
2016-12-01,5,110000.0,3.48,12,"judith basin, mt",10.0,97.0,0,Dec-2016
2017-01-01,6,86250.0,3.45,1,"judith basin, mt",8.0,113.0,0,Jan-2017
2017-02-01,7,100000.0,3.5,2,"judith basin, mt",7.0,171.0,0,Feb-2017
2017-03-01,8,136500.0,3.52,3,"judith basin, mt",8.0,122.0,0,Mar-2017
2017-04-01,9,118000.0,4.03,4,"judith basin, mt",10.0,41.0,0,Apr-2017
2017-05-01,10,129900.0,4.32,5,"judith basin, mt",13.0,49.0,0,May-2017
2017-06-01,11,119950.0,4.2,6,"judith basin, mt",13.0,62.0,0,Jun-2017
2017-07-01,12,142450.0,4.19,7,"judith basin, mt",13.0,75.0,0,Jul-2017
2017-08-01,13,136400.0,4.3,8,"judith basin, mt",13.0,55.0,0,Aug-2017
2017-09-01,14,153000.0,4.1,9,"judith basin, mt",9.0,88.0,0,Sep-2017
2017-10-01,15,153500.0,4.05,10,"judith basin, mt",11.0,69.0,0,Oct-2017
2017-11-01,16,139000.0,3.94,11,"judith basin, mt",10.0,73.0,0,Nov-2017
2017-12-01,17,125750.0,4.03,12,"judith basin, mt",11.0,90.0,0,Dec-2017
2018-01-01,18,125750.0,3.93,1,"judith basin, mt",11.0,105.0,0,Jan-2018
2018-02-01,19,139000.0,3.83,2,"judith basin, mt",9.0,133.0,0,Feb-2018
