date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,599000.0,3.72,7,"kimble, tx",6.0,242.0,0,Jul-2016
2016-08-01,1,599000.0,3.73,8,"kimble, tx",7.0,193.0,0,Aug-2016
2016-09-01,2,599000.0,3.66,9,"kimble, tx",8.0,187.0,0,Sep-2016
2016-10-01,3,599000.0,3.64,10,"kimble, tx",11.0,58.0,0,Oct-2016
2016-11-01,4,599000.0,3.66,11,"kimble, tx",12.0,60.0,0,Nov-2016
2016-12-01,5,522500.0,3.48,12,"kimble, tx",9.0,83.0,0,Dec-2016
2017-01-01,6,550000.0,3.45,1,"kimble, tx",11.0,114.0,0,Jan-2017
2017-02-01,7,508750.0,3.5,2,"kimble, tx",13.0,130.0,0,Feb-2017
2017-03-01,8,483750.0,3.52,3,"kimble, tx",14.0,145.0,0,Mar-2017
2017-04-01,9,472500.0,4.03,4,"kimble, tx",13.0,142.0,0,Apr-2017
2017-05-01,10,439500.0,4.32,5,"kimble, tx",13.0,109.0,0,May-2017
2017-06-01,11,453375.0,4.2,6,"kimble, tx",13.0,130.0,0,Jun-2017
2017-07-01,12,495000.0,4.19,7,"kimble, tx",12.0,140.0,0,Jul-2017
2017-08-01,13,695000.0,4.3,8,"kimble, tx",9.0,134.0,0,Aug-2017
2017-09-01,14,695000.0,4.1,9,"kimble, tx",10.0,128.0,0,Sep-2017
2017-10-01,15,522500.0,4.05,10,"kimble, tx",11.0,68.0,0,Oct-2017
2017-11-01,16,403500.0,3.94,11,"kimble, tx",11.0,93.0,0,Nov-2017
2017-12-01,17,432000.0,4.03,12,"kimble, tx",9.0,77.0,0,Dec-2017
2018-01-01,18,472000.0,3.93,1,"kimble, tx",6.0,121.0,0,Jan-2018
2018-02-01,19,449000.0,3.83,2,"kimble, tx",8.0,123.0,0,Feb-2018
2018-03-01,20,424500.0,3.94,3,"kimble, tx",12.0,40.0,0,Mar-2018
2018-04-01,21,424500.0,3.95,4,"kimble, tx",12.0,63.0,0,Apr-2018
2018-05-01,22,450000.0,3.99,5,"kimble, tx",11.0,89.0,0,May-2018
2018-06-01,23,450000.0,4.15,6,"kimble, tx",10.0,121.0,0,Jun-2018
2018-07-01,24,450000.0,4.4,7,"kimble, tx",11.0,144.0,0,Jul-2018
2018-08-01,25,450000.0,4.46,8,"kimble, tx",10.0,102.0,0,Aug-2018
2018-09-01,26,567000.0,4.58,9,"kimble, tx",6.0,43.0,0,Sep-2018
2018-10-01,27,360500.0,4.66,10,"kimble, tx",6.0,48.0,0,Oct-2018
2018-11-01,28,352750.0,4.62,11,"kimble, tx",7.0,86.0,0,Nov-2018
2018-12-01,29,375000.0,4.54,12,"kimble, tx",10.0,102.0,0,Dec-2018
2019-01-01,30,375000.0,4.6,1,"kimble, tx",10.0,123.0,0,Jan-2019
2019-02-01,31,375000.0,4.72,2,"kimble, tx",11.0,139.0,0,Feb-2019
2019-03-01,32,364286.0,4.9,3,"kimble, tx",10.0,102.0,0,Mar-2019
2019-04-01,33,350000.0,4.94,4,"kimble, tx",9.0,105.0,0,Apr-2019
2019-05-01,34,368750.0,4.75,5,"kimble, tx",9.0,133.0,0,May-2019
2019-06-01,35,375000.0,4.51,6,"kimble, tx",8.0,136.0,0,Jun-2019
2019-07-01,36,395000.0,4.41,7,"kimble, tx",7.0,196.0,0,Jul-2019
