date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,329999.0,3.72,7,"king george, va",134.0,67.0,0,Jul-2016
2016-08-01,1,329700.0,3.73,8,"king george, va",141.0,52.0,0,Aug-2016
2016-09-01,2,334125.0,3.66,9,"king george, va",140.0,62.0,0,Sep-2016
2016-10-01,3,340170.0,3.64,10,"king george, va",130.0,75.0,0,Oct-2016
2016-11-01,4,339368.0,3.66,11,"king george, va",109.0,85.0,0,Nov-2016
2016-12-01,5,349000.0,3.48,12,"king george, va",96.0,81.0,0,Dec-2016
2017-01-01,6,349450.0,3.45,1,"king george, va",87.0,77.0,0,Jan-2017
2017-02-01,7,359900.0,3.5,2,"king george, va",81.0,81.0,0,Feb-2017
2017-03-01,8,364825.0,3.52,3,"king george, va",89.0,47.0,0,Mar-2017
2017-04-01,9,357000.0,4.03,4,"king george, va",104.0,44.0,0,Apr-2017
2017-05-01,10,355000.0,4.32,5,"king george, va",115.0,49.0,0,May-2017
2017-06-01,11,349700.0,4.2,6,"king george, va",116.0,51.0,0,Jun-2017
2017-07-01,12,340990.0,4.19,7,"king george, va",128.0,46.0,0,Jul-2017
2017-08-01,13,349900.0,4.3,8,"king george, va",122.0,57.0,0,Aug-2017
2017-09-01,14,352495.0,4.1,9,"king george, va",119.0,68.0,0,Sep-2017
2017-10-01,15,347875.0,4.05,10,"king george, va",115.0,70.0,0,Oct-2017
2017-11-01,16,349945.0,3.94,11,"king george, va",118.0,73.0,0,Nov-2017
2017-12-01,17,359000.0,4.03,12,"king george, va",104.0,66.0,0,Dec-2017
2018-01-01,18,349975.0,3.93,1,"king george, va",93.0,73.0,0,Jan-2018
2018-02-01,19,357945.0,3.83,2,"king george, va",88.0,83.0,0,Feb-2018
2018-03-01,20,349000.0,3.94,3,"king george, va",112.0,42.0,0,Mar-2018
2018-04-01,21,330000.0,3.95,4,"king george, va",124.0,41.0,0,Apr-2018
2018-05-01,22,341740.0,3.99,5,"king george, va",132.0,41.0,0,May-2018
2018-06-01,23,339900.0,4.15,6,"king george, va",129.0,56.0,0,Jun-2018
2018-07-01,24,353650.0,4.4,7,"king george, va",129.0,53.0,0,Jul-2018
2018-08-01,25,352425.0,4.46,8,"king george, va",142.0,47.0,0,Aug-2018
2018-09-01,26,354900.0,4.58,9,"king george, va",150.0,57.0,0,Sep-2018
2018-10-01,27,347475.0,4.66,10,"king george, va",142.0,70.0,0,Oct-2018
2018-11-01,28,349990.0,4.62,11,"king george, va",134.0,83.0,0,Nov-2018
2018-12-01,29,345000.0,4.54,12,"king george, va",117.0,68.0,0,Dec-2018
2019-01-01,30,349945.0,4.6,1,"king george, va",104.0,63.0,0,Jan-2019
2019-02-01,31,349950.0,4.72,2,"king george, va",92.0,44.0,0,Feb-2019
2019-03-01,32,355714.0,4.9,3,"king george, va",100.0,39.0,0,Mar-2019
2019-04-01,33,368675.0,4.94,4,"king george, va",113.0,42.0,0,Apr-2019
2019-05-01,34,364975.0,4.75,5,"king george, va",124.0,45.0,0,May-2019
2019-06-01,35,369900.0,4.51,6,"king george, va",130.0,50.0,0,Jun-2019
2019-07-01,36,369900.0,4.41,7,"king george, va",140.0,52.0,0,Jul-2019
2019-08-01,37,365809.0,4.41,8,"king george, va",140.0,61.0,0,Aug-2019
