date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,139900.0,3.72,7,"laclede, mo",227.0,94.0,0,Jul-2016
2016-08-01,1,144900.0,3.73,8,"laclede, mo",220.0,82.0,0,Aug-2016
2016-09-01,2,144700.0,3.66,9,"laclede, mo",216.0,84.0,0,Sep-2016
2016-10-01,3,148000.0,3.64,10,"laclede, mo",204.0,89.0,0,Oct-2016
2016-11-01,4,139900.0,3.66,11,"laclede, mo",201.0,101.0,0,Nov-2016
2016-12-01,5,139900.0,3.48,12,"laclede, mo",191.0,110.0,0,Dec-2016
2017-01-01,6,147250.0,3.45,1,"laclede, mo",164.0,116.0,0,Jan-2017
2017-02-01,7,148050.0,3.5,2,"laclede, mo",178.0,99.0,0,Feb-2017
2017-03-01,8,146500.0,3.52,3,"laclede, mo",187.0,97.0,0,Mar-2017
2017-04-01,9,148700.0,4.03,4,"laclede, mo",196.0,73.0,0,Apr-2017
2017-05-01,10,153675.0,4.32,5,"laclede, mo",207.0,83.0,0,May-2017
2017-06-01,11,160800.0,4.2,6,"laclede, mo",200.0,88.0,0,Jun-2017
2017-07-01,12,167000.0,4.19,7,"laclede, mo",187.0,82.0,0,Jul-2017
2017-08-01,13,151725.0,4.3,8,"laclede, mo",192.0,78.0,0,Aug-2017
2017-09-01,14,157700.0,4.1,9,"laclede, mo",199.0,80.0,0,Sep-2017
2017-10-01,15,163500.0,4.05,10,"laclede, mo",192.0,88.0,0,Oct-2017
2017-11-01,16,162050.0,3.94,11,"laclede, mo",182.0,107.0,0,Nov-2017
2017-12-01,17,164900.0,4.03,12,"laclede, mo",169.0,115.0,0,Dec-2017
2018-01-01,18,159450.0,3.93,1,"laclede, mo",151.0,119.0,0,Jan-2018
2018-02-01,19,159900.0,3.83,2,"laclede, mo",155.0,112.0,0,Feb-2018
2018-03-01,20,169700.0,3.94,3,"laclede, mo",154.0,102.0,0,Mar-2018
2018-04-01,21,171675.0,3.95,4,"laclede, mo",160.0,79.0,0,Apr-2018
2018-05-01,22,182050.0,3.99,5,"laclede, mo",170.0,71.0,0,May-2018
2018-06-01,23,179900.0,4.15,6,"laclede, mo",173.0,74.0,0,Jun-2018
2018-07-01,24,191800.0,4.4,7,"laclede, mo",164.0,78.0,0,Jul-2018
2018-08-01,25,189900.0,4.46,8,"laclede, mo",161.0,86.0,0,Aug-2018
2018-09-01,26,172400.0,4.58,9,"laclede, mo",160.0,77.0,0,Sep-2018
2018-10-01,27,171150.0,4.66,10,"laclede, mo",174.0,73.0,0,Oct-2018
2018-11-01,28,174900.0,4.62,11,"laclede, mo",178.0,78.0,0,Nov-2018
2018-12-01,29,169900.0,4.54,12,"laclede, mo",170.0,86.0,0,Dec-2018
2019-01-01,30,169900.0,4.6,1,"laclede, mo",144.0,97.0,0,Jan-2019
2019-02-01,31,177600.0,4.72,2,"laclede, mo",129.0,98.0,0,Feb-2019
2019-03-01,32,185829.0,4.9,3,"laclede, mo",123.0,84.0,0,Mar-2019
2019-04-01,33,182204.0,4.94,4,"laclede, mo",129.0,72.0,0,Apr-2019
2019-05-01,34,169900.0,4.75,5,"laclede, mo",137.0,53.0,0,May-2019
2019-06-01,35,189900.0,4.51,6,"laclede, mo",143.0,56.0,0,Jun-2019
2019-07-01,36,176900.0,4.41,7,"laclede, mo",148.0,62.0,0,Jul-2019
2019-08-01,37,173609.0,4.41,8,"laclede, mo",157.0,65.0,0,Aug-2019
2019-09-01,38,182773.0,4.2,9,"laclede, mo",161.0,66.0,0,Sep-2019
2019-10-01,39,186632.0,4.14,10,"laclede, mo",160.0,67.0,0,Oct-2019
2019-11-01,40,179900.0,3.84,11,"laclede, mo",153.0,77.0,0,Nov-2019
2019-12-01,41,179900.0,3.81,12,"laclede, mo",155.0,93.0,0,Dec-2019
2020-01-01,42,192400.0,3.75,1,"laclede, mo",132.0,101.0,0,Jan-2020
2020-02-01,43,197200.0,3.73,2,"laclede, mo",139.0,91.0,0,Feb-2020
2020-03-01,44,190425.0,3.78,3,"laclede, mo",151.0,78.0,0,Mar-2020
2020-04-01,45,181175.0,3.75,4,"laclede, mo",150.0,73.0,0,Apr-2020
2020-05-01,46,175000.0,3.74,5,"laclede, mo",144.0,85.0,0,May-2020
2020-06-01,47,182925.0,3.72,6,"laclede, mo",129.0,100.0,0,Jun-2020
2020-07-01,48,200300.0,3.49,7,"laclede, mo",108.0,101.0,0,Jul-2020
2020-08-01,49,199900.0,3.65,8,"laclede, mo",106.0,81.0,0,Aug-2020
2020-09-01,50,218450.0,3.33,9,"laclede, mo",97.0,76.0,0,Sep-2020
2020-10-01,51,219000.0,3.28,10,"laclede, mo",87.0,66.0,0,Oct-2020
2020-11-01,52,224125.0,3.21,11,"laclede, mo",71.0,70.0,0,Nov-2020
2020-12-01,53,209975.0,3.07,12,"laclede, mo",70.0,84.0,0,Dec-2020
2021-01-01,54,229450.0,2.99,1,"laclede, mo",55.0,73.0,0,Jan-2021
2021-02-01,55,224450.0,2.93,2,"laclede, mo",52.0,55.0,0,Feb-2021
2021-03-01,56,194675.0,2.88,3,"laclede, mo",48.0,44.0,0,Mar-2021
2021-04-01,57,207450.0,2.84,4,"laclede, mo",40.0,46.0,0,Apr-2021
2021-05-01,58,189900.0,2.71,5,"laclede, mo",58.0,32.0,0,May-2021
2021-06-01,59,189900.0,2.79,6,"laclede, mo",63.0,32.0,0,Jun-2021
2021-07-01,60,195000.0,2.97,7,"laclede, mo",85.0,30.0,0,Jul-2021
2021-08-01,61,197225.0,3.17,8,"laclede, mo",79.0,47.0,0,Aug-2021
2021-09-01,62,196475.0,3.18,9,"laclede, mo",77.0,54.0,0,Sep-2021
2021-10-01,63,195000.0,3.0,10,"laclede, mo",70.0,44.0,0,Oct-2021
2021-11-01,64,189900.0,3.02,11,"laclede, mo",67.0,51.0,0,Nov-2021
2021-12-01,65,197475.0,2.98,12,"laclede, mo",67.0,59.0,0,Dec-2021
2022-01-01,66,204950.0,2.87,1,"laclede, mo",58.0,68.0,0,Jan-2022
2022-02-01,67,194900.0,3.01,2,"laclede, mo",56.0,53.0,0,Feb-2022
2022-03-01,68,197450.0,3.14,3,"laclede, mo",47.0,54.0,0,Mar-2022
2022-04-01,69,229950.0,3.1,4,"laclede, mo",38.0,48.0,0,Apr-2022
2022-05-01,70,232425.0,3.12,5,"laclede, mo",52.0,34.0,0,May-2022
2022-06-01,71,202500.0,3.56,6,"laclede, mo",68.0,37.0,0,Jun-2022
2022-07-01,72,189000.0,3.92,7,"laclede, mo",67.0,40.0,0,Jul-2022
2022-08-01,73,202450.0,4.67,8,"laclede, mo",55.0,45.0,0,Aug-2022
2022-09-01,74,221000.0,5.11,9,"laclede, mo",60.0,46.0,201159,Sep-2022
2022-10-01,75,229750.0,5.3,10,"laclede, mo",70.0,45.0,202453,Oct-2022
2022-11-01,76,217700.0,5.81,11,"laclede, mo",73.0,48.0,204510,Nov-2022
2022-12-01,77,229500.0,5.54,12,"laclede, mo",71.0,64.0,205164,Dec-2022
2023-01-01,78,257425.0,5.55,1,"laclede, mo",55.0,75.0,204375,Jan-2023
2023-02-01,79,272400.0,6.7,2,"laclede, mo",49.0,69.0,208467,Feb-2023
2023-03-01,80,254900.0,7.08,3,"laclede, mo",47.0,57.0,208679,Mar-2023
2023-04-01,81,254900.0,7.08,4,"laclede, mo",54.0,36.0,209143,Apr-2023
2023-05-01,82,269900.0,6.49,5,"laclede, mo",58.0,35.0,207551,May-2023
2023-06-01,83,273650.0,6.48,6,"laclede, mo",57.0,45.0,208537,Jun-2023
2023-07-01,84,264900.0,6.5,7,"laclede, mo",65.0,47.0,208574,Jul-2023
