date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,173700.0,3.72,7,"lee, ms",407.0,79.0,0,Jul-2016
2016-08-01,1,174750.0,3.73,8,"lee, ms",400.0,80.0,0,Aug-2016
2016-09-01,2,169950.0,3.66,9,"lee, ms",401.0,81.0,0,Sep-2016
2016-10-01,3,170000.0,3.64,10,"lee, ms",406.0,81.0,0,Oct-2016
2016-11-01,4,167075.0,3.66,11,"lee, ms",413.0,84.0,0,Nov-2016
2016-12-01,5,165500.0,3.48,12,"lee, ms",395.0,92.0,0,Dec-2016
2017-01-01,6,166950.0,3.45,1,"lee, ms",362.0,101.0,0,Jan-2017
2017-02-01,7,167450.0,3.5,2,"lee, ms",346.0,104.0,0,Feb-2017
2017-03-01,8,167000.0,3.52,3,"lee, ms",363.0,69.0,0,Mar-2017
2017-04-01,9,176950.0,4.03,4,"lee, ms",358.0,59.0,0,Apr-2017
2017-05-01,10,175000.0,4.32,5,"lee, ms",381.0,65.0,0,May-2017
2017-06-01,11,179675.0,4.2,6,"lee, ms",376.0,74.0,0,Jun-2017
2017-07-01,12,178000.0,4.19,7,"lee, ms",393.0,80.0,0,Jul-2017
2017-08-01,13,170175.0,4.3,8,"lee, ms",408.0,75.0,0,Aug-2017
2017-09-01,14,169900.0,4.1,9,"lee, ms",409.0,74.0,0,Sep-2017
2017-10-01,15,174925.0,4.05,10,"lee, ms",397.0,79.0,0,Oct-2017
2017-11-01,16,179900.0,3.94,11,"lee, ms",390.0,81.0,0,Nov-2017
2017-12-01,17,187173.0,4.03,12,"lee, ms",360.0,86.0,0,Dec-2017
2018-01-01,18,187000.0,3.93,1,"lee, ms",356.0,91.0,0,Jan-2018
2018-02-01,19,188476.0,3.83,2,"lee, ms",364.0,89.0,0,Feb-2018
2018-03-01,20,186750.0,3.94,3,"lee, ms",374.0,67.0,0,Mar-2018
2018-04-01,21,194500.0,3.95,4,"lee, ms",391.0,66.0,0,Apr-2018
2018-05-01,22,196500.0,3.99,5,"lee, ms",395.0,70.0,0,May-2018
2018-06-01,23,189750.0,4.15,6,"lee, ms",402.0,71.0,0,Jun-2018
2018-07-01,24,192400.0,4.4,7,"lee, ms",412.0,74.0,0,Jul-2018
2018-08-01,25,189000.0,4.46,8,"lee, ms",410.0,76.0,0,Aug-2018
2018-09-01,26,184900.0,4.58,9,"lee, ms",400.0,77.0,0,Sep-2018
2018-10-01,27,185075.0,4.66,10,"lee, ms",365.0,87.0,0,Oct-2018
2018-11-01,28,188240.0,4.62,11,"lee, ms",345.0,87.0,0,Nov-2018
2018-12-01,29,194000.0,4.54,12,"lee, ms",308.0,96.0,0,Dec-2018
2019-01-01,30,196725.0,4.6,1,"lee, ms",307.0,101.0,0,Jan-2019
2019-02-01,31,197225.0,4.72,2,"lee, ms",313.0,81.0,0,Feb-2019
2019-03-01,32,210000.0,4.9,3,"lee, ms",317.0,68.0,0,Mar-2019
2019-04-01,33,222750.0,4.94,4,"lee, ms",325.0,65.0,0,Apr-2019
2019-05-01,34,224900.0,4.75,5,"lee, ms",332.0,59.0,0,May-2019
2019-06-01,35,227500.0,4.51,6,"lee, ms",325.0,67.0,0,Jun-2019
2019-07-01,36,225000.0,4.41,7,"lee, ms",329.0,79.0,0,Jul-2019
2019-08-01,37,223636.0,4.41,8,"lee, ms",323.0,75.0,0,Aug-2019
2019-09-01,38,221591.0,4.2,9,"lee, ms",319.0,67.0,0,Sep-2019
2019-10-01,39,220227.0,4.14,10,"lee, ms",310.0,64.0,0,Oct-2019
2019-11-01,40,215000.0,3.84,11,"lee, ms",287.0,73.0,0,Nov-2019
2019-12-01,41,214000.0,3.81,12,"lee, ms",268.0,87.0,0,Dec-2019
2020-01-01,42,211500.0,3.75,1,"lee, ms",260.0,96.0,0,Jan-2020
2020-02-01,43,203000.0,3.73,2,"lee, ms",267.0,89.0,0,Feb-2020
2020-03-01,44,214475.0,3.78,3,"lee, ms",260.0,73.0,0,Mar-2020
2020-04-01,45,219675.0,3.75,4,"lee, ms",258.0,75.0,0,Apr-2020
2020-05-01,46,215000.0,3.74,5,"lee, ms",239.0,75.0,0,May-2020
2020-06-01,47,229900.0,3.72,6,"lee, ms",213.0,74.0,0,Jun-2020
2020-07-01,48,237425.0,3.49,7,"lee, ms",203.0,80.0,0,Jul-2020
2020-08-01,49,224900.0,3.65,8,"lee, ms",198.0,62.0,0,Aug-2020
2020-09-01,50,219450.0,3.33,9,"lee, ms",183.0,58.0,0,Sep-2020
2020-10-01,51,220000.0,3.28,10,"lee, ms",168.0,63.0,0,Oct-2020
2020-11-01,52,252450.0,3.21,11,"lee, ms",158.0,64.0,0,Nov-2020
2020-12-01,53,249800.0,3.07,12,"lee, ms",159.0,69.0,0,Dec-2020
2021-01-01,54,249700.0,2.99,1,"lee, ms",143.0,74.0,0,Jan-2021
2021-02-01,55,254900.0,2.93,2,"lee, ms",118.0,72.0,0,Feb-2021
2021-03-01,56,254725.0,2.88,3,"lee, ms",122.0,48.0,0,Mar-2021
2021-04-01,57,248250.0,2.84,4,"lee, ms",103.0,45.0,0,Apr-2021
2021-05-01,58,232540.0,2.71,5,"lee, ms",110.0,43.0,0,May-2021
2021-06-01,59,243000.0,2.79,6,"lee, ms",126.0,33.0,0,Jun-2021
2021-07-01,60,239900.0,2.97,7,"lee, ms",131.0,43.0,0,Jul-2021
2021-08-01,61,235975.0,3.17,8,"lee, ms",153.0,42.0,0,Aug-2021
2021-09-01,62,242000.0,3.18,9,"lee, ms",153.0,56.0,0,Sep-2021
2021-10-01,63,249700.0,3.0,10,"lee, ms",170.0,64.0,0,Oct-2021
2021-11-01,64,258625.0,3.02,11,"lee, ms",157.0,61.0,0,Nov-2021
2021-12-01,65,253250.0,2.98,12,"lee, ms",149.0,72.0,0,Dec-2021
