date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,69900.0,3.72,7,"lincoln, mn",28.0,89.0,0,Jul-2016
2016-08-01,1,72400.0,3.73,8,"lincoln, mn",30.0,118.0,0,Aug-2016
2016-09-01,2,74900.0,3.66,9,"lincoln, mn",31.0,124.0,0,Sep-2016
2016-10-01,3,73395.0,3.64,10,"lincoln, mn",25.0,108.0,0,Oct-2016
2016-11-01,4,77500.0,3.66,11,"lincoln, mn",25.0,94.0,0,Nov-2016
2016-12-01,5,80375.0,3.48,12,"lincoln, mn",26.0,112.0,0,Dec-2016
2017-01-01,6,81169.0,3.45,1,"lincoln, mn",27.0,130.0,0,Jan-2017
2017-02-01,7,108656.0,3.5,2,"lincoln, mn",30.0,139.0,0,Feb-2017
2017-03-01,8,108656.0,3.52,3,"lincoln, mn",31.0,160.0,0,Mar-2017
2017-04-01,9,119900.0,4.03,4,"lincoln, mn",30.0,163.0,0,Apr-2017
2017-05-01,10,67475.0,4.32,5,"lincoln, mn",24.0,150.0,0,May-2017
2017-06-01,11,71206.0,4.2,6,"lincoln, mn",26.0,65.0,0,Jun-2017
2017-07-01,12,84900.0,4.19,7,"lincoln, mn",22.0,59.0,0,Jul-2017
2017-08-01,13,84200.0,4.3,8,"lincoln, mn",24.0,76.0,0,Aug-2017
2017-09-01,14,69200.0,4.1,9,"lincoln, mn",27.0,79.0,0,Sep-2017
2017-10-01,15,67000.0,4.05,10,"lincoln, mn",23.0,87.0,0,Oct-2017
2017-11-01,16,69200.0,3.94,11,"lincoln, mn",26.0,82.0,0,Nov-2017
2017-12-01,17,69900.0,4.03,12,"lincoln, mn",25.0,112.0,0,Dec-2017
2018-01-01,18,81175.0,3.93,1,"lincoln, mn",26.0,144.0,0,Jan-2018
2018-02-01,19,87625.0,3.83,2,"lincoln, mn",22.0,163.0,0,Feb-2018
2018-03-01,20,69900.0,3.94,3,"lincoln, mn",18.0,200.0,0,Mar-2018
2018-04-01,21,78975.0,3.95,4,"lincoln, mn",13.0,214.0,0,Apr-2018
2018-05-01,22,116125.0,3.99,5,"lincoln, mn",16.0,28.0,0,May-2018
2018-06-01,23,99500.0,4.15,6,"lincoln, mn",27.0,43.0,0,Jun-2018
2018-07-01,24,84063.0,4.4,7,"lincoln, mn",29.0,53.0,0,Jul-2018
2018-08-01,25,94725.0,4.46,8,"lincoln, mn",31.0,72.0,0,Aug-2018
2018-09-01,26,85000.0,4.58,9,"lincoln, mn",27.0,100.0,0,Sep-2018
