date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,199900.0,3.72,7,"livingston, la",535.0,47.0,0,Jul-2016
2016-08-01,1,196250.0,3.73,8,"livingston, la",503.0,56.0,0,Aug-2016
2016-09-01,2,206450.0,3.66,9,"livingston, la",422.0,53.0,0,Sep-2016
2016-10-01,3,185900.0,3.64,10,"livingston, la",440.0,47.0,0,Oct-2016
2016-11-01,4,189200.0,3.66,11,"livingston, la",418.0,54.0,0,Nov-2016
2016-12-01,5,191500.0,3.48,12,"livingston, la",416.0,68.0,0,Dec-2016
2017-01-01,6,191000.0,3.45,1,"livingston, la",423.0,61.0,0,Jan-2017
2017-02-01,7,191113.0,3.5,2,"livingston, la",407.0,56.0,0,Feb-2017
2017-03-01,8,191388.0,3.52,3,"livingston, la",427.0,47.0,0,Mar-2017
2017-04-01,9,194000.0,4.03,4,"livingston, la",488.0,40.0,0,Apr-2017
2017-05-01,10,199750.0,4.32,5,"livingston, la",540.0,46.0,0,May-2017
2017-06-01,11,204000.0,4.2,6,"livingston, la",591.0,50.0,0,Jun-2017
2017-07-01,12,204900.0,4.19,7,"livingston, la",651.0,51.0,0,Jul-2017
2017-08-01,13,202450.0,4.3,8,"livingston, la",673.0,56.0,0,Aug-2017
2017-09-01,14,199900.0,4.1,9,"livingston, la",675.0,65.0,0,Sep-2017
2017-10-01,15,199900.0,4.05,10,"livingston, la",681.0,68.0,0,Oct-2017
2017-11-01,16,199000.0,3.94,11,"livingston, la",701.0,69.0,0,Nov-2017
2017-12-01,17,199000.0,4.03,12,"livingston, la",674.0,74.0,0,Dec-2017
2018-01-01,18,197900.0,3.93,1,"livingston, la",661.0,77.0,0,Jan-2018
2018-02-01,19,199900.0,3.83,2,"livingston, la",642.0,75.0,0,Feb-2018
2018-03-01,20,204900.0,3.94,3,"livingston, la",677.0,57.0,0,Mar-2018
2018-04-01,21,204850.0,3.95,4,"livingston, la",679.0,58.0,0,Apr-2018
2018-05-01,22,206000.0,3.99,5,"livingston, la",695.0,60.0,0,May-2018
2018-06-01,23,209999.0,4.15,6,"livingston, la",739.0,56.0,0,Jun-2018
2018-07-01,24,211321.0,4.4,7,"livingston, la",758.0,62.0,0,Jul-2018
2018-08-01,25,209894.0,4.46,8,"livingston, la",770.0,68.0,0,Aug-2018
2018-09-01,26,212385.0,4.58,9,"livingston, la",771.0,72.0,0,Sep-2018
2018-10-01,27,209950.0,4.66,10,"livingston, la",766.0,75.0,0,Oct-2018
2018-11-01,28,213016.0,4.62,11,"livingston, la",770.0,77.0,0,Nov-2018
2018-12-01,29,215000.0,4.54,12,"livingston, la",739.0,85.0,0,Dec-2018
2019-01-01,30,215000.0,4.6,1,"livingston, la",733.0,89.0,0,Jan-2019
2019-02-01,31,215000.0,4.72,2,"livingston, la",759.0,84.0,0,Feb-2019
2019-03-01,32,218471.0,4.9,3,"livingston, la",778.0,70.0,0,Mar-2019
2019-04-01,33,219950.0,4.94,4,"livingston, la",806.0,60.0,0,Apr-2019
2019-05-01,34,223300.0,4.75,5,"livingston, la",839.0,60.0,0,May-2019
2019-06-01,35,224900.0,4.51,6,"livingston, la",844.0,71.0,0,Jun-2019
2019-07-01,36,220050.0,4.41,7,"livingston, la",844.0,77.0,0,Jul-2019
2019-08-01,37,219627.0,4.41,8,"livingston, la",836.0,77.0,0,Aug-2019
2019-09-01,38,219218.0,4.2,9,"livingston, la",819.0,76.0,0,Sep-2019
2019-10-01,39,218945.0,4.14,10,"livingston, la",804.0,78.0,0,Oct-2019
2019-11-01,40,218250.0,3.84,11,"livingston, la",771.0,78.0,0,Nov-2019
2019-12-01,41,216927.0,3.81,12,"livingston, la",745.0,85.0,0,Dec-2019
