date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,83500.0,3.72,7,"livingston, mo",35.0,127.0,0,Jul-2016
2016-08-01,1,83733.0,3.73,8,"livingston, mo",45.0,83.0,0,Aug-2016
2016-09-01,2,84925.0,3.66,9,"livingston, mo",45.0,64.0,0,Sep-2016
2016-10-01,3,75000.0,3.64,10,"livingston, mo",44.0,78.0,0,Oct-2016
2016-11-01,4,75500.0,3.66,11,"livingston, mo",40.0,109.0,0,Nov-2016
2016-12-01,5,76500.0,3.48,12,"livingston, mo",38.0,123.0,0,Dec-2016
2017-01-01,6,67425.0,3.45,1,"livingston, mo",30.0,125.0,0,Jan-2017
2017-02-01,7,88975.0,3.5,2,"livingston, mo",40.0,97.0,0,Feb-2017
2017-03-01,8,107450.0,3.52,3,"livingston, mo",42.0,108.0,0,Mar-2017
2017-04-01,9,92000.0,4.03,4,"livingston, mo",35.0,87.0,0,Apr-2017
2017-05-01,10,91625.0,4.32,5,"livingston, mo",36.0,106.0,0,May-2017
2017-06-01,11,89975.0,4.2,6,"livingston, mo",42.0,95.0,0,Jun-2017
2017-07-01,12,88900.0,4.19,7,"livingston, mo",47.0,83.0,0,Jul-2017
2017-08-01,13,86250.0,4.3,8,"livingston, mo",40.0,92.0,0,Aug-2017
2017-09-01,14,82500.0,4.1,9,"livingston, mo",42.0,106.0,0,Sep-2017
2017-10-01,15,78000.0,4.05,10,"livingston, mo",44.0,120.0,0,Oct-2017
2017-11-01,16,85625.0,3.94,11,"livingston, mo",51.0,107.0,0,Nov-2017
2017-12-01,17,91750.0,4.03,12,"livingston, mo",55.0,121.0,0,Dec-2017
2018-01-01,18,109950.0,3.93,1,"livingston, mo",54.0,120.0,0,Jan-2018
2018-02-01,19,115000.0,3.83,2,"livingston, mo",48.0,137.0,0,Feb-2018
2018-03-01,20,112450.0,3.94,3,"livingston, mo",50.0,143.0,0,Mar-2018
2018-04-01,21,104350.0,3.95,4,"livingston, mo",58.0,132.0,0,Apr-2018
2018-05-01,22,117700.0,3.99,5,"livingston, mo",64.0,70.0,0,May-2018
2018-06-01,23,119950.0,4.15,6,"livingston, mo",63.0,75.0,0,Jun-2018
2018-07-01,24,119925.0,4.4,7,"livingston, mo",65.0,80.0,0,Jul-2018
2018-08-01,25,117700.0,4.46,8,"livingston, mo",64.0,79.0,0,Aug-2018
2018-09-01,26,110000.0,4.58,9,"livingston, mo",59.0,94.0,0,Sep-2018
2018-10-01,27,87725.0,4.66,10,"livingston, mo",59.0,92.0,0,Oct-2018
2018-11-01,28,91000.0,4.62,11,"livingston, mo",56.0,101.0,0,Nov-2018
2018-12-01,29,79900.0,4.54,12,"livingston, mo",50.0,116.0,0,Dec-2018
2019-01-01,30,79900.0,4.6,1,"livingston, mo",43.0,136.0,0,Jan-2019
2019-02-01,31,89000.0,4.72,2,"livingston, mo",45.0,141.0,0,Feb-2019
2019-03-01,32,100129.0,4.9,3,"livingston, mo",50.0,116.0,0,Mar-2019
2019-04-01,33,109463.0,4.94,4,"livingston, mo",55.0,89.0,0,Apr-2019
2019-05-01,34,109500.0,4.75,5,"livingston, mo",53.0,91.0,0,May-2019
2019-06-01,35,113475.0,4.51,6,"livingston, mo",59.0,75.0,0,Jun-2019
2019-07-01,36,131850.0,4.41,7,"livingston, mo",56.0,92.0,0,Jul-2019
2019-08-01,37,132500.0,4.41,8,"livingston, mo",52.0,113.0,0,Aug-2019
2019-09-01,38,132500.0,4.2,9,"livingston, mo",50.0,119.0,0,Sep-2019
2019-10-01,39,132500.0,4.14,10,"livingston, mo",49.0,120.0,0,Oct-2019
2019-11-01,40,129900.0,3.84,11,"livingston, mo",49.0,73.0,0,Nov-2019
2019-12-01,41,128950.0,3.81,12,"livingston, mo",44.0,71.0,0,Dec-2019
2020-01-01,42,90475.0,3.75,1,"livingston, mo",61.0,97.0,0,Jan-2020
2020-02-01,43,95500.0,3.73,2,"livingston, mo",54.0,118.0,0,Feb-2020
2020-03-01,44,95500.0,3.78,3,"livingston, mo",49.0,121.0,0,Mar-2020
2020-04-01,45,111475.0,3.75,4,"livingston, mo",48.0,129.0,0,Apr-2020
2020-05-01,46,99900.0,3.74,5,"livingston, mo",47.0,78.0,0,May-2020
2020-06-01,47,92425.0,3.72,6,"livingston, mo",52.0,39.0,0,Jun-2020
2020-07-01,48,90175.0,3.49,7,"livingston, mo",46.0,48.0,0,Jul-2020
2020-08-01,49,87900.0,3.65,8,"livingston, mo",44.0,68.0,0,Aug-2020
2020-09-01,50,98675.0,3.33,9,"livingston, mo",45.0,73.0,0,Sep-2020
2020-10-01,51,102400.0,3.28,10,"livingston, mo",45.0,81.0,0,Oct-2020
2020-11-01,52,95450.0,3.21,11,"livingston, mo",44.0,81.0,0,Nov-2020
2020-12-01,53,96900.0,3.07,12,"livingston, mo",42.0,83.0,0,Dec-2020
2021-01-01,54,95450.0,2.99,1,"livingston, mo",34.0,74.0,0,Jan-2021
2021-02-01,55,85000.0,2.93,2,"livingston, mo",32.0,85.0,0,Feb-2021
2021-03-01,56,103438.0,2.88,3,"livingston, mo",35.0,102.0,0,Mar-2021
2021-04-01,57,104213.0,2.84,4,"livingston, mo",30.0,79.0,0,Apr-2021
2021-05-01,58,114900.0,2.71,5,"livingston, mo",28.0,57.0,0,May-2021
2021-06-01,59,119900.0,2.79,6,"livingston, mo",27.0,64.0,0,Jun-2021
2021-07-01,60,132500.0,2.97,7,"livingston, mo",32.0,41.0,0,Jul-2021
2021-08-01,61,115625.0,3.17,8,"livingston, mo",36.0,50.0,0,Aug-2021
2021-09-01,62,115450.0,3.18,9,"livingston, mo",38.0,61.0,0,Sep-2021
