date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,699000.0,3.72,7,"los angeles, ca",14257.0,40.0,0,Jul-2016
2016-08-01,1,679950.0,3.73,8,"los angeles, ca",14426.0,43.0,0,Aug-2016
2016-09-01,2,675000.0,3.66,9,"los angeles, ca",14297.0,45.0,0,Sep-2016
2016-10-01,3,675000.0,3.64,10,"los angeles, ca",14130.0,45.0,0,Oct-2016
2016-11-01,4,674847.0,3.66,11,"los angeles, ca",13326.0,49.0,0,Nov-2016
2016-12-01,5,669500.0,3.48,12,"los angeles, ca",11471.0,59.0,0,Dec-2016
2017-01-01,6,659950.0,3.45,1,"los angeles, ca",10580.0,58.0,0,Jan-2017
2017-02-01,7,677000.0,3.5,2,"los angeles, ca",10379.0,41.0,0,Feb-2017
2017-03-01,8,697872.0,3.52,3,"los angeles, ca",10625.0,37.0,0,Mar-2017
2017-04-01,9,714900.0,4.03,4,"los angeles, ca",11039.0,33.0,0,Apr-2017
2017-05-01,10,739000.0,4.32,5,"los angeles, ca",11515.0,32.0,0,May-2017
2017-06-01,11,739850.0,4.2,6,"los angeles, ca",12075.0,33.0,0,Jun-2017
2017-07-01,12,729000.0,4.19,7,"los angeles, ca",12666.0,36.0,0,Jul-2017
2017-08-01,13,722000.0,4.3,8,"los angeles, ca",12476.0,37.0,0,Aug-2017
2017-09-01,14,715000.0,4.1,9,"los angeles, ca",12287.0,38.0,0,Sep-2017
2017-10-01,15,722500.0,4.05,10,"los angeles, ca",12009.0,39.0,0,Oct-2017
2017-11-01,16,724950.0,3.94,11,"los angeles, ca",11115.0,42.0,0,Nov-2017
2017-12-01,17,724900.0,4.03,12,"los angeles, ca",9510.0,50.0,0,Dec-2017
2018-01-01,18,722000.0,3.93,1,"los angeles, ca",8934.0,46.0,0,Jan-2018
2018-02-01,19,726650.0,3.83,2,"los angeles, ca",9701.0,30.0,0,Feb-2018
2018-03-01,20,749900.0,3.94,3,"los angeles, ca",10076.0,31.0,0,Mar-2018
2018-04-01,21,775750.0,3.95,4,"los angeles, ca",10876.0,32.0,0,Apr-2018
2018-05-01,22,772450.0,3.99,5,"los angeles, ca",11572.0,31.0,0,May-2018
2018-06-01,23,775000.0,4.15,6,"los angeles, ca",12635.0,32.0,0,Jun-2018
2018-07-01,24,762500.0,4.4,7,"los angeles, ca",13576.0,36.0,0,Jul-2018
2018-08-01,25,747000.0,4.46,8,"los angeles, ca",14280.0,36.0,0,Aug-2018
2018-09-01,26,729900.0,4.58,9,"los angeles, ca",14961.0,38.0,0,Sep-2018
2018-10-01,27,729000.0,4.66,10,"los angeles, ca",15533.0,40.0,0,Oct-2018
2018-11-01,28,724922.0,4.62,11,"los angeles, ca",15619.0,44.0,0,Nov-2018
2018-12-01,29,709000.0,4.54,12,"los angeles, ca",13906.0,53.0,0,Dec-2018
2019-01-01,30,699000.0,4.6,1,"los angeles, ca",12994.0,56.0,0,Jan-2019
2019-02-01,31,707500.0,4.72,2,"los angeles, ca",13263.0,40.0,0,Feb-2019
2019-03-01,32,739571.0,4.9,3,"los angeles, ca",13320.0,41.0,0,Mar-2019
2019-04-01,33,759450.0,4.94,4,"los angeles, ca",13351.0,41.0,0,Apr-2019
2019-05-01,34,779500.0,4.75,5,"los angeles, ca",14057.0,40.0,0,May-2019
